Listagem de Município e UF por Número de Salas - 2007;;;;
;;;;
UF;Município;População*;Número de Complexos;Número de Salas
SP;BATATAIS;53.525;1;1
SP;BAURU;347.601;3;11
SP;BEBEDOURO;74.865;1;1
SP;BERTIOGA;39.091;1;1
SP;BIRIGUI;103.395;1;1
SP;BOCAINA;10.299;1;1
SP;BOTUCATU;121.255;1;1
SP;BRAGANÇA PAULISTA;136.264;1;1
SP;CACAPAVA;80.459;1;1
SP;CAMPINAS;1.039.297;8;46
SP;CAMPOS DO JORDÃO;44.703;1;1
SP;CAPIVARI;43.779;1;1
SP;CARAGUATATUBA;88.815;1;1
SP;CASA BRANCA;27.081;1;1
SP;CATANDUVA;109.362;1;2
SP;COSMÓPOLIS;53.764;1;3
SP;CRUZEIRO;76.557;1;1
SP;DESCALVADO;29.585;1;1
SP;DOIS CORREGOS;24.384;1;1
SP;EMBU;237.318;1;2
SP;ESPÍRITO SANTO DO PINHAL;40.769;1;1
SP;FRANCA;319.094;1;3
SP;FRANCO DA ROCHA;121.451;1;1
SP;GARÇA;42.220;1;1
SP;GUAIRA;36.544;1;2
SP;GUARATINGUETÁ;107.971;2;6
SP;GUARUJÁ;296.150;3;5
SP;GUARULHOS;1.236.192;1;15
SP;IBIUNA;64.930;1;1
SP;IGARAPAVA;26.853;1;1
SP;IGUAPE;28.963;1;1
SP;INDAIATUBA;173.508;2;5
SP;ITANHAEM;80.787;1;2
SP;ITAPETININGA;138.791;1;2
SP;ITAPEVA;85.656;1;1
SP;ITAPEVI;193.686;1;2
SP;ITAPIRA;68.131;1;1
SP;ITAPOLIS;38.633;1;1
SP;ITATIBA;91.382;1;2
SP;ITU;147.260;2;5
SP;ITUVERAVA;38.563;1;1
SP;JABOTICABAL;69.624;3;3
SP;JACAREÍ;207.028;1;4
SP;JAGUARIUNA;36.801;1;1
SP;JALES;47.649;1;1
SP;JAÚ;125.469;2;3
SP;JUNDIAÍ;342.983;1;7
SP;LEME;84.450;1;1
SP;LIMEIRA;272.734;1;4
SP;LINS;69.240;2;2
SP;LORENA;79.394;1;1
SP;MARÍLIA;218.113;2;6
SP;MATÃO;74.416;1;1
SP;MAUÁ;402.643;2;8
SP;MIGUELOPOLIS;19.979;1;1
SP;MIRASSOL;51.660;1;1
SP;MOCOCA;66.102;1;1
SP;MOGI DAS CRUZES;362.991;1;4
SP;MOGI GUAÇU;131.879;1;1
SP;MOGI-MIRIM;85.390;1;3
SP;MONGAGUA;40.171;1;1
SP;MONTE ALTO;44.085;1;1
SP;OLIMPIA;48.020;1;1
SP;OSASCO;701.012;4;13
SP;OURINHOS;99.008;1;2
SP;PEDERNEIRAS;40.355;1;1
SP;PEDREIRA;38.152;1;1
SP;PENAPOLIS;56.681;1;1
SP;PERUIBE;54.457;1;2
SP;PINDAMONHANGABA;136.263;1;2
SP;PIRACICABA;358.108;1;5
SP;PIRAJUI;20.996;1;1
SP;POMPEIA;19.091;1;1
SP;PORTO FELIZ;46.050;1;1
SP;PORTO FERREIRA;48.760;1;1
SP;PRAIA GRANDE;233.806;2;10
SP;PRESIDENTE PRUDENTE;202.789;2;7
SP;PRESIDENTE VENCESLAU;37.135;1;1
SP;REGISTRO;53.441;1;1
SP;RIBEIRÃO PIRES;107.580;1;1
SP;RIBEIRÃO PRETO;547.417;4;27
SP;RIO CLARO;185.421;1;5
SP;SALTO;102.253;1;2
SP;SANTA BÁRBARA D'OESTE;184.318;1;4
SP;SANTA CRUZ DAS PALMEIRAS;30.458;1;1
SP;SANTA FÉ DO SUL;27.693;1;1
SP;SANTO ANDRÉ;667.891;2;15
SP;SANTOS;418.288;6;23
SP;SÃO BERNARDO DO CAMPO;781.390;7;17
SP;SÃO CAETANO DO SUL;144.857;1;2
SP;SÃO CARLOS;212.956;1;3
SP;SÃO JOÃO DA BOA VISTA;80.059;1;1
SP;SÃO JOSÉ DO RIO PARDO;51.094;1;1
SP;SÃO JOSÉ DO RIO PRETO;402.770;5;11
SP;SÃO JOSÉ DOS CAMPOS;594.948;2;16
SP;SÃO PAULO;10.886.518;68;282
SP;SÃO PEDRO;29.826;1;1
SP;SÃO ROQUE;65.701;1;2
SP;SÃO SEBASTIÃO;67.099;1;2
SP;SÃO VICENTE;323.599;1;2
SP;SERRA NEGRA;24.712;1;1
SP;SERTÃOZINHO;103.655;1;2
SP;SOCORRO;33.407;1;1
SP;SOROCABA;559.157;4;19
SP;SUMARÉ;228.696;1;2
SP;SUZANO;268.777;1;5
SP;TABOÃO DA SERRA;219.200;1;5
SP;TAQUARITINGA;53.234;1;1
SP;TATUI;101.841;1;2
SP;TAUBATÉ;265.514;1;4
SP;TIETÊ;34.116;1;1
SP;TUPÃ;62.256;1;1
SP;UBATUBA;75.008;2;2
SP;VARGEM GRANDE DO SUL;37.365;1;1
SP;VOTUPORANGA;77.619;1;1
TO;ARAGUAÍNA;117.059;1;2
TO;GURUPI;71.197;2;2
TO;PALMAS;179.707;2;3
;;;;
"""* Os dados são referentes as Estimativas de População publicadas pelo Instituto Brasileiro de Geografia e Estatística (IBGE) que apresenta estimativas populacionais anuais de população para os municípios e para as Unidades da Federação brasileiros, com data de referência em 1º de julho de cada ano. Disponível em https://www.ibge.gov.br/estatisticas-novoportal/sociais/populacao/9103-estimativas-de-populacao.html?=&t=o-que-e""";;;;
"""Fontes: Sistema de Registro – ANCINE, Sistema de Acompanhamento da Distribuição em Salas de Exibição (SADIS), IBGE, Filme B e outras fontes secundárias.""";;;;
"""Elaboração: Coordenação do Observatório do Cinema e do Audiovisual - COB/SAM/ANCINE. Publicado em 09/07/2018.""";;;;
