#;UF;Município;População*;Nome Complexo ;Grupo ANCINE;Registro Ancine do Complexo;Número de Salas
328;PR;CURITIBA;1.917.185;Cinépolis Pátio Batel;CINÉPOLIS;25191;8
329;PR;CURITIBA;1.917.185;Cinesystem Batel - Shopping Curitiba;CINESYSTEM;41699;6
330;PR;CURITIBA;1.917.185;Cinesystem Shopping Cidade;CINESYSTEM;41696;5
331;PR;CURITIBA;1.917.185;Cinesystem Shopping Ventura;CINESYSTEM;41697;5
332;PR;CURITIBA;1.917.185;Espaço Itaú de Cinema - Curitiba;ESPAÇO;2888;5
333;PR;CURITIBA;1.917.185;IMAX Palladium (Dom Bosco);INDEPENDENTE;17556;1
334;PR;CURITIBA;1.917.185;UCI Estação;UCI;2623;10
335;PR;CURITIBA;1.917.185;UCI Palladium;UCI;15486;8
336;PR;FAZENDA RIO GRANDE;98.368;Cineplus Fazenda Rio Grande;CINEPLUS;36184;2
337;PR;FOZ DO IGUAÇU;258.823;Cine Cataratas;INDEPENDENTE;15566;4
338;PR;FOZ DO IGUAÇU;258.823;Cinemark Shopping Catuaí Palladium;CINEMARK;33653;6
339;PR;FRANCISCO BELTRÃO;89.942;Cinemax Cinemas Francisco Beltrão;INDEPENDENTE;41000;2
340;PR;GUARAPUAVA;180.334;Cine Quinze;CINE XV;39450;4
341;PR;IBIPORÃ;53.970;Cine Teatro Padre José Zanelli;INDEPENDENTE;38713;1
342;PR;IRATI;60.357;Cinema.com;INDEPENDENTE;37229;1
343;PR;IVAIPORÃ;32.035;Cine Ivaiporã;INDEPENDENTE;19674;1
344;PR;JAGUARIAÍVA;34.683;Cine Teatro Municipal Valeria Luercy;INDEPENDENTE;23541;1
345;PR;LONDRINA;563.943;ARAÚJO Multiplex Catuaí;ARAÚJO;3079;7
346;PR;LONDRINA;563.943;Cineflix Londrina ;CINEFLIX;32667;5
347;PR;LONDRINA;563.943;Cinemark Boulevard Londrina;CINEMARK;24767;7
348;PR;LONDRINA;563.943;Cinesystem Londrina Norte Shopping;CINESYSTEM;22548;6
349;PR;LONDRINA;563.943;Lumière Royal Plaza Shopping;LUMIÈRE;37201;5
350;PR;MARINGÁ;417.010;ARAÚJO Cines Avenida;ARAÚJO;4379;4
351;PR;MARINGÁ;417.010;ARAÚJO Multiplex Catuaí Maringá;ARAÚJO;18126;5
352;PR;MARINGÁ;417.010;Cineflix Maringá Park;CINEFLIX;16682;5
353;PR;MEDIANEIRA;45.812;Cine Sul;INDEPENDENTE;38752;2
354;PR;PARANAGUÁ;153.666;Cinesystem Paranaguá;CINESYSTEM;41698;2
355;PR;PARANAVAÍ;87.813;Cineaston Cinemas;INDEPENDENTE;16210;2
356;PR;PATO BRANCO;81.893;Cine Gracher Pato Branco;GRACHER;34894;3
357;PR;PATO BRANCO;81.893;Cine Max Pato Branco;CINE MAX;34950;3
358;PR;PIRAQUARA;111.052;Cinema.com Piraquara;INDEPENDENTE;38897;1
359;PR;PONTA GROSSA;348.043;ARAÚJO Multiplex Palladium;ARAÚJO;3102;4
360;PR;PONTA GROSSA;348.043;Lumière Shopping Total;LUMIÈRE;37202;5
361;PR;PRUDENTÓPOLIS;51.961;Cinema.com Prudentópolis;INDEPENDENTE;41536;1
362;PR;SANTO ANTÔNIO DA PLATINA;45.728;Cinema Caffe;INDEPENDENTE;22413;1
363;PR;SÃO JOSÉ DOS PINHAIS;317.476;Cinemark Shopping São Jose;CINEMARK;30609;5
364;PR;TOLEDO;138.572;Cine Panambi;INDEPENDENTE;14636;2
365;PR;UMUARAMA;110.590;Cine Vip Umuarama;INDEPENDENTE;19476;1
366;RJ;ANGRA DOS REIS;200.407;Cine Show Angra dos Reis;CINESHOW;20914;4
367;RJ;ARARUAMA;130.439;Cinemagic Araruama;CINEMAGIC;18329;2
368;RJ;BARRA DO PIRAÍ;99.969;Cine Show Barra do Piraí;CINESHOW;20984;2
369;RJ;BARRA MANSA;183.976;Cine Show Barra Mansa;CINESHOW;35083;2
370;RJ;BOM JESUS DO ITABAPOANA;36.985;Cinemais Bom Jesus;INDEPENDENTE;14394;1
371;RJ;CABO FRIO;222.528;ARAÚJO Multiplex Park Lagos;ARAÚJO;27345;6
372;RJ;CABO FRIO;222.528;Cinemaxx Unapark Shopping;CINEMAGIC;34616;2
373;RJ;CAMPOS DOS GOYTACAZES;503.424;ARAÚJO Multiplex Boulevard;ARAÚJO;18910;5
374;RJ;CAMPOS DOS GOYTACAZES;503.424;KINOPLEXAvenida;KINOPLEX;24770;5
375;RJ;DUQUE DE CAXIAS;914.383;ARAÚJO Cine Duque;ARAÚJO;14685;6
376;RJ;ITABORAÍ;238.695;Cinesystem Itaboraí Plaza Shopping;CINESYSTEM;31708;5
377;RJ;ITAGUAÍ;125.913;Cinesercla PátioMix Itaguaí;ADICINE;18367;4
378;RJ;ITAPERUNA;102.626;Cinemaxx Glória;CINEMAXX;19509;1
379;RJ;MACAÉ;251.631;Planet Shopping Plaza Macaé;PLANET CINEMAS;16630;5
380;RJ;NILÓPOLIS;162.269;Cinesercla Nilópolis;ADICINE;14061;3
381;RJ;NITERÓI;511.786;Cine Arte UFF;INDEPENDENTE;6708;1
382;RJ;NITERÓI;511.786;Cinemark Plaza Shopping Niterói;CINEMARK;2543;8
383;RJ;NITERÓI;511.786;KINOPLEXCinema Bay Market;KINOPLEX;2419;4
384;RJ;NITERÓI;511.786;Planet Niterói;PLANET CINEMAS;38804;6
385;RJ;NITERÓI;511.786;Reserva Cultural De Cinema (Caminho Niemeyer - MAC);RESERVA;33994;5
386;RJ;NOVA FRIBURGO;190.084;Cine Show Nova Friburgo;CINESHOW;13329;3
387;RJ;NOVA FRIBURGO;190.084;Cine Show Nova Friburgo Cadima;CINESHOW;26147;3
388;RJ;NOVA IGUAÇU;818.875;KINOPLEXShopping Nova Iguaçu;KINOPLEX;33119;7
389;RJ;NOVA IGUAÇU;818.875;KINOPLEXTopShopping;KINOPLEX;2387;6
390;RJ;PARACAMBI;51.815;Cinemaxx Imperial;CINEMAXX;18716;1
391;RJ;PETRÓPOLIS;305.687;Cine Bauhaus;INDEPENDENTE;6706;2
392;RJ;PETRÓPOLIS;305.687;Cine Itaipava;INDEPENDENTE;15799;1
393;RJ;PETRÓPOLIS;305.687;Cinemaxx Mercado Estação;INDEPENDENTE;S/REG;3
394;RJ;PETRÓPOLIS;305.687;Cinemaxx Top Cine Hiper Shopping ABC;INDEPENDENTE;2729;2
395;RJ;RESENDE;130.334;Cine A Resende;CINE A;33011;4
396;RJ;RESENDE;130.334;Cine Show Resende (salas 1 e 2);CINESHOW;6644;2
397;RJ;RESENDE;130.334;Cine Show Resende (salas 3 e 4);CINESHOW;28018;2
398;RJ;RIO DAS OSTRAS;145.989;Cinemagic Rio das Ostras;CINEMAGIC;23054;3
399;RJ;RIO DE JANEIRO;6.688.927;ARAÚJO Multiplex Jardim Guadalupe;ARAÚJO;20404;5
400;RJ;RIO DE JANEIRO;6.688.927;Centro Cultural Luis Severiano Ribeiro - Odeon;KINOPLEX;30136;1
401;RJ;RIO DE JANEIRO;6.688.927;Cine Barra Point;CASAL CINE;39233;2
402;RJ;RIO DE JANEIRO;6.688.927;Cine Cândido Mendes;CASAL CINE;25604;1
403;RJ;RIO DE JANEIRO;6.688.927;Cine Carioca Nova Brasília (Complexo do Alemão);CASAL CINE;33826;1
404;RJ;RIO DE JANEIRO;6.688.927;Cine Museu da República;CASAL CINE;27402;1
405;RJ;RIO DE JANEIRO;6.688.927;Cine Santa;CASAL CINE;14201;1
406;RJ;RIO DE JANEIRO;6.688.927;Cine Star Laura Alvim;INDEPENDENTE;23878;3
407;RJ;RIO DE JANEIRO;6.688.927;Cinemark Botafogo;CINEMARK;2541;6
408;RJ;RIO DE JANEIRO;6.688.927;Cinemark Carioca Shopping;CINEMARK;2525;6
409;RJ;RIO DE JANEIRO;6.688.927;Cinemark Center Shopping;CINEMARK;31558;4
410;RJ;RIO DE JANEIRO;6.688.927;Cinemark Downtown;CINEMARK;899;12
411;RJ;RIO DE JANEIRO;6.688.927;Cinemark Metropolitano Barra;CINEMARK;27386;7
412;RJ;RIO DE JANEIRO;6.688.927;Cinemark Village Mall;CINEMARK;22951;4
413;RJ;RIO DE JANEIRO;6.688.927;Cinépolis Lagoon;CINÉPOLIS;17814;6
414;RJ;RIO DE JANEIRO;6.688.927;Cinesystem Américas Shopping;CINESYSTEM;28834;9
415;RJ;RIO DE JANEIRO;6.688.927;Cinesystem Bangu Shopping;CINESYSTEM;13236;6
416;RJ;RIO DE JANEIRO;6.688.927;Cinesystem Ilha Plaza Shopping;CINESYSTEM;16645;4
417;RJ;RIO DE JANEIRO;6.688.927;Cinesystem Parque Shopping Sulacap;CINESYSTEM;28835;9
418;RJ;RIO DE JANEIRO;6.688.927;Cinesystem Recreio Shopping;CINESYSTEM;6691;5
419;RJ;RIO DE JANEIRO;6.688.927;Cinesystem Shopping Via Brasil;CINESYSTEM;18721;6
420;RJ;RIO DE JANEIRO;6.688.927;Espaço Itaú de Cinema - Botafogo;ESPAÇO;21325;6
421;RJ;RIO DE JANEIRO;6.688.927;Estação Net Botafogo;ESTAÇÃO;6713;3
422;RJ;RIO DE JANEIRO;6.688.927;Estação Net Gávea;ESTAÇÃO;13608;5
423;RJ;RIO DE JANEIRO;6.688.927;Estação Net Ipanema;ESTAÇÃO;6612;2
424;RJ;RIO DE JANEIRO;6.688.927;Estação Net Rio;ESTAÇÃO;5126;5
425;RJ;RIO DE JANEIRO;6.688.927;KINOPLEX Leblon;KINOPLEX;11752;4
426;RJ;RIO DE JANEIRO;6.688.927;KINOPLEX Rio Sul;KINOPLEX;2390;6
427;RJ;RIO DE JANEIRO;6.688.927;KINOPLEXBoulevard Rio (Iguatemi);KINOPLEX;2425;7
428;RJ;RIO DE JANEIRO;6.688.927;KINOPLEXCineCarioca Meier (Imperator);KINOPLEX;22589;3
429;RJ;RIO DE JANEIRO;6.688.927;KINOPLEXCinema Roxy;KINOPLEX;2400;3
430;RJ;RIO DE JANEIRO;6.688.927;KINOPLEXFashion Mall;KINOPLEX;13482;4
431;RJ;RIO DE JANEIRO;6.688.927;KINOPLEXMadureira;KINOPLEX;2389;5
432;RJ;RIO DE JANEIRO;6.688.927;KINOPLEXNova América;KINOPLEX;2426;7
433;RJ;RIO DE JANEIRO;6.688.927;KINOPLEXSão Luiz;KINOPLEX;2392;4
434;RJ;RIO DE JANEIRO;6.688.927;KINOPLEXTijuca;KINOPLEX;13416;6
435;RJ;RIO DE JANEIRO;6.688.927;KINOPLEXVia Parque;KINOPLEX;13454;6
436;RJ;RIO DE JANEIRO;6.688.927;KINOPLEXWest Shopping;KINOPLEX;17366;5
437;RJ;RIO DE JANEIRO;6.688.927;Ponto Cine;INDEPENDENTE;6580;1
438;RJ;RIO DE JANEIRO;6.688.927;UCI Kinoplex Norte Shopping;UCI RIBEIRO;12748;10
439;RJ;RIO DE JANEIRO;6.688.927;UCI New York City Center;UCI;2620;18
440;RJ;RIO DE JANEIRO;6.688.927;UCI Parkshopping Campo Grande;UCI;23929;7
441;RJ;RIO DE JANEIRO;6.688.927;Vilacine Cine Joia;VILACINE;18500;1
442;RJ;SÃO GONÇALO;1.077.687;Cinépolis São Gonçalo Shopping;CINÉPOLIS;30088;8
443;RJ;SÃO GONÇALO;1.077.687;Cinespaço Partage (Cinespaço Boulevard);CINEMARK;19409;6
444;RJ;SÃO JOÃO DE MERITI;471.888;KINOPLEXGrande Rio;KINOPLEX;2424;6
