#;UF;Município;População*;Nome Complexo ;Grupo ANCINE;Registro Ancine do Complexo;Número de Salas
96;ES;CARIACICA;378.603;Cinépolis Moxuara;CINÉPOLIS;25961;5
97;ES;COLATINA;121.580;Cine Gama - Colatina;INDEPENDENTE;11818;2
98;ES;GUARAPARI;122.982;AFA Cine Ritz Guarapari;AFA;6638;3
99;ES;LINHARES;170.364;AFA Cine Ritz Conceição;INDEPENDENTE;19579;3
100;ES;LINHARES;170.364;Cinesercla PátioMix Linhares;LB CINEMAS;24667;4
101;ES;MARATAÍZES;38.108;AFA Cine Via Sul (Marataízes);INDEPENDENTE;27043;1
102;ES;PIÚMA;21.363;AFA Cine Ritz Piúma;AFA;29419;1
103;ES;SÃO MATEUS;128.542;AFA Cine São Mateus;AFA;24026;1
104;ES;SERRA;507.598;ARAÚJO Multiplex Shopping Mestre Álvaro;ARAÚJO;20405;5
105;ES;SERRA;507.598;Cinesercla Shopping Montserrat;ADICINE;27434;5
106;ES;VILA VELHA;486.208;Cinemark Shopping Vila Velha;CINEMARK;30577;8
107;ES;VILA VELHA;486.208;Cinesystem Boulevard Shopping;CINESYSTEM;22547;6
108;ES;VILA VELHA;486.208;KINOPLEXPraia da Costa;KINOPLEX;27854;7
109;ES;VITÓRIA;358.267;Cine Jardins;INDEPENDENTE;12477;2
110;ES;VITÓRIA;358.267;Cinemagic Norte Sul;CINEMAGIC;24232;4
111;ES;VITÓRIA;358.267;Cinemark Shopping Vitória;CINEMARK;12975;8
112;GO;ÁGUAS LINDAS DE GOIÁS;207.070;Multicine Águas Lindas;MULTICINE;30737;4
113;GO;ANÁPOLIS;381.970;Cine Prime;INDEPENDENTE;14814;4
114;GO;ANÁPOLIS;381.970;Cinemais Anápolis;CINEMAIS;22800;5
115;GO;APARECIDA DE GOIÂNIA;565.957;Cineflix Aparecida Shopping;CINEFLIX;36838;5
116;GO;APARECIDA DE GOIÂNIA;565.957;Lumière Shopping Portal Sul;LUMIÈRE;37196;4
117;GO;APARECIDA DE GOIÂNIA;565.957;Moviecom Buriti;MOVIECOM SÃO PAULO;2893;6
118;GO;CALDAS NOVAS;89.087;Sétima Arte Cine Stadium Caldas;INDEPENDENTE;16521;2
119;GO;CATALÃO;106.618;Lumière Catalão Shopping;MAJESTIC;16701;3
120;GO;FORMOSA;119.506;Cine Premier Formosa;PREMIER;23500;2
121;GO;GOIÂNIA;1.495.705;Cine Cultura – Sala Eduardo Benfica;INDEPENDENTE;22867;1
122;GO;GOIÂNIA;1.495.705;Cine Ritz Goiânia;INDEPENDENTE;13287;2
123;GO;GOIÂNIA;1.495.705;Cinemark Flamboyant;CINEMARK;40181;8
124;GO;GOIÂNIA;1.495.705;Cinemark Passeio das Águas;CINEMARK;26040;7
125;GO;GOIÂNIA;1.495.705;Cinépolis Shopping Cerrado;CINÉPOLIS;32323;7
126;GO;GOIÂNIA;1.495.705;KINOPLEXGoiânia Shopping;KINOPLEX;2408;6
127;GO;GOIÂNIA;1.495.705;Lumière Araguaia Shopping;MAJESTIC;2654;5
128;GO;GOIÂNIA;1.495.705;Lumière Banana;LUMIÈRE;40889;5
129;GO;GOIÂNIA;1.495.705;Lumière Portal Shopping;LUMIÈRE;37198;3
130;GO;GOIÂNIA;1.495.705;Lumière Shopping Bougainville;MAJESTIC;16702;5
131;GO;GOIÂNIA;1.495.705;Multicine Shopping Cidade Jardim;MULTICINE;30736;3
132;GO;GOIATUBA;33.986;Sétima Arte Cine Goiatuba;INDEPENDENTE;16523;1
133;GO;ITUMBIARA;103.652;Cine Plaza Itumbiara;INDEPENDENTE;16470;3
134;GO;JATAÍ;99.674;Multicine Jatahy Shopping;MULTICINE;19793;3
135;GO;LUZIÂNIA;205.023;Lumière Luziânia Shopping;LUMIÈRE;37199;3
136;GO;MINEIROS;65.420;Multicine Ipê Shopping;MULTICINE;19792;3
137;GO;MORRINHOS;45.716;Cinemax;INDEPENDENTE;33993;1
138;GO;PLANALTINA;89.181;Cine Quelipe Planaltina;INDEPENDENTE;23487;1
139;GO;RIO VERDE;229.651;Cineflix Buriti Shopping Rio Verde;CINEFLIX;27467;5
140;GO;RIO VERDE;229.651;Multicine Shopping Rio Verde;MULTICINE;5936;3
141;GO;VALPARAÍSO DE GOIÁS;164.723;Cineflix Shopping Sul;CINEFLIX;34628;6
142;MA;AÇAILÂNDIA;111.757;Mobi Cine Açailândia;MOBICINE;38237;3
143;MA;BALSAS;93.826;Play Time;INDEPENDENTE;28756;2
144;MA;CAXIAS;164.224;Multicine Cinemas Caxias Shopping;MULTICINE;34495;5
145;MA;IMPERATRIZ;258.016;Cine Star (Tocantins Shopping);INDEPENDENTE;27466;3
146;MA;IMPERATRIZ;258.016;Cinesystem Imperial Shopping;CINESYSTEM;22693;5
147;MA;SÃO JOSÉ DE RIBAMAR;176.321;Centerplex Pátio Norte Shopping;CENTERPLEX;29562;6
148;MA;SÃO LUÍS;1.094.667;Cine Lume;INDEPENDENTE;24785;1
149;MA;SÃO LUÍS;1.094.667;Cinépolis São Luis Shopping;CINÉPOLIS;25195;10
150;MA;SÃO LUÍS;1.094.667;Cinesystem Rio Anil Shopping;CINESYSTEM;17201;6
151;MA;SÃO LUÍS;1.094.667;Kinoplex Golden;KINOPLEX;38261;4
152;MA;SÃO LUÍS;1.094.667;Moviecom Shopping Passeio;MOVIECOM SÃO PAULO;29852;5
153;MA;SÃO LUÍS;1.094.667;UCI Kinoplex Shopping da Ilha;UCI RIBEIRO;26215;8
154;MA;TIMON;167.973;Multicine Timón;MULTICINE;37675;4
155;MG;ALFENAS;79.481;Cine A Alfenas;CINE A;14009;2
156;MG;ARAXÁ;105.083;Cinemais Araxá;CINEMAIS;29536;2
157;MG;ARCOS;39.793;Josué´s Cine Arcos;JOSUE'S CINE;17778;1
158;MG;BARBACENA;136.392;Cine Teatro Barbacena;INDEPENDENTE;6626;2
159;MG;BELO HORIZONTE;2.501.576;Cine TJ;INDEPENDENTE;16188;6
160;MG;BELO HORIZONTE;2.501.576;Cineart Boulevard Shopping;CINEART;17944;6
161;MG;BELO HORIZONTE;2.501.576;Cineart Minas Shopping;CINEART;20427;6
162;MG;BELO HORIZONTE;2.501.576;Cineart Shopping Cidade;CINEART;438;8
163;MG;BELO HORIZONTE;2.501.576;Cineart Shopping Del Rey;CINEART;6589;7
164;MG;BELO HORIZONTE;2.501.576;Cineart Shopping Paragem;CINEART;26527;5
165;MG;BELO HORIZONTE;2.501.576;Cineart Viashopping;CINEART;1828;5
166;MG;BELO HORIZONTE;2.501.576;Cinema Belas Artes;ESPAÇO;27914;3
167;MG;BELO HORIZONTE;2.501.576;Cinemark BH Shopping;CINEMARK;27468;10
168;MG;BELO HORIZONTE;2.501.576;Cinemark Diamond Mall;CINEMARK;27429;6
169;MG;BELO HORIZONTE;2.501.576;Cinemark Pátio Savassi;CINEMARK;3086;8
170;MG;BELO HORIZONTE;2.501.576;Cinépolis Estação BH;CINÉPOLIS;22213;6
171;MG;BELO HORIZONTE;2.501.576;Cinesercla Norte;SERCLA;13920;4
172;MG;BELO HORIZONTE;2.501.576;Net Cineart Ponteio;CINEART;26528;4
173;MG;BETIM;432.575;Cineart Betim Shopping;CINEART;436;3
174;MG;BETIM;432.575;Cineart Monte Carmo;CINEART;28616;6
175;MG;BETIM;432.575;Cinemark Partage Shopping Betim;CINEMARK;27397;7
176;MG;CAETÉ;44.377;Cine Teatro Caeté;INDEPENDENTE;33331;1
177;MG;CAMBUÍ;29.278;Cine Cambuí;INDEPENDENTE;6608;1
178;MG;CARATINGA;91.503;Cine Itaúna;INDEPENDENTE;39722;1
179;MG;CATAGUASES;74.691;AFA Cine Ritz Cataguases;AFA;31643;2
180;MG;CAXAMBU;21.703;Cineminas Caxambu;CINEMINAS;5650;1
181;MG;CONSELHEIRO LAFAIETE;127.539;AFA Cine Ritz Lafaiete;AFA;40591;1
182;MG;CONTAGEM;659.070;Cineart Itaúpower Shopping;CINEART;1829;6
183;MG;CONTAGEM;659.070;Cineart Shopping Contagem;CINEART;26530;8
184;MG;CONTAGEM;659.070;Cinesercla Big;SERCLA;13923;5
185;MG;CÓRREGO FUNDO;6.290;Josué's Cine Hotel Fazenda Sobradinho;JOSUE'S CINE;31000;1
186;MG;DIVINÓPOLIS;235.977;AFA Cine Ritz Pátio Divinópolis;AFA;34408;5
187;MG;FORMIGA;67.540;Josué´s Cine Formiga;JOSUE'S CINE;15093;2
188;MG;FORMIGA;67.540;Josué's Cine Universitário;JOSUE'S CINE;28343;1
189;MG;GOVERNADOR VALADARES;278.685;Cinesercla GV Shopping;SERCLA;24571;4
190;MG;GUAXUPÉ;51.750;Cine 14 Bis;INDEPENDENTE;6623;1
191;MG;IPATINGA;261.344;Moviecom Vale do Aço;MOVIECOM BOTUCATU;2924;4
192;MG;ITABIRA;119.186;Espaço Cinemax;INDEPENDENTE;6680;2
193;MG;ITAJUBÁ;96.389;Cine Club Itajubá;INDEPENDENTE;19988;1
194;MG;ITAÚNA;92.561;AFA Cine Ritz Itauna;AFA;38005;3
195;MG;ITUIUTABA;104.067;Cinemais Ituiutaba;CINEMAIS;29198;2
196;MG;JUIZ DE FORA;564.310;Cinemais Jardim Norte Shopping;CINEMAIS;33511;6
197;MG;JUIZ DE FORA;564.310;Cinemais Juiz de Fora;CINEMAIS;23841;5
198;MG;JUIZ DE FORA;564.310;Cineminas Juiz de Fora;CINEMINAS;35125;2
199;MG;JUIZ DE FORA;564.310;UCI Kinoplex Independência;UCI RIBEIRO;14657;5
200;MG;LAVRAS;102.728;Cine A Lavras;CINE A;39675;2
201;MG;MANHUAÇU;89.256;Centro Cultural João Bracks;INDEPENDENTE;15295;1
202;MG;MONTES CLAROS;404.804;Cinemais Montes Claros;CINEMAIS;23844;5
203;MG;MONTES CLAROS;404.804;Ibi Cinemas;INDEPENDENTE;19501;4
204;MG;MURIAÉ;108.113;Cine Veredas;INDEPENDENTE;6647;1
205;MG;NOVA SERRANA;99.770;SerraCine;INDEPENDENTE;6653;1
206;MG;OLIVEIRA;41.529;Center Cine Oliveira;INDEPENDENTE;14490;1
207;MG;PAINS;8.270;Josué's Cine Pains;JOSUE'S CINE;34842;1
208;MG;PARÁ DE MINAS;93.101;Estação Cine Café;INDEPENDENTE;26312;1
209;MG;PARACATU;92.430;Mobi Cine Paracatu;MOBICINE;37281;3
210;MG;PASSOS;113.998;Cine Roxy Passos;INDEPENDENTE;6613;1
211;MG;PATOS DE MINAS;150.833;Cinemais Patos de Minas;CINEMAIS;22803;3
212;MG;PATROCÍNIO;90.041;Patrocine;INDEPENDENTE;39596;2
213;MG;PEDRO LEOPOLDO;63.789;Cine Marajá;INDEPENDENTE;17595;1
214;MG;PIUMHI;34.456;Josué´s Cine Piumhi (Canastra);JOSUE'S CINE;20442;1
215;MG;POÇOS DE CALDAS;166.111;Centerplex Shopping Poços de Caldas;CENTERPLEX;16776;4
216;MG;POÇOS DE CALDAS;166.111;Ultravisão Cinemas;INDEPENDENTE;27373;4
217;MG;POUSO ALEGRE;148.862;Cine A Pouso Alegre;CINE A;39367;3
218;MG;POUSO ALEGRE;148.862;Cineart Serra Sul Shopping;CINEART;26529;4
219;MG;SANTA BÁRBARA;30.807;Cine Vitória Santa Bárbara;INDEPENDENTE;17933;1
220;MG;SANTO ANTÔNIO DO MONTE;28.054;Josué's Cine Samonte;JOSUE'S CINE;19846;1
221;MG;SÃO JOÃO DEL REI;89.653;Cine Glória;LOMBARDI & RESENDE;6703;1
222;MG;SÃO JOÃO DEL REI;89.653;Cine Glória Shopping;LOMBARDI & RESENDE;12006;1
223;MG;SÃO LOURENÇO;45.488;Cine A São Lourenço;CINE A;39366;1
224;MG;SÃO SEBASTIÃO DO PARAÍSO;70.450;Cine A Paraíso;CINE A;39676;1
225;MG;SETE LAGOAS;237.286;Grupo Cine Sete Lagoas;GRUPO CINE;17733;4
226;MG;TEÓFILO OTONI;140.235;Cine Teca;CINE FILMES;30491;2
227;MG;TRÊS CORAÇÕES;78.913;Cine A Três Corações;CINE A;39365;2
228;MG;UBERABA;330.361;Cinemais Uberaba;CINEMAIS;33110;8
229;MG;UBERABA;330.361;KINOPLEXUberaba;KINOPLEX;30652;6
230;MG;UBERLÂNDIA;683.247;Cinemark Uberlândia Shopping;CINEMARK;21561;5
231;MG;UBERLÂNDIA;683.247;Cinépolis Center Shopping Uberlândia;CINÉPOLIS;30098;10
232;MG;UNAÍ;83.808;Cine Premier Unaí;PREMIER;31316;1
233;MG;VARGINHA;134.477;Cinemark Via Café;CINEMARK;32049;4
234;MG;VIÇOSA;78.286;Cine Calçadão;INDEPENDENTE;27787;1
235;MS;AQUIDAUANA;47.784;Grupo Cine Aquidauana ;INDEPENDENTE;30172;1
236;MS;CAMPO GRANDE;885.711;Cinemark Campo Grande;CINEMARK;904;10
237;MS;CAMPO GRANDE;885.711;Cinépolis Norte Sul Plaza;CINÉPOLIS;20429;7
238;MS;CAMPO GRANDE;885.711;UCI Bosque dos Ipês;UCI;27590;6
239;MS;COXIM;33.516;Cine Viva 3D;INDEPENDENTE;32419;1
240;MS;DOURADOS;220.965;ARAÚJO Multiplex Avenida;ARAÚJO;6397;3
241;MT;ALTA FLORESTA;51.615;Cine Company Alta Floresta;INDEPENDENTE;37638;1
242;MT;BARRA DO GARÇAS;60.661;Cine Laser Barra do Garças;LASER;33806;3
243;MT;CÁCERES;93.882;Cine Xin;INDEPENDENTE;15266;2
244;MT;CUIABÁ;607.153;ARAÚJO Cuiabá Shopping Pantanal;ARAÚJO;4399;8
245;MT;CUIABÁ;607.153;Cinemark Goiabeiras;CINEMARK;24765;7
246;MT;CUIABÁ;607.153;Cinépolis Estação Cuiabá;CINÉPOLIS;40917;7
247;MT;CUIABÁ;607.153;Cinépolis Três Américas;CINÉPOLIS;30122;8
248;MT;PRIMAVERA DO LESTE;61.038;Cine Teatro Vila Rica;INDEPENDENTE;14638;2
249;MT;RONDONÓPOLIS;228.857;Cine Vip.Com;INDEPENDENTE;14782;3
250;MT;SINOP;139.935;Cine Center do Machado;INDEPENDENTE;29862;2
251;MT;SORRISO;87.815;Cine Laser Sorriso;LASER;19467;2
252;MT;TANGARÁ DA SERRA;101.764;Cineshop 3D;INDEPENDENTE;19404;2
253;MT;VÁRZEA GRANDE;282.009;Cineflix Várzea Grande Shopping;CINEFLIX;31101;6
254;PA;ALTAMIRA;113.195;Cine A Altamira;CINE A;33426;3
255;PA;ANANINDEUA;525.566;Cinesystem Ananindeua;CINESYSTEM;38898;10
256;PA;BELÉM;1.485.732;Cinépolis Boulevard Belém;CINÉPOLIS;17763;7
257;PA;BELÉM;1.485.732;Cinépolis Parque Belém;CINÉPOLIS;21616;7
258;PA;BELÉM;1.485.732;Moviecom Belém Pátio;MOVIECOM SÃO PAULO;13915;6
259;PA;BELÉM;1.485.732;Moviecom Castanheira;MOVIECOM SÃO PAULO;2896;7
260;PA;BELÉM;1.485.732;UCI Bosque Grão-Pará;UCI;32026;6
261;PA;CASTANHAL;198.294;Moviecom Castanhal Shopping;MOVIECOM SÃO PAULO;15211;3
262;PA;ITAITUBA;101.097;Itacine;INDEPENDENTE;26810;1
263;PA;MARABÁ;275.086;Cine A Marabá;CINE A;28466;4
264;PA;MARABÁ;275.086;Moviecom Pátio Marabá;MOVIECOM SÃO PAULO;25394;5
265;PA;PARAGOMINAS;111.764;Mobi Cine Paragominas;MOBICINE;28563;2
266;PA;PARAUAPEBAS;202.882;Art Movie Karajas;CIRCUITO;41661;3
267;PA;PARAUAPEBAS;202.882;CIRCUITOParauapebas;CIRCUITO;27873;4
268;PA;REDENÇÃO;83.997;Mobi Cine Redenção;MOBICINE;38513;3
269;PA;SANTARÉM;302.667;Cine Laser Santarém;LASER;21688;2
270;PA;SANTARÉM;302.667;Cinesystem Santarém (Rio Tapajós Shopping);CINESYSTEM;31524;5
271;PA;TUCURUÍ;112.148;Mobi Cine Tucuruí;MOBICINE;31594;3
272;PA;XINGUARA;44.410;Cinemax Xinguara;INDEPENDENTE;24284;2
273;PB;CAMPINA GRANDE;407.472;Cinesercla Campina Grande;EXIBIDORA NACIONAL;18991;5
274;PB;CATOLÉ DO ROCHA;30.343;Cine Garden 7;INDEPENDENTE;33181;1
275;PB;GUARABIRA;58.492;Cinemaxxi Cidade Luz;INDEPENDENTE;32727;3
276;PB;JOÃO PESSOA;800.323;Centerplex Mag Shopping;CENTERPLEX;37602;4
277;PB;JOÃO PESSOA;800.323;Cinépolis Manaíra Shopping;CINÉPOLIS;30097;11
278;PB;JOÃO PESSOA;800.323;Cinépolis Mangabeira;CINÉPOLIS;31527;5
279;PB;JOÃO PESSOA;800.323;Cinesercla Tambiá;EXIBIDORA NACIONAL;5893;6
280;PB;PATOS;106.984;Cine Guedes;INDEPENDENTE;23267;3
281;PB;REMÍGIO;19.340;Cine RT;INDEPENDENTE;20396;1
282;PB;SOLÂNEA;26.592;Cinemaxx da Serra;INDEPENDENTE;40974;1
283;PE;CABO DE SANTO AGOSTINHO;205.112;Costa Dourada;INDEPENDENTE;19239;4
284;PE;CAMARAGIBE;156.736;Moviemax Camará;PMC;39378;5
285;PE;CARUARU;356.872;Centerplex Caruaru Shopping;CENTERPLEX;19291;4
286;PE;CARUARU;356.872;Planet Caruaru;PLANET CINEMAS;24297;4
287;PE;GARANHUNS;138.983;Moviemax Cine Eldorado;PMC;16399;2
288;PE;IGARASSU;115.640;Moviemax Igarassu;PMC;41398;3
289;PE;JABOATÃO DOS GUARARAPES;697.636;Cinépolis Shopping Guararapes;CINÉPOLIS;30155;12
290;PE;OLINDA;391.835;Cinépolis Shopping Patteo Olinda;CINÉPOLIS;39708;8
291;PE;PAULISTA;329.117;Cinesystem Paulista North Way Shopping;CINESYSTEM;33152;9
292;PE;PETROLINA;343.865;Orient River Shopping;ORIENT;1671;4
293;PE;RECIFE;1.637.834;Cinema da Fundação - Derby;FUNDAJ;6698;2
294;PE;RECIFE;1.637.834;Cinema do Museu do Homem do Nordeste;FUNDAJ;36182;1
295;PE;RECIFE;1.637.834;Cinema São Luiz;INDEPENDENTE;16644;1
296;PE;RECIFE;1.637.834;Cinemark Riomar Recife;CINEMARK;24763;12
297;PE;RECIFE;1.637.834;KINOPLEXMultiplex Boa Vista;KINOPLEX;6634;6
298;PE;RECIFE;1.637.834;Moviemax Cine Rosa e Silva;PMC;26188;4
299;PE;RECIFE;1.637.834;UCI Kinoplex Delux Shopping Recife;UCI RIBEIRO;27585;4
300;PE;RECIFE;1.637.834;UCI Kinoplex Plaza Casa Forte Shopping;UCI RIBEIRO;14658;5
301;PE;RECIFE;1.637.834;UCI Kinoplex Recife Shopping;UCI RIBEIRO;2613;10
302;PE;RECIFE;1.637.834;UCI Kinoplex Shopping Tacaruna;UCI RIBEIRO;2614;10
303;PE;SÃO LOURENÇO DA MATA;112.362;Moviemax Cine Royal;PMC;16400;1
304;PE;TRIUNFO;15.265;Theatro Cinema Guarany;INDEPENDENTE;38167;1
305;PE;VITÓRIA DE SANTO ANTÃO;137.915;Grupo Cine Vitória de Santo Antão;GRUPO CINE;27731;4
306;PI;PARNAÍBA;152.653;Multicine Parnaíba Shopping;MULTICINE;30738;4
307;PI;PICOS;78.002;Multicine Piauí Shopping;MULTICINE;40529;4
308;PI;PICOS;78.002;Multicine Picos Plaza Shopping;MULTICINE;34990;3
309;PI;TERESINA;861.442;Cinemas Teresina (Teresina Shopping);INDEPENDENTE;6595;7
310;PI;TERESINA;861.442;Cinépolis Rio Poty;CINÉPOLIS;30352;12
311;PR;APUCARANA;133.726;Cine XV Apucarana;CINE XV;28645;2
312;PR;ARAPONGAS;121.198;Cine Gracher Arapongas;GRACHER;35875;3
313;PR;CAMPO LARGO;130.091;Cineplus Campo Largo;CINEPLUS;12896;2
314;PR;CAMPO MOURÃO;94.212;Cinemaxs;INDEPENDENTE;19491;1
315;PR;CAMPO MOURÃO;94.212;Cinemaxs Paraná Família;INDEPENDENTE;40853;1
316;PR;CASCAVEL;324.476;Arcoplex Cascavel;ARCOPLEX;24042;4
317;PR;CASCAVEL;324.476;Cine West Side;INDEPENDENTE;14883;3
318;PR;CASTRO;71.151;Cineplus Castro;CINEPLUS;21049;2
319;PR;CIANORTE;81.393;Cine Teatro Cianorte;INDEPENDENTE;19526;1
320;PR;COLOMBO;240.840;Chainça Cine Uniplex Colombo;UNIPLEX;36217;2
321;PR;CURITIBA;1.917.185;Cine Guarani;VIAPIANA;21633;1
322;PR;CURITIBA;1.917.185;Cinemark Barigui;CINEMARK;2529;8
323;PR;CURITIBA;1.917.185;Cinemark Mueller;CINEMARK;2527;8
324;PR;CURITIBA;1.917.185;Cineplex Batel;INDEPENDENTE;12036;4
325;PR;CURITIBA;1.917.185;Cineplus Água Verde;CINEPLUS;12894;2
326;PR;CURITIBA;1.917.185;Cineplus Jardim das Américas;CINEPLUS;12542;6
327;PR;CURITIBA;1.917.185;Cineplus Xaxim;CINEPLUS;15674;4
