"""Listagem de Produções no Brasil com Participação de Profissionais Estrangeiros - 2009""";;;;;;;;;;;;
"""Número de Autorização de Origem""";Data da Aprovação;"""Número de Técnicos/
Artistas Estrangeiros""";"""Título da Obra""";"""Tipo de Obra""";"""Período Produção""";"""Empresa Brasileira""";"""UF""";"""Empresa Estrangeira""";"""País""";"""Produção""";"""Local de Filmagem (UF)""";
"""107""";29/06/2009;"""2""";"""Mouth """;"""publicitária """;"""08/07/2009 a 14/07/2009""";"""Hungry Man Rio Produções Ltda""";"""RJ""";"""Hungry Man Inc. """;"""Estados Unidos """;"""Estrangeira """;"""RJ""";
"""108""";06/07/2009;"""4""";"""King """;"""publicitária """;"""17/07/2009 a 30/07/2009""";"""Hungry Man Rio Produções Ltda""";"""RJ""";"""Hungry Man Inc. """;"""Estados Unidos """;"""Estrangeira """;"""RJ""";
"""109""";08/07/2009;"""3""";"""Luiza Brunet""";"""publicitária """;"""15/07/2009 a 24/07/2009""";"""Zohar Cinema e Comunicação Ltda. """;"""RJ""";"""xxx""";"""xxx""";"""Brasileira """;"""RJ""";
"""110""";10/07/2009;"""1""";"""KS""";"""publicitária """;"""10/07/2009 a 31/07/2009""";"""Produtora de Cinema e Filmes Associados Ltda """;"""SP """;"""xxx""";"""xxx""";"""Brasileira """;"""SP """;
"""111""";10/07/2009;"""2""";"""Nature's Recipe """;"""publicitária """;"""14/07/2009 a 05/08/2009""";"""Ocean Produção de Filmes Ltda. """;"""SC""";"""Gartner """;"""Estados Unidos """;"""Estrangeira """;"""RJ """;
"""112""";14/07/2009;"""2""";"""Nokia Data Gathering """;"""documentário """;"""18/07/2009 a 25/07/2009 """;"""Perin Filmes Ltda """;"""AM """;"""Lonely Planet Television """;"""Austrália """;"""Estrangeira """;"""AM""";
"""113""";15/07/2009;"""4""";"""Belong """;"""publicitária """;"""16/07/2009 a 20/07/2009""";"""JKR Produções Artísticas Ltda """;"""RJ """;"""Believe Media """;"""Estados Unidos """;"""Estrangeira """;"""RJ """;
"""114""";17/07/2009;"""2""";"""Wonders of Planet Earth """;"""documentário """;"""11/09/2009 a 15/09/2009""";"""Brian M Sewell Produções Cinematográficas""";"""RJ""";"""Cicada Productions """;"""Inglaterra """;"""Estrangeira """;"""AM""";
"""115""";17/07/2009;"""5""";"""Tribal Wives""";"""documentário """;"""03/08/2009 a 29/08/2009 """;"""Neon Rio Ltda """;"""RJ """;"""Diverse Bristol, A Zodiak International Company """;"""Inglaterra """;"""Estrangeira """;"""MT""";
"""116""";22/07/2009;"""6""";"""Gourmet's Appetite for Living """;"""Programa de Tv """;"""29/07/2009 a 02/08/2009""";"""Alfixit Produções Culturais e Artísticas Ltda""";"""SP""";"""Zero Point Zero Production Inc. """;"""Estados Unidos """;"""Estrangeira """;"""RJ """;
"""117""";24/07/2009;"""2""";"""Wild Life""";"""documentário """;"""21/08/2009 a 22/09/2009""";"""América do Sul Produções de Documentários Ltda. """;"""SP""";"""Win-K Corporation""";"""Japão""";"""Estrangeira """;"""MT/MG""";
"""118""";24/07/2009;"""1""";"""Culture of Resistance """;"""documentário """;"""01/08/2009 a 15/10/2009""";"""Carioca Filmes Ltda """;"""RJ""";"""Caipirinha Productions """;"""Estados Unidos """;"""Estrangeira """;"""RJ """;
"""119""";28/07/2009;"""4""";"""Cirurgia Plástica """;"""documentário """;"""05/08/2009 a 25/08/2009 """;"""Neon Rio Ltda """;"""RJ""";"""Dragonfly Film and Television Productions Ltd """;"""Inglaterra """;"""Estrangeira """;"""RJ """;
"""120""";28/07/2009;"""2""";"""Luzes """;"""publicitária """;"""30/07/2009 a 10/08/2009""";"""Midas Filmes Produções Ltda. """;"""SP """;"""xxx""";"""xxx""";"""Brasileira """;"""SP """;
"""121""";30/07/2009;"""1""";"""O Manuscrito perdido de Fradique Mendes """;"""documentário """;"""08/08/2009 a 21/12/2009 """;"""Refinaria Produções Ltda. """;"""RJ """;"""David & Golias Audiovisuais e Eventos  Culturais Lda """;"""Portugal """;"""Coprodução""";"""BA/RJ """;
"""122""";30/07/2009;"""4""";"""Essential """;"""publicitária """;"""23/08/2009 a 29/08/2009""";"""JKR Produções Artísticas Ltda """;"""RJ""";"""Agenda Productions """;"""Austrália """;"""Estrangeira """;"""RJ """;
"""123""";04/08/2009;"""3""";"""Saudação Frei Hans Stapel""";"""institucional """;"""10/08/2009 a 13/08/2009""";"""Turner Imagem e Comunicação Ltda""";"""SP""";"""University of St. Thomas""";"""Estados Unidos """;"""Estrangeira """;"""SP""";
"""124""";04/08/2009;"""3""";"""Grandes comemorações de gols em Copas do Mundo""";"""documentário """;"""15/08/2009 a 18/08/2009""";"""D'Bartolo Filmes e Entretenimento Ltda""";"""SP""";"""Plum Pictures""";"""Inglaterra""";"""Estrangeira """;"""RJ""";
"""125""";11/08/2009;"""2""";"""Mudanças Climáticas""";"""documentário """;"""14/08/2009 a 31/08/2009""";"""Francisco Ferreira Pinto Filho (Amazon Film Productions)""";"""AM """;"""Danish Broadcasting Corporation DR Nyheder""";"""Dinamarca""";"""Estrangeira """;"""AM/MT/PA/RJ""";
"""126""";12/08/2009;"""2""";"""Área Q""";"""ficção""";"""28/08/2009 a 01/11/2009""";"""ATC Entretenimentos Ltda""";"""CE""";"""xxx""";"""xxx""";"""Brasileira """;"""CE""";
"""127""";13/08/2009;"""3""";"""Influencer""";"""publicitária """;"""14/08/2009 a 30/08/2009""";"""Ocean Produção de Filmes Ltda. """;"""SC""";"""Independent Films""";"""Inglaterra""";"""Estrangeira """;"""PE""";
"""128""";13/08/2009;"""3""";"""The Worm Hunters""";"""documentário """;"""05/09/2009 a 20/09/2009""";"""Sol Entertainment Ltda. """;"""RJ""";"""Gulliver Media Australia Pty Ltd""";"""Austrália """;"""Estrangeira """;"""AM/PA""";
"""129""";13/08/2009;"""3""";"""Feito em América Latina""";"""documentário """;"""27/08/2009 a 17/09/2009""";"""Sol Entertainment Ltda. """;"""RJ""";"""Tandem Media S.A.""";"""Argentina """;"""Estrangeira """;"""AM/ES/MG/RJ""";
"""129-1""";21/09/2009;"""Cancelamento of. 129""";"""Feito em América Latina""";"""xxx""";"""xxx""";"""xxx""";"""xxx""";"""xxx""";"""xxx""";"""xxx""";"""xxx""";
"""129-2""";21/09/2009;"""3""";"""Feito em América Latina""";"""documentário """;"""27/10/2009 a 15/12/2009""";"""Sol Entertainment Ltda. """;"""RJ""";"""Tandem Media S.A.""";"""Argentina """;"""Estrangeira """;"""AM/ES/MG/RJ""";
"""130""";14/08/2009;"""2""";"""Fama pela fé""";"""documentário """;"""25/08/2009 a 29/08/2009""";"""D'Bartolo Filmes e Entretenimento Ltda""";"""SP""";"""Cut 2 Back""";"""África do Sul""";"""Estrangeira """;"""RJ""";
"""131""";19/08/2009;"""2""";"""Change for good field visit""";"""institucional """;"""23/08/2009 a 28/08/2009""";"""Carioca Filmes Ltda """;"""RJ""";"""Richard Stanley Productions""";"""Inglaterra""";"""Estrangeira """;"""SP""";
"""132""";20/08/2009;"""3""";"""Filme Brasileiro #5""";"""documentário """;"""27/09/2009 a 11/10/2009""";"""Sol Entertainment Ltda. """;"""RJ""";"""Fact + Film Medienproduktions GmbH""";"""Alemanha""";"""Estrangeira """;"""RJ""";
"""133""";21/08/2009;"""2""";"""Capivara, a atleta das águas""";"""documentário """;"""04/09/2009 a 10/10/2009""";"""The Amazon Touch Produções Ltda""";"""SP""";"""Japan Broadcasting Corporation""";"""Japão""";"""Estrangeira """;"""GO/MT/MS""";
"""134""";21/08/2009;"""17""";"""The Price of Beauty""";"""série de TV""";"""02/09/2009 a 11/09/2009""";"""Parábola Produções Ltda""";"""SP""";"""Clock Tower Productions""";"""Estados Unidos """;"""Estrangeira """;"""RJ""";
"""135""";01/09/2009;"""10""";"""I scored a gol in the final of the World Cup""";"""documentário """;"""17/09/2009 a 09/10/2009""";"""Terra Vermelha Filmes Ltda""";"""RJ""";"""Passion Pictures""";"""Inglaterra""";"""Estrangeira """;"""RJ/SP""";
"""135-3""";27/04/2010;"""6""";"""I scored a gol in the final of the World Cup""";"""documentário """;"""09/05/2010 a 21/05/2010         (2ª etapa)""";"""Terra Vermelha Filmes Ltda""";"""RJ""";"""Passion Pictures""";"""Inglaterra""";"""Estrangeira """;"""RJ/SP""";
"""136""";02/09/2009;"""3""";"""Tribuna - Barco da Justiça""";"""documentário """;"""17/09/2009 a 20/10/2009""";"""Sol Entertainment Ltda. """;"""RJ""";"""Filmquadrat.dok GmbH""";"""Alemanha""";"""Estrangeira """;"""AP""";
"""137""";02/09/2009;"""2""";"""The Grammar of Happiness""";"""documentário """;"""17/09/2009 a 10/10/2009""";"""Sertão Produções Artísticas e Cinematotográficas Ltda""";"""GO""";"""Essential Media & Entertainment Pty Ltd""";"""Austrália """;"""Estrangeira """;"""AM/RR""";
"""138""";02/09/2009;"""4""";"""The Trapper""";"""documentário """;"""09/09/2009 a 18/10/2009""";"""Blue Eye Empreendimentos e Produções Audiovisuais Ltda""";"""RJ""";"""Triosphere""";"""África do Sul""";"""Estrangeira """;"""AM""";
"""139""";03/09/2009;"""8""";"""Dream - América do Sul""";"""publicitária """;"""26/09/2009 a 05/10/2009""";"""XES Projetos Visuais Ltda """;"""SP""";"""Tohokushinsha Film Co.""";"""Japão""";"""Estrangeira """;"""PR""";
"""140""";09/09/2009;"""3""";"""Segredo da cor da pele""";"""documentário """;"""28/10/2009 a 05/11/2009""";"""D'Bartolo Filmes e Entretenimento Ltda""";"""SP""";"""Skin Deep 2009 Pty Ltd""";"""Austrália """;"""Estrangeira """;"""RJ""";
"""141""";11/09/2009;"""3""";"""Border Crossing""";"""publicitária """;"""10/09/2009 a 10/10/2009""";"""Bossa Nova Films Criações e Produções Ltda""";"""SP""";"""Hachiko Films""";"""Argentina """;"""Estrangeira """;"""RJ""";
"""142""";18/09/2009;"""1""";"""Senryu in Brazil - 55 anos de fundação da Associação da Província de Aomori""";"""documentário """;"""20/10/2009 a 29/10/2009""";"""XES Projetos Visuais Ltda """;"""SP""";"""NHK - Nippon Hoso Kyokai - Aomori Branch""";"""Japão""";"""Estrangeira """;"""PR/SP""";
"""143""";18/09/2009;"""5""";"""Another Sky""";"""documentário """;"""13/10/2009 a 25/10/2009""";"""Town Network Produções Audiovisuais Ltda""";"""SP""";"""Nippon Television Network Corporation""";"""Japão""";"""Estrangeira """;"""MG/SP""";
"""144""";22/09/2009;"""2""";"""10.000 Women""";"""documentário """;"""02/10/2009 a 06/10/2009""";"""Paradiso Films Ltda""";"""SP""";"""Steeplechase Films, Inc.""";"""Estados Unidos """;"""Estrangeira """;"""SP""";
"""145""";23/09/209;"""3""";"""Produzindo Certo""";"""institucional """;"""04/10/2009 a 09/10/2009""";"""D'Bartolo Filmes e Entretenimento Ltda""";"""SP""";"""True North Agency""";"""Estados Unidos """;"""Estrangeira """;"""MT""";
"""146""";23/09/2009;"""5""";"""Jungle Marathon""";"""documentário """;"""08/10/2009 a 18/10/2009""";"""Francisco Ferreira Pinto Filho (Amazon Film Productions)""";"""AM """;"""P.O.P. 1 Ltd""";"""País de Gales""";"""Estrangeira """;"""PA """;
"""147""";29/09/2009;"""1""";"""O Círculo""";"""documentário """;"""05/10/2009 a 30/10/2009""";"""Neon Rio Ltda """;"""RJ""";"""Tom Dick+Debbie Productions""";"""Inglaterra""";"""Estrangeira """;"""RJ""";
"""148""";29/09/2009;"""3""";"""True Life""";"""documentário """;"""02/10/2009 a 20/10/2009""";"""MZ Filmes e Produções Cinematográficas Ltda""";"""SP""";"""Crosstown Media Inc.""";"""Estados Unidos """;"""Estrangeira """;"""SP""";
"""149""";30/09/2009;"""1""";"""Clipper""";"""documentário """;"""17/10/2009 a 28/10/2009""";"""Brian M Sewell Produções Cinematográficas""";"""RJ""";"""North One Television""";"""Inglaterra""";"""Estrangeira """;"""RJ""";
"""150""";01/10/2009;"""2""";"""Change Makers in Brazil""";"""programa de TV""";"""09/10/2009 a 31/10/2009""";"""Marca D'água Produções Ltda""";"""SP""";"""One Planet""";"""França """;"""Estrangeira """;"""BA/RJ """;
"""151""";02/10/2009;"""2""";"""Sekai no hate made itte kyu""";"""programa de TV""";"""12/10/2009 a 22/10/2009""";"""XES Projetos Visuais Ltda """;"""SP""";"""NTV - Nippon Television Network Co.""";"""Japão""";"""Estrangeira """;"""GO/RJ/SP""";
"""152""";06/10/2009;"""65""";"""Global Adventure""";"""programa de TV (reality show) """;"""10/10/2009 a 31/12/2009""";"""Focus Films Ltda. """;"""RJ""";"""World Race Productions""";"""Estados Unidos """;"""Estrangeira """;"""RJ""";
"""152-7""";04/11/2009;"""Cancelamento da produção """;"""Global Adventure""";"""xxx""";"""xxx""";"""xxx""";"""xxx""";"""xxx""";"""xxx""";"""xxx""";"""xxx""";
"""153""";09/10/2009;"""3""";"""Rivers Amazon""";"""documentário """;"""25/10/2009 a 07/11/2009""";"""Neon Rio Ltda """;"""RJ""";"""BBC - British Broadcasting Corporation - Wales""";"""País de Gales""";"""Estrangeira """;"""AM""";
"""154""";09/10/2009;"""3""";"""Brazil for beginners""";"""documentário """;"""25/10/2009 a 10/12/2009""";"""Neon Rio Ltda """;"""RJ""";"""Kanakna Productions""";"""Bélgica""";"""Estrangeira """;"""BA/DF/RJ""";
"""155""";13/10/2009;"""4""";"""Mon rêve à Rio""";"""documentário """;"""21/10/2009 a 31/10/2009""";"""Bonfilm Produção e Distribuição Audiovisual Ltda""";"""RJ""";"""909 Productions""";"""França """;"""Estrangeira """;"""RJ""";
"""156""";16/10/2009;"""2""";"""Vermist""";"""documentário """;"""22/10/2009 a 26/10/2009""";"""Mares Produções Ltda""";"""RJ""";"""Tros Broadcasting Company""";"""Holanda """;"""Estrangeira """;"""SP""";
"""157""";16/10/2009;"""1""";"""Viagens para mundos distantes""";"""documentário """;"""27/10/2009 a 19/11/2009""";"""Sol Entertainment Ltda. """;"""RJ""";"""Saarlaendischer Rundfunk""";"""Alemanha""";"""Estrangeira """;"""MT/AM""";
"""158""";16/10/2009;"""1""";"""Hino""";"""publicitária """;"""19/10/2009 a 15/11/2009""";"""Paranoid Brasil Ltda.""";"""SP""";"""xxx""";"""xxx""";"""Brasileira """;"""SP""";
"""159""";19/10/2009;"""1""";"""Earthflight""";"""documentário """;"""22/10/2009 a 15/12/2009""";"""Neon Rio Ltda """;"""RJ""";"""John Downer Productions""";"""Inglaterra""";"""Estrangeira """;"""MT""";
"""160""";20/10/2009;"""2""";"""Brazilian Music, Dance and Art""";"""documentário """;"""08/11/2009 a 22/11/2009""";"""Terra Vermelha Filmes Ltda""";"""RJ""";"""Lambent Productions""";"""Inglaterra""";"""Estrangeira """;"""RJ""";
"""161""";20/10/2009;"""1""";"""Latino nodojiman""";"""documentário """;"""01/11/2009 a 18/11/2009""";"""América do Sul Produções de Documentários Ltda. """;"""SP""";"""NHK - Nippon Hoso Kyokai""";"""Japão""";"""Estrangeira """;"""PR/SP""";
"""162""";22/10/2009;"""4""";"""Soccer shrines""";"""documentário """;"""02/12/2009 a 06/12/2009""";"""Fanili Filmes Ltda""";"""SP""";"""Soccer Shrines, Inc.""";"""Canadá""";"""Estrangeira """;"""RJ""";
"""162-2""";27/11/2009;"""Cancelamento da produção""";"""Soccer shrines""";"""xxx""";"""xxx""";"""xxx""";"""xxx""";"""xxx""";"""xxx""";"""xxx""";"""xxx""";
"""163""";22/10/2009;"""3""";"""Apocalypse Soon""";"""documentário """;"""29/10/2009 a 01/11/2009""";"""Aura Filme Produções Ltda. """;"""RJ""";"""ZDF Zweites Deutsches Fernsehen""";"""Alemanha""";"""Estrangeira """;"""RJ/SP""";
"""164""";23/10/2009;"""6""";"""Extreme fishing with Robson Green""";"""documentário """;"""08/11/2009 a 26/11/2009""";"""Neon Rio Ltda """;"""RJ""";"""IWC Media Ltd""";"""Inglaterra""";"""Estrangeira """;"""AM/PA""";
"""165""";23/10/2009;"""3""";"""Mars center for cocoa science""";"""documentário """;"""04/11/2009 a 11/11/2009""";"""Utopia Filmes Produção Artística Ltda """;"""RJ""";"""MSLO Productions Inc,""";"""Estados Unidos """;"""Estrangeira """;"""BA""";
"""166""";27/10/2009;"""7""";"""NHK Premium - Aventura de um ônibus pela América do Sul""";"""documentário """;"""23/01/2010 a 30/03/2010""";"""Town Network Produções Audiovisuais Ltda""";"""SP""";"""Shun Ltd.""";"""Japão""";"""Estrangeira """;"""AL/AP/AM/BA/CE/ES/MA/MG/MS/RJ/PA/PE/PI/PR""";
"""167""";27/10/2009;"""2""";"""Missão de Deus""";"""documentário """;"""01/11/2009 a 05/11/2009""";"""D'Bartolo Filmes e Entretenimento Ltda""";"""SP""";"""Tyrone Productions""";"""Irlanda""";"""Estrangeira """;"""SP""";
"""168""";28/10/2009;"""5""";"""Ross Kemp: The Amazon - Sky1""";"""documentário """;"""02/11/2009 a 30/11/2009""";"""Brian M Sewell Produções Cinematográficas""";"""RJ""";"""Tiger Aspect Production Limited""";"""Inglaterra""";"""Estrangeira """;"""AM/MT/MS/PA/SP""";
"""169""";29/10/2009;"""4""";"""O Gringo""";"""documentário """;"""03/11/2009 a 20/12/2009""";"""Urca Filmes Ltda""";"""RJ""";"""Magicna Linija""";"""Sérvia""";"""Estrangeira """;"""RJ/SP""";
"""170""";30/10/2009;"""1""";"""Simpsons 20th Aniversário Documentário (O Especial)""";"""documentário """;"""05/11/2009 a 08/11/2009""";"""Utopia Filmes Produção Artística Ltda """;"""RJ""";"""Warior Poets""";"""Estados Unidos """;"""Estrangeira """;"""RJ""";
"""171""";03/11/2009;"""7""";"""Rio""";"""série de TV""";"""03/11/2009 a 31/01/2010""";"""RT2A Produções Cinematográficas Ltda""";"""RJ""";"""Vilaglobal LLC""";"""Estados Unidos """;"""Estrangeira """;"""RJ""";
"""172""";04/11/2009;"""1""";"""Lope""";"""ficção""";"""22/11/2009 a 17/01/2010
(pós-produção)""";"""Conspiração Filmes S/A""";"""RJ""";"""Ikiru Films, S.L. / El Toro Pictures, S.L.""";"""Espanha""";"""Coprodução""";"""RJ""";
"""173""";04/11/2009;"""5""";"""The Nazi Hunters""";"""documentário""";"""14/11/2009 a 14/12/2009""";"""Terra Vermelha Filmes Ltda""";"""RJ""";"""Cineflix (Wartime) Inc.""";"""Canadá""";"""Coprodução""";"""RJ/SP""";
"""173-1""";21/12/2009;"""3""";"""The Nazi Hunters""";"""documentário""";"""05/01/2010 a 15/02/2010         (2º momento) """;"""Terra Vermelha Filmes Ltda""";"""RJ""";"""Cineflix (Wartime) Inc.""";"""Canadá""";"""Coprodução""";"""RJ/SP""";
"""173-3""";23/02/2010;"""3""";"""The Nazi Hunters""";"""documentário""";"""14/03/2010 a 18/04/2010         (3º momento)""";"""Terra Vermelha Filmes Ltda""";"""RJ""";"""Cineflix (Wartime) Inc.""";"""Canadá""";"""Coprodução""";"""RJ""";
"""174""";05/11/2009;"""5""";"""Tropa de Elite 2 - Crime Organizado""";"""ficção""";"""15/11/2009 a 15/02/2010""";"""Zazen Produções Audiovisuais Ltda""";"""RJ""";"""xxx""";"""xxx""";"""Brasileira """;"""RJ""";
"""175""";06/11/2009;"""6""";"""Povos que comem arroz""";"""documentário""";"""26/11/2009 a 12/01/2010""";"""XES Projetos Visuais Ltda """;"""SP""";"""Kawauso Co. Ltd.""";"""Japão""";"""Estrangeira """;"""MS/RS/SP""";
"""176""";06/11/2009;"""3""";"""Karen in Action""";"""série de TV""";"""15/11/2009 a 30/11/2009""";"""Sol Entertainment Ltda. """;"""RJ""";"""Bewegte Zeiten Filmproduktion GmbH""";"""Alemanha""";"""Estrangeira """;"""AM/MG/RJ""";
"""177""";09/11/2009;"""11""";"""Beat the World""";"""ficção""";"""16/11/2009 a 13/12/2009""";"""Mudra Produções Artísticas e Culturais Ltda""";"""RJ""";"""BTW Productions Inc.""";"""Canadá""";"""Estrangeira """;"""RJ""";
"""178""";10/11/2009;"""8""";"""Monster fish: Brazil catfish""";"""documentário""";"""15/11/2009 a 16/12/2009""";"""Blue Eye Empreendimentos e Produções Audiovisuais Ltda""";"""RJ""";"""National Geographic Television""";"""Estados Unidos """;"""Estrangeira """;"""RO""";
"""179""";10/11/2009;"""3""";"""Climate change""";"""documentário""";"""14/11/2009 a 24/11/2009""";"""Francisco Ferreira Pinto Filho (Amazon Film Productions)""";"""AM """;"""Channel 4 News""";"""Inglaterra""";"""Estrangeira """;"""AM/MT""";
"""180""";13/11/2009;"""2""";"""Grandmother""";"""documentário""";"""23/11/2009 a 07/12/2009""";"""Zohar Cinema e Comunicação Ltda. """;"""RJ""";"""Academy Productions""";"""Inglaterra""";"""Estrangeira """;"""SP""";
"""180-2""";27/11/2009;"""Cancelamento da produção""";"""Grandmother""";"""xxx""";"""xxx""";"""xxx""";"""xxx""";"""xxx""";"""xxx""";"""xxx""";"""xxx""";
"""181""";17/11/2009;"""13""";"""360º""";"""documentário""";"""01/12/2009 a 12/12/2009""";"""Neon Rio Ltda """;"""RJ""";"""Ligne de Front""";"""França """;"""Estrangeira """;"""RJ/SP""";
"""182""";18/11/2009;"""2""";"""Touristic destinations in Amazonia, Brazil""";"""publicitária """;"""01/12/2009 a 11/12/2009""";"""Aura Filme Produções Ltda. """;"""RJ""";"""Aida Cruises""";"""Alemanha""";"""Estrangeira """;"""AM/PA""";
"""183""";19/11/2009;"""3""";"""Copacabana, Praia de extremos""";"""documentário""";"""09/12/2009 a 05/01/2010""";"""Sol Entertainment Ltda. """;"""RJ""";"""Filmquadrat.dok GmbH""";"""Alemanha""";"""Estrangeira """;"""RJ""";
"""184""";19/11/2009;"""7""";"""Favourite Things""";"""publicitária """;"""23/11/2009 a 18/12/2009""";"""Zohar Cinema e Comunicação Ltda. """;"""RJ""";"""Partizan Paris / Midi Minuit""";"""França """;"""Estrangeira """;"""RJ""";
"""185""";19/11/2009;"""5""";"""Human Planet""";"""documentário""";"""08/01/2010 a 01/03/2010""";"""Neon Rio Ltda """;"""RJ""";"""British Broadcasting Corporation""";"""Inglaterra""";"""Estrangeira """;"""AM/MA""";
"""186""";19/11/2009;"""4""";"""What business should we be in?""";"""publicitária """;"""26/11/2009 a 10/12/2009""";"""Ocean Produção de Filmes Ltda. """;"""SC""";"""The Swett Shop""";"""inglaterra""";"""Estrangeira """;"""SP""";
"""187""";24/11/2009;"""2""";"""Vídeo institucional ABB""";"""captação de imagens""";"""29/11/2009 a 15/12/2009""";"""Terra Vermelha Filmes Ltda""";"""RJ""";"""The Edge Picture Co. Ltd.""";"""Inglaterra""";"""Estrangeira """;"""PA/PR/SP""";
"""188""";25/11/2009;"""3""";"""Jana ina und Giovanni - Pizza, Pasta und Amore""";"""documentário""";"""07/12/2009 a 15/12/2009""";"""Aura Filme Produções Ltda. """;"""RJ""";"""South & Browse GmbH""";"""Alemanha""";"""Estrangeira """;"""PE""";
"""189""";30/11/2009;"""2""";"""Açaí, a fruta da Amazônia""";"""documentário""";"""01/12/2009 a 07/12/2009""";"""Francisco Ferreira Pinto Filho (Amazon Film Productions)""";"""AM """;"""ABC News""";"""Estados Unidos """;"""Estrangeira """;"""PA""";
"""190""";01/12/2009;"""4""";"""Samsara """;"""documentário""";"""10/12/2009 a 15/12/2009""";"""Elimar Produções Artísticas  Ltda """;"""RJ""";"""Magidson Films, Inc""";"""Estados Unidos """;"""Estrangeira """;"""SP """;
"""191""";02/12/2009;"""3""";"""Rund Um Die Welt - Eine Reise Zu Zweit """;"""documentário""";"""08/12/2009 a 12/12/2009""";"""Aura Filme Produções Ltda. """;"""RJ""";"""RTL Television GmbH""";"""Alemanha """;"""Estrangeira """;"""RJ""";
"""192""";02/12/2009;"""3""";"""Architects od Change (Arquitetos da Mudança) """;"""documentário""";"""08/12/2009 a 21/12/2009""";"""Saraguiana Filmes e Produções Culturais Ltda""";"""RJ""";"""PVP- Filmes Inc. """;"""Canadá""";"""Estrangeira """;"""RJ/RN""";
"""193""";03/12/2009;"""9""";"""Rachel & Kurara """;"""publicitária """;"""08/12/2009 a 22/12/2009""";"""Sweet Produções Ltda""";"""SP """;"""Stink GmbH""";"""Alemanha """;"""Estrangeira """;"""SP """;
"""194""";07/12/2009;"""3""";"""Sacred Beasts """;"""documentário""";"""04/01/2010 a 11/01/2010""";"""Blue Eye Empreendimentos e Produções Audiovisuais Ltda""";"""RJ""";"""Ping Pong Productions """;"""Estados Unidos """;"""Estrangeira """;"""BA""";
"""195""";04/12/2009;"""3""";"""Prova""";"""publicitária """;"""10/12/2009 a 30/12/2009""";"""Bossa Nova Films Criações e Produções Ltda""";"""SP""";"""xxx""";"""xxx""";"""Brasileira """;"""SP """;
"""196""";07/12/2009;"""4""";"""Garnier Fructis 3 Óleos """;"""publicitária """;"""11/12/2009 a 25/12/2009""";"""Zohar Cinema e Comunicação Ltda. """;"""RJ""";"""xxx""";"""xxx""";"""Brasileira """;"""RJ""";
"""196-3""";05/01/2010;"""3""";"""Garnier Fructis 3 Óleos """;"""publicitária """;"""12/01/2010 a 18/01/2010           (2º Momento) """;"""Zohar Cinema e Comunicação Ltda. """;"""RJ""";"""xxx""";"""xxx""";"""Brasileira """;"""RJ""";
"""197""";08/12/2009;"""3""";"""Goodbye Germany""";"""documentário""";"""16/12/2009 a 23/12/2009""";"""Aura Filme Produções Ltda. """;"""RJ""";"""Eyeworks Entertianment GmbH""";"""Alemanha """;"""Estrangeira """;"""BA/RJ """;
"""198""";08/12/2009;"""1""";"""Bola de Gude """;"""publicitária """;"""12/12/2009 a 22/12/2009""";"""Paranoid Brasil Ltda.""";"""SP""";"""xxx""";"""xxx""";"""Brasileira """;"""SP""";
"""199""";09/12/2009;"""3""";"""Grandes Construções - Brazil """;"""documentário""";"""12/12/2009 a 30/01/2010""";"""Sister Entretenimento Ltda""";"""SP""";"""Powderhouse Productions""";"""Estados Unidos """;"""Estrangeira """;"""RJ""";
"""200""";10/12/2009;"""4""";"""O Terminal Rodoviário do Brasil""";"""documentário""";"""16/12/2009 a 10/01/2010""";"""Town Network Filmagens Ltda""";"""SP""";"""Nihon Denpa News Co. Ltd.""";"""Japão""";"""Estrangeira """;"""SP""";
"""201""";15/12/2009;"""17""";"""Tokyo Hotel """;"""publicitária """;"""28/12/2009 a 18/01/2010""";"""Zohar Cinema e Comunicação Ltda. """;"""RJ""";"""Partizan Paris / Midi Minuit""";"""França """;"""Estrangeira """;"""RJ""";
"""202""";16/12/2009;"""1""";"""Finais da UFC 109""";"""documentário""";"""18/12/2009 a 25/12/2009""";"""Sister Entretenimento Ltda""";"""SP""";"""JMH Productions """;"""Estados Unidos """;"""Estrangeira """;"""DF""";
"""203""";17/12/2009;"""3""";"""Ein Landa Macht Sich Fit Für 21. Jahrhundert""";"""documentário""";"""30/12/2009 a 10/01/2010""";"""Aura Filme Produções Ltda. """;"""RJ""";"""ZDF - Zweites Deutsches Fernsehen""";"""Alemanha """;"""Estrangeira """;"""BA/PE/RJ/
SP """;
"""204""";23/12/2009;"""4""";"""Gates on Latin America """;"""documentário""";"""10/02/2010 a 17/02/2010""";"""Terra Vermelha Filmes Ltda""";"""RJ""";"""Wall to Wall Media """;"""Inglaterra""";"""Estrangeira """;"""BA """;
"""205""";21/12/2009;"""5""";"""Enfants Sauvage""";"""videoclipe """;"""29/01/2010 a 06/02/2010""";"""Neon Rio Ltda """;"""RJ""";"""Street Skillz""";"""França """;"""Estrangeira """;"""RJ""";
"""206""";28/12/2009;"""5""";"""The Tourist """;"""documentário""";"""02/02/2010 a 22/02/2010""";"""Neon Rio Ltda """;"""RJ""";"""Mentorn Media """;"""Inglaterra""";"""Estrangeira """;"""RJ""";
"""207""";29/12/2009;"""7""";"""Risotto""";"""publicitária """;"""12/01/2010 a 30/01/2010""";"""Ocean Produção de Filmes Ltda. """;"""SC""";"""Stink""";"""Inglaterra""";"""Estrangeira """;"""SP""";
