Listagem de Autorizações de Produções Audiovisuais no Brasil com Participação de Profissionais Estrangeiros 2017;;;;;;;;;;;
;;;;;;;;;;;
Número de Autorização de Origem;Data da Aprovação;"Número de Técnicos/
Artistas Estrangeiros";Título da Obra;Tipo de Obra;Período Produção;Empresa Brasileira;UF;Empresa Estrangeira;País;Produção;Local de Filmagem (UF)
37;21/02/2017;9;"""Soir de Fête à Rio""";Documentário;"""21 de fevereiro a 13 de março de 2017""";Aura Filme Produções Ltda.;RJ;"""CinéTévé""";"""França""";Produção Estrangeira;"""Rio de Janeiro (RJ)"""
38;22/02/2017;7;"""Carlos Henrique - O Kaiser - Fase 5""";Documentário;"""17 de abril a 03 de maio de 2017""";Fernanda Rizzo Eventos e Produções Ltda;RJ;"""Nods & Volleys Entertainment Limited""";"""Reino Unido""";Produção Estrangeira;"""Rio de Janeiro (RJ)"""
40;23/02/2017;6;"""K-POP, Da Ásia para o mundo""";Documentário;"""15 a 21 de março de 2017""";HK Brasil Produtora de Mídia e Eventos Ltda.;SP;"""Camp Entertainment""";"""República da Coreia, Coreia do Sul""";Produção Estrangeira;"""São Paulo (SP)"""
41;23/02/2017;2;"""Brésil, sur les routes de l'aventure""";Documentário;"""01 a 18 de março de 2017""";Camelô Produções ;RJ;"""Tony Comiti""";"""França""";Produção Estrangeira;"""Rota entre Manaus (AM) e Porto Velho (RO); Rota entra Porto Velho (RO) e Rio Branco (AC) """
32;06/03/2017;53;"""Yucatan - O Filme""";Ficção / Reality Show;"""05 a 10 de março de 2017""";Rec Produtores Associados Ltda;PE;"""Ikiru Films SL""";"""Espanha""";Produção Estrangeira;"""Recife (PE)"""
42;07/03/2017;4;"""Die Story""";Documentário;"""16 de março a 4 de abril de 2017""";Sol Entertainment Ltda.;RJ;"""Norddeutscher Rundfunk""";"""Alemanha""";Produção Estrangeira;"""São Paulo e São Bernando (SP); Campos de Goitacazes (RJ)"""
43;07/03/2017;7;"""Heineken Light""";Obra Publicitária;"""01 a 31 de março de 2017""";Zohar Cinema e Comunicação Ltda;RJ;"""Midi Minuit """;"""França""";Produção Estrangeira;"""Rio de Janeiro (RJ)"""
44;07/03/2017;2;"""Extreme Life: City and Jungle""";Documentário;"""1 de março a 15 de abril de 2017""";Griffon Visual Arts Ltda. - EPP;SP;"""Octagon, CO., LTD""";"""Japão""";Produção Estrangeira;"""Tabatinga, Tefé, Coari e Manaus (AM); São Paulo (SP)"""
45;07/03/2017;9;"""G - Eazy Doc """;Documentário;"""21 a 31 de março de 2017""";BPS Produções e Serviços Eireli;RJ;"""Figura Media LLC""";"""Estados Unidos da América""";Produção Estrangeira;"""São Paulo (SP)"""
46;07/03/2017;3;"""Aparecida""";Documentário;"""17 a 27 de março de 2017""";Sol Entertainment Ltda.;RJ;"""CFRT (Comites Français de Radio - Television)""";"""França""";Produção Estrangeira;"""Aparecida do Norte (SP)"""
