Listagem de Autorizações de Produções Audiovisuais no Brasil com Participação de Profissionais Estrangeiros 2017;;;;;;;;;;;
;;;;;;;;;;;
Número de Autorização de Origem;Data da Aprovação;"Número de Técnicos/
Artistas Estrangeiros";Título da Obra;Tipo de Obra;Período Produção;Empresa Brasileira;UF;Empresa Estrangeira;País;Produção;Local de Filmagem (UF)
15-E;04/10/2017;2;"""Journey to The Jungle""";Documentário;"""21 a 31 de outubro de 2017""";BPS Produções e Serviços Eireli;RJ;"""Figura Media LLC""";"""Estados Unidos da América""";Produção Estrangeira;"""Cruzeiro do Sul (AC)"""
19-E;10/10/2017;5;"""Far From Home - São Paulo""";Documentário;"""28 de outubro a 04 de novembro de 2017""";BPS Produções e Serviços Eireli;RJ;"""Figura Media LLC""";"""Estados Unidos da América""";Produção Estrangeira;"""São Paulo (SP)"""
20-E;10/10/2017;3;"""Concerto U2 em São Paulo""";Documentário;"""15 a 23 de outubro de 2017""";Neon Rio Ltda;RJ;"""Nine Network Australia""";"""Austrália""";Produção Estrangeira;"""São Paulo (SP)"""
21-E;11/10/2017;2;"""Our Planet 2017 : Paraná""";Documentário;"""16 de outubro a 20 de novembro de 2017""";Tacacá Filmes LTDA;RJ;"""Living Planet LTD""";"""Reino Unido""";Produção Estrangeira;"""Reserva Natural de Salto Morato (PR)"""
22-E;11/10/2017;4;"""Find my Family""";Documentário;"""03 a 11 de novembro de 2017""";Sol Entertainment Ltda.;RJ;"""STV Production A/S""";"""Dinamarca""";Produção Estrangeira;"""Brasília (DF); Macapá, Laranjal do Jari e Pedra Branca (AP); Belém (PA)"""
24-E;11/10/2017;16;"""Buschi vs Köppen""";Reality Show;"""17 a 26 de outubro de 2017""";Aura Filme Produções Ltda.;RJ;"""Endemol Shine Nederland Producties B.V""";"""Alemanha""";Produção Estrangeira;"""Rio de Janeiro (RJ); Manaus (AM)"""
25-E;11/10/2017;8;"""Le Messager 5""";Documentário;"""09 a 20 de novembro de 2017""";Andara Filmes LTDA - ME;SP;"""Boreales """;"""França""";Produção Estrangeira;"""Mineiros (GO); Aquidauana e Miranda (MS)"""
26-E;11/10/2017;2;"""River Silence""";Documentário;"""06 de novembro a 21 de dezembro de 2017""";Sol Entertainment Ltda.;RJ;"""EyeSteelFilm Inc""";"""Canadá""";Produção Estrangeira;"""Altamira, Belém, Santarém, Bragança, Cametá, Oriximiná e Alenquer (PA)"""
23-E;16/10/2017;6;"""Journey of a Lifetime""";Documentário;"""08 a 15 de novembro de 2017""";Viva Filmes LTDA;RJ;"""Tin Can BV""";"""Holanda""";Produção Estrangeira;"""Rio de Janeiro (RJ); Cataratas do Iguaçu (PR)"""
27-E;17/10/2017;3;"""Wild Metropolis""";Documentário;"""06 a 16 de novembro de 2017""";Cristian Dimitrius Produções Ltda;SP;"""British Broadcasting Corporation BBC""";"""Reino Unido""";Produção Estrangeira;"""Mocajuba (PA)"""
28-E;18/10/2017;2;"""Hot Spot - Último Paraíso""";Documentário;"""31 de outubro a 20 de dezembro de 2017""";The Amazon Touch Produções LTDA;GO;"""Nippon Hoso Kyokai (NHK) - Japan Broadcasting Corporation""";"""Japão""";Produção Estrangeira;"""Silva Jardim (RJ); Santa Maria do Jetibá (ES); Rio Formoso (PE); Contagem (MG)"""
29-E;18/10/2017;3;"""90 Day Fiancé - Before The 90 Days""";Documentário;"""26 de outubro a 15 de novembro de 2017""";Story Produções LTDA - EPP;SP;"""Sharp Entertainment, LLC""";"""Estados Unidos da América""";Produção Estrangeira;"""Manaus, Tabatinga e Tonantins (AM)"""
33-E;20/10/2017;4;"""Nova Lenda da Vida de Animais - Parte 2""";Documentário;"""16 a 28 de novembro de 2017""";The Amazon Touch Produções LTDA;GO;"""Nippon Hoso Kyokai (NHK) - Japan Broadcasting Corporation""";"""Japão""";Produção Estrangeira;"""Mocajuba (PA)"""
37-E;26/10/2017;7;"""Monster Rivers""";Documentário;"""08 a 22 de novembro de 2017""";Dez e Vinte Produções Cinematográficas LTDA ME;SP;"""Icon Films""";"""Reino Unido""";Produção Estrangeira;"""Manaus (AM); Porto Velho (RO); Itaituba e Belém (PA)"""
39-E;26/10/2017;4;"""Project Manaus""";Documentário;"""6 de novembro a 16 de dezembro de 2017""";Viva Filmes LTDA;RJ;"""Silvervan Productions""";"""Reino Unido""";Produção Estrangeira;"""Manaus (AM)"""
40-E;26/10/2017;3;"""Palladium Travel""";Institucional;"""28 de outubro a 04 de novembro de 2017""";BPS Produções e Serviços Eireli;RJ;"""Figura Media LLC""";"""Estados Unidos da América""";Produção Estrangeira;"""São Paulo (SP)"""
41-E;30/10/2017;2;"""Rewind 2017""";Music Video;"""05 a 11 de novembro de 2017""";Iluminatta Produtora de Filmes LTDA;RJ;"""Portal A""";"""Estados Unidos da América""";Produção Estrangeira;"""Rio de Janeiro (RJ)"""
42-E;30/10/2017;7;"""Friends Stories""";Obra Publicitária;"""15 de novembro a 06 de dezembro de 2017""";Domo Produções Ltda.;SP;"""PARK Pictures""";"""Estados Unidos da América""";Produção Estrangeira;"""São Paulo (SP)"""
43-E;30/10/2017;1;"""Brazil Is Paradise""";Ficção;"""07 de novembro a 06 de dezembro de 2017""";Nation & Nação Produções Artísticas;SP;"""R.A.K Enterprises""";"""Paquistão""";Produção Estrangeira;"""São Paulo (SP); Rio de Janeiro (RJ); Manaus (AM)"""
44-E;01/11/2017;3;"""Destacando o impacto do programa de intercâmbio educacional entre Brasil e EUA""";Documentário / Institucional;"""30 de novembro a 04 de dezembro de 2017""";Casa Redonda Produções Culturais LTDA;SP;"""Story Center""";"""Estados Unidos da América""";Produção Estrangeira;"""Teresina (PI)"""
47-E;01/11/2017;9;"""Video Clipe Musical do Canadense ""Jean-François Gagnon""""";Video Musical;"""12 a 22 de novembro de 2017""";Francisco Ferreira Pinto Filho - ME;AM;"""CDI Virtual Films, INC""";"""Estados Unidos da América""";Produção Estrangeira;"""Fernando de Noronha (PE)"""
50-E;07/11/2017;1;"""The Amazon (Rio Mar)""";Documentário;"""07 a 22 de novembro de 2017""";Senaya Criações Artísticas LTDA;SP;"""National Sawdust""";"""Estados Unidos da América""";Produção Estrangeira;"""Santiago do Norte, Gaúcha do Norte, Canarana e Feliz Natal (MT)"""
53-E;10/11/2017;1;"""Rainbow Six""";Institucional;"""15 a 20 de novembro de 2017""";Story Produções LTDA - EPP;SP;"""Dune Production""";"""França""";Produção Estrangeira;"""São Paulo (SP)"""
51-E;13/11/2017;3;"""Tribe""";Ficção;"""06 a 16 de dezembro de 2017""";Cassuça Benevides Produção de Conteúde Eireli ME (Quartzo Comunicações);DF;"""Arara Film, LCC""";"""Estados Unidos da América""";Produção Estrangeira;"""Altamira (PA); Rio de Janeiro (RJ)"""
55-E;14/11/2017;2;"""Invitation au Voyage""";Documentário;"""17 a 30 de novembro de 2017""";Camelô Produções;RJ;"""Elephant Doc""";"""França""";Produção Estrangeira;"""Rio de Janeiro e Petrópolis (RJ); Barbacena (MG)"""
57-E;17/11/2017;0;"""Macy's""";Obra Publicitária;"""18 a 22 de novembro de 2017""";Lobo Multimidia Serviços e Participações Ltda;SP;"""Boudin Noir""";"""Estados Unidos da América""";Produção Estrangeira;"""São Paulo (SP)"""
58-E;24/11/2017;4;"""The Great Ball of China""";Documentário;"""24 a 29 de novembro de 2017""";Viva Filmes LTDA;RJ;"""Fame London Ltda""";"""Reino Unido""";Produção Estrangeira;"""Guarujá (SP)"""
60-E;24/11/2017;9;"""Budweiser-World Cup Drones""";Obra Publicitária;"""30 de novembro a 13 de dezembro de 2017""";Zohar Cinema e Comunicação Ltda;RJ;"""RSA""";"""Estados Unidos da América""";Produção Estrangeira;"""Rio de Janeiro (RJ)"""
63-E;28/11/2017;9;"""Kyodai bakufu ga inochi wo hagukumu """;Documentário;"""20 de dezembro de 2017 a 25 de janeiro de 2018""";Town Network Filmagens LTDA;SP;"""NHK-Nippon Hoso Kyokai""";"""Japão""";Produção Estrangeira;"""Foz do Iguaçu (PR)"""
64-E;28/11/2017;3;"""Face Book Doc""";Documentário;"""07 a 14 de dezembro de 2017""";Ricardo Gonçalves Produções Cinematográficas ME;SP;"""Vagabond Films""";"""Estados Unidos da América""";Produção Estrangeira;"""São Paulo (SP); Salvador (BA)"""
59-E;01/12/2017;1;"""""Great Rivers"" Part 2""";Documentário;"""03 de janeiro a 03 de abril de 2018""";Neon Rio Ltda;RJ;"""BBC Natural History Unit""";"""Reino Unido""";Produção Estrangeira;"""Manaus, Iranduba e Rio Negro (AM); Novo Progresso e Alter do Chão (PA); Alta Floresta (MT)"""
70-E;05/12/2017;3;"""Sur le chemin des Pierres""";Documentário;"""01 a 06 de dezembro de 2017""";Jungle Jazz Porudções Artísticas Ltda. ;RJ;"""SCIENTFILMES""";"""França""";Produção Estrangeira;"""Diamantina (MG)"""
73-E;07/12/2017;7;"""Grandes Figuras das Pequenas Comunidades do Mundo""";Documentário;"""18 de dezembro de 2017 a 05 de janeiro de 2018""";Xes Projetos Visuais Ltda;SP;"""Logic Entertainment Corporation""";"""Japão""";Produção Estrangeira;"""São Paulo (SP); Belo Horizonte e Belo Vale (MG)"""
75-E;07/12/2017;3;"""A Terra Vista do Espaço - Episódio 4 - Parte 2""";Documentário;"""12 de fevereiro a 02 de março de 2018""";Neon Rio Ltda;RJ;"""BBC Natural History Unit""";"""Reino Unido""";Produção Estrangeira;"""São Luís do Maranhão (MA)"""
77-E;18/12/2017;9;"""Vamos With the Pos Family""";Documentário;"""05 a 16 de fevereiro de 2018""";Neon Rio Ltda;RJ;"""Talpa Prductions BV""";"""Holanda""";Produção Estrangeira;"""Campo Grande (MS); Rio de Janeiro (RJ)"""
79-E;22/12/2017;3;"""Planet Chef""";Documentário;"""02 a 12 de janeiro de 2018""";Gato Preto Filmes;SP;"""Gedeon Programmes""";"""França""";Produção Estrangeira;"""Rio de Janeiro (RJ); Pote (MG)"""
80-E;22/12/2017;1;"""A Vida pela Frente (Sick Sick Sick)""";Ficção;"""02 de janeiro a 30 de abril de 2018""";Estúdio Giz Produções Ltda. ME;RJ;""" -""";""" -""";Produção Brasileira;"""Paraty, Trindade e Rio de Janeiro (RJ)"""
81-E;27/12/2017;4;"""Projeto Equador""";Documentário;"""16 de janeiro a 28 de fevereiro de 2018""";Sango Productions Ltda.;SP;"""Temjin TV Production""";"""Japão""";Produção Estrangeira;"""São Gabriel da Cachoeira e Barcelos (AM), Oriximiná (PA), Pedra Branca do Amapari, Laranjal do Jari e Macapá (AP)"""
18;cancelado;1;"""Pizza - Tums Chewy Bites""";Obra Publicitária;"""13 a 24 de fevereiro de 2017""";Hungry Man Brasil Produções Ltda.;SP;"""Hogarth para GSK""";"""Estados Unidos da América""";Produção Estrangeira;"""São Paulo (SP)"""
28;cancelado;1;""" Camaro 50 Anos""";Obra Publicitária;"""10 a 19 de fevereiro de 2017""";Storm Admnistração Ltda.;SP;""" -""";""" -""";Produção Brasileira;"""São Paulo (SP)"""
;;;;;;;;;;;
"""Nota: A realização de produções audiovisuais estrangeiras ou com a participação de profissionais estrangeiros no Brasil deve ser comunicada à Ancine, de acordo com o artigo 23 da Medida Provisória nº 2.228-1/01, regulamentado pela Instrução Normativa nº 79 da ANCINE.""";;;;;;;;;;;
Fonte: Assessoria Internacional - AIN/ANCINE.;;;;;;;;;;;
Elaboração: Coordenação do Observatório do Cinema e do Audiovisual - COB/SAM/ANCINE. Publicado em 22/02/2018.;;;;;;;;;;;
