Listagem dos Filmes Brasileiros Lançados Comercialmente em Salas de Exibição 1995 a 2020;;;;;;;;;;;;;
;;;;;;;;;;;;;
Ano de Lançamento;Certificado de Produto Brasileiro (CPB);Título;Direção;Gênero;Empresa Produtora Brasileira Majoritária;UF;Empresa Produtora Minoritária Brasileira;UF;Distribuidora;Máximo de Salas;Público;Renda (R$);
1998;-;Alô;Mara Mourão;Ficção;Mamo Filmes;SP;-;-;RioFilme;ND;2.703;13.000,00;
1998;B0500312600000;Amor e Cia;Helvécio Ratton;Ficção;Quimera Filmes;MG;-;-;S. Ribeiro/RioFilme;24;47.179;237.310,00;
1998;B0500261200000;Amores;Domingos de Oliveira;Ficção;TV Zero Produções;RJ;-;-;S. Ribeiro/RioFilme;6;33.192;164.418,00;
1998;B0500286200000;Ação entre Amigos;Beto Brant;Ficção;Dezenove Som e Imagens;SP;-;-;S. Ribeiro/RioFilme;3;38.957;194.330,00;
1998;B0300023600000;Bahia de Todos os Sambas;Leon Hirszman/Paulo César Saraceni;Documentário;Shater Produções Artísticas;RJ;-;-;RioFilme;1;1.037;5.107,00;
1998;B0500326400000;Bela Donna;Fábio Barreto;Ficção;Filmes do Equador;RJ;-;-;S. Ribeiro/RioFilme;74;68.151;370.060,00;
1998;B0400052500000;Bocage - o Triunfo do Amor;Djalma Limongi Batista;Ficção;Cinema do Século XXI;SP;-;-;RioFilme;2;16.621;73.281,00;
1998;B0600556000000;Boleiros, Era uma Vez o Futebol;Ugo Giorgetti;Ficção;SP Filmes de São Paulo;SP;-;-;Tabu Arte;ND;60.000;300.000,00;
1998;B0500310900000;Central do Brasil;Walter Salles;Ficção;Videofilmes;RJ;-;-;S. Ribeiro/RioFilme;79;1.593.967;8.087.276,00;
1998;-;Cinderela Bahiana;Conrado Sanchez;Ficção;Galante Filmes;SC;-;-;Art Filmes;ND;32.000;180.000,00;
1998;B0500272900000;Como Ser Solteiro;Rosane Svartman;Ficção;Raccord Produções;RJ;-;-;S. Ribeiro/RioFilme;25;150.778;825.101,00;
1998;B0500403300000;Coração Iluminado;Hector Babenco;Ficção;HB Filmes;SP;-;-;Columbia;19;17.850;92.892,00;
1998;B0500403400000;For All - o Trampolim da Vitória;Buza Ferraz/Luiz Carlos Lacerda;Ficção;Bigdeni Filmes;RJ;-;-;Columbia;35;62.604;348.628,00;
1998;B0400110800000;Kenoma;Eliane Caffé;Ficção;A.F. Cinema;SP;-;-;RioFilme;ND;8.197;40.000,00;
1998;B0500310800000;La Serva Padrona;Carla Camurati;Ficção;Copacabana Filmes e Produções;RJ;-;-;Elimar;ND;50.000;250.000,00;
1998;B0500242600000;Menino Maluquinho 2 - A Aventura;Fabrízia Alves Pinto/Fernando Meirelles;Ficção;Grupo Novo de Cinema e TV;RJ;-;-;S. Ribeiro/RioFilme;94;367.456;898.496,00;
1998;B0800834800000;O Toque do Oboé;Cláudio Macdowell;Ficção;Imágica Produções;RJ;RioFilme;RJ;RioFilme;ND;2.368;12.000,00;
1998;B0500334800000;Policarpo Quaresma - Herói do Brasil;Paulo Thiago;Ficção;Vitória Produções;RJ;-;-;S. Ribeiro/RioFilme;11;76.761;183.538,00;
1998;B0500335300000;Simão, o Fantasma Trapalhão;Paulo Aragão;Ficção;Renato Aragão Produções;RJ;-;-;Columbia;246;1.658.136;6.118.522,00;
1998;B1101381700000;Terra do Mar;Eduardo Caron/Mirella Martinelli;Documentário;Bad Machine;SP;-;-;RioFilme;2;1.531;7.596,00;
1998;B0500307600000;Traição;Arthur Fontes/Claudio Torres/José Henrique Fonseca;Ficção;Conspiração Filmes;RJ;-;-;Lumière;7;37.572;202.207,00;
1998;B0600491200000;Tudo é Brasil;Rogério Sganzerla;Documentário;Mercúrio Produções;SP;-;-;RioFilme;1;1.910;5.348,00;
1999;B0500436200000;A Hora Mágica;Guilherme de Almeida Prado;Ficção;Star Filmes;SP;-;-;RioFilme;7;5.999;31.891,00;
1999;B0400055300000;Até que a Vida nos Separe;José Zaragoza;Ficção;Zaragoza Produções;SP;-;-;RioFilme;36;43.815;243.629,00;
1999;B0700724300000;Caminho dos Sonhos;Luca Amberg;Ficção;Amberg Filmes;SP;-;-;UIP;22;14.646;68.060,00;
1999;B0500313700000;Castelo Rá-Tim-Bum, o Filme;Cao Hamburger;Ficção;A.F. Cinema/Caos Produções;SP/SP;-;-;Columbia;134;725.329;3.031.875,00;
1999;-;Contos de Lygia e Morte;Del Rangel;Ficção;Cinema Profissional;SP;-;-;Lumière;2;649;3.257,00;
1999;B0500286100000;Dois Córregos;Carlos Reichenbach;Ficção;Dezenove Som e Imagens/TV Cultura;SP/SP;-;-;RioFilme;13;38.017;189.716,00;
1999;B0500304300000;Fé;Ricardo Dias;Documentário;Superfilmes;SP;-;-;RioFilme;4;8.248;42.349,00;
1999;-;Histórias do Flamengo;Alexandre Niemyer;Documentário;Produções Carlos Niemeyer Filmes;RJ;-;-;RioFilme;14;11.157;56.465,00;
1999;B0400086000000;Mauá - o Imperador e o Rei;Sergio Rezende;Ficção;Lagoa Cultural;RJ;-;-;Buena Vista/RioFilme;78;195.790;923.684,00;
1999;B0600618500000;Mário;Hermano Penna;Ficção;Luz XXI/Estudios Quanta;SP/SP;-;-;RioFilme;1;2.249;11.929,00;
1999;B0500310100000;No Coração dos Deuses;Geraldo Moraes;Ficção;Aquarela;DF;-;-;RioFilme;25;23.217;90.530,00;
1999;B0300021500000;Nós que aqui Estamos por vós Esperamos;Marcelo Masagão;Documentário;Um Minuto;SP;-;-;RioFilme;4;58.577;285.130,00;
1999;B0500446400000;O Primeiro Dia;Daniela Thomas/Walter Salles;Ficção;Videofilmes;RJ;-;-;Lumière/RioFilme;17;64.383;347.917,00;
1999;B0500336400000;O Trapalhão e a Luz Azul;Alexandre Boury/Paulo Aragão;Ficção;Globo Filmes/Renato Aragão Produções;RJ/RJ;-;-;Lumière;239;771.831;2.947.356,00;
1999;B0600450400000;O Tronco;João Batista de Andrade;Ficção;Raiz Produções;SP;-;-;Pandora;ND;1.000;5.000,00;
1999;B0600460600000;O Viajante;Paulo César Saraceni;Ficção;Shater Produções Artísticas;RJ;-;-;RioFilme;2;5.970;24.809,00;
1999;B0800822000000;Orfeu;Cacá Diegues;Ficção;Globo Filmes/Rio Vermelho Filmes;RJ/RJ;-;-;Warner;147;961.961;4.455.409,00;
1999;B0800819200000;Os Carvoeiros;Nigel Noble;Documentário;Zazen Produções;RJ;-;-;Zazen;ND;1.000;5.000,00;
1999;-;Outras Estórias;Pedro Bial;Ficção;THEO Filmes;RJ;-;-;RioFilme;6;21.515;102.060,00;
1999;B0600508700000;Paixão Perdida;Walter Hugo Khouri;Ficção;TV Cultura/Videcom;SP/SP;-;-;RioFilme;6;3.596;19.516,00;
1999;B0300013900000;Por Trás do Pano;Luiz Villaça;Ficção;Nia Filmes;SP;-;-;RioFilme;7;22.109;118.411,00;
1999;B0901021800000;Santo Forte;Eduardo Coutinho;Documentário;CECIP - Centro de Criação de Imagem Popular;RJ;-;-;RioFilme;4;18.313;91.883,00;
1999;B0300047700000;São Jerônimo;Julio Bressane;Ficção;TB Produções;RJ;-;-;RioFilme;2;5.000;27.722,00;
1999;B0400064000000;Tiradentes;Oswaldo Caldeira;Ficção;Oswaldo Caldeira Produções Cinematográficas/RioFilme;RJ/RJ;-;-;RioFilme;3;7.489;34.253,00;
1999;B0500310200000;Um Copo de Cólera;Aluizio Abranches;Ficção;Tambellini Filmes;RJ;-;-;RioFilme;7;58.337;309.094,00;
1999;B0800854000000;Uma Aventura do Zico;Antonio Carlos da Fontoura;Ficção;Filmes do Equador/Quanta-Rio;RJ/RJ;-;-;Lumière;60;36.727;158.373,00;
1999;B0500186500000;Xuxa Requebra;Tizuka Yamasaki;Ficção;Diler & Associados;RJ;-;-;Fox;218;2.074.461;8.173.376,00;
1999;-;Zoando na TV;José Alvarenga Jr.;Ficção;Angélica Produções Artísticas/Globo Filmes//Lereby;RJ/RJ/RJ;-;-;Columbia;143;911.394;3.463.297,00;
2000;B0400065500000;A Terceira Morte de Joaquim Bolivar;Flávio Cândido;Ficção;Cândido&Moraes;RJ;-;-;RioFilme;1;2.330;11.497,00;
2000;B0500309500000;Amélia;Ana Carolina;Ficção;Crystal Cinematográfica;RJ;-;-;RioFilme;6;24.431;140.283,00;
2000;B0600534900000;Através da Janela;Tata Amaral;Ficção;A.F. Cinema/Tangerina Entretenimento;SP/SP;-;-;RioFilme;5;10.271;53.960,00;
2000;B0500386700000;Bossa Nova;Bruno Barreto;Ficção;Filmes do Equador/LC Barreto;RJ/RJ;-;-;Columbia;158;520.614;3.165.333,00;
2000;B0700686200000;Cronicamente Inviável;Sérgio Bianchi;Ficção;Agravo Produções Cinematográficas;SP;-;-;RioFilme;6;69.443;378.287,00;
2000;B0500312500000;Cruz e Sousa - o Poeta do Desterro;Sylvio Back;Ficção;Usina de Kyno;PR;-;-;RioFilme;2;3.608;15.510,00;
2000;B0500311600000;Estorvo;Ruy Guerra;Ficção;Skylight;RJ;-;-;RioFilme;4;11.532;66.325,00;
2000;B0500237200000;Eu, tu, eles;Andrucha Waddington;Ficção;Conspiração Filmes;RJ;-;-;Columbia;132;695.682;4.111.481,00;
2000;B0500363900000;Gêmeas;Andrucha Waddington;Ficção;Conspiração Filmes;RJ;-;-;Columbia;18;40.368;234.781,00;
2000;B0600561200000;Hans Staden;Luiz Alberto Pereira;Ficção;Lapfilme;SP;-;-;RioFilme;9;46.646;238.389,00;
2000;B0500310400000;Iremos a Beirute;Marcus Moura;Ficção;Estação Luz Filmes;CE;-;-;RioFilme;3;1.639;8.751,00;
