"""Listagem de Produções no Brasil com Participação de Profissionais Estrangeiros - 2010""";;;;;;;;;;;;
"""Número de Autorização de Origem""";Data da Aprovação;"""Número de Técnicos/
Artistas Estrangeiros""";"""Título da Obra""";"""Tipo de Obra""";"""Período Produção""";"""Empresa Brasileira""";"""UF""";"""Empresa Estrangeira""";"""País""";"""Produção""";"""Local de Filmagem (UF)""";
"""40""";01/03/2010;"""31""";"""Espírito indomável""";"""Novela""";"""01/03/2010 a 01/04/2010""";"""Urca Filmes Ltda""";"""RJ""";"""Plural Entertainment Portugal S.A.""";"""Portugal""";"""Estrangeira""";"""RS""";
"""41""";01/03/2010;"""7""";"""Corações sujos""";"""Ficção""";"""01/03/2010 a 01/06/2010""";"""Radar Cinema e Televisão Ltda""";"""SP""";""" - """;""" - """;"""Brasileira""";"""RJ""";
"""42""";01/03/2010;"""4""";"""Amazônia - A última fronteira""";"""Documentário""";"""05/04/2010 a 15/05/2010  2ª etapa: 01/10/2010 a 30/01/2011""";"""Meios de Produção e Comunicação Ltda.""";"""RJ""";"""Intuition Films & Docs""";"""França""";"""Coprodução""";"""AM/RJ/RR/SP/DF""";
"""43""";01/03/2010;"""1""";"""Documento Kuyshu""";"""Documentário""";"""05/04/2010 a 19/04/2010""";"""Urutau Filmes Ltda.""";"""SP""";"""Television Nishinippon Corporation""";"""Japão""";"""Estrangeira""";"""AM/PA/RJ/SP""";
"""44""";02/03/2010;"""3""";"""Rivers Amazon - parte 2""";"""Documentário""";"""30/03/2010 a 30/04/2010""";"""Neon Rio Ltda.""";"""RJ""";"""BBC - British Broadcasting Corporation - Wales""";"""País de Gales""";"""Estrangeira""";"""AM""";
"""45""";03/03/2010;"""1""";"""Passione""";"""Novela""";"""19/03/2010 a 28/05/2010""";"""Globo Comunicação e Participações S/A""";"""RJ""";""" - """;""" - """;"""Brasileira""";"""RJ""";
"""46""";04/03/2010;"""2""";"""Homeless World Cup""";"""Publicitária""";"""08/03/2010 a 21/03/2010""";"""Zohar Cinema e Comunicação Ltda""";"""RJ""";"""Beautiful TV""";"""Inglaterra""";"""Estrangeira""";"""RJ""";
"""47""";05/03/2010;"""15""";"""Arco-íris""";"""Publicitária""";"""12/03/2010 a 15/05/2010""";"""Sister Entretenimento Ltda.""";"""SP""";"""CDI Virtual Films, Inc.""";"""Estados Unidos""";"""Estrangeira""";"""DF/RJ/SP""";
"""48""";05/03/2010;"""2""";"""Vermist""";"""Documentário""";"""15/03/2010 a 19/03/2010""";"""Mares Produções Ltda.""";"""RJ""";"""Tros Broadcasting Company""";"""Holanda""";"""Estrangeira""";"""MG""";
"""49""";10/03/2010;"""2""";"""Escrito nas estrelas""";"""Abertura de Novela""";"""15/03/2010 a 20/03/2010""";"""Cinco Ponto Seis Filmes Ltda""";"""SP""";""" - """;""" - """;"""Brasileira""";"""SP""";
"""50""";11/03/2010;"""2""";"""O futebol do Japão - A longa caminhada, A conquista pelo potencial em futebol""";"""Documentário""";"""02/04/2010 a 09/04/2010""";"""Urutau Filmes Ltda.""";"""SP""";"""TV Man Union Inc.""";"""Japão""";"""Estrangeira""";"""RJ/SP""";
"""51""";12/03/2010;"""4""";"""Betty city, Better life""";"""Documentário""";"""17/03/2010 a 19/03/2010""";"""Diagrama 2. Produções Artísticas Ltda.""";"""SP""";"""Red Gate International Inc.""";"""China""";"""Estrangeira""";"""RJ""";
"""52""";16/03/2010;"""2""";"""Pripps""";"""Publicitária""";"""20/03/2010 a 28/03/2010""";"""Utopia Filmes Produção Artística Ltda""";"""RJ""";"""Colony Agency Production AB""";"""Suécia""";"""Estrangeira""";"""RJ""";
"""53""";16/03/2010;"""2""";"""Touristic destinations in Northeast Brazil""";"""Institucional""";"""30/03/2010 a 12/04/2010""";"""Aura Filme Produções Ltda.""";"""RJ""";"""Aida Cruises""";"""Alemanha""";"""Estrangeira""";"""BA/CE/PE""";
"""54""";19/03/2010;"""2""";"""Ampoules / Total line / Summer""";"""Publicitária""";"""23/03/2010 a 13/04/2010""";"""Produtora de Cinema e Filmes Associados Ltda""";"""SP""";""" - """;""" - """;"""Brasileira""";"""SP""";
"""55""";25/03/2010;"""4""";"""Brasilien als wirtschaftspartner""";"""Documentário""";"""11/04/2010 a 18/04/2010""";"""Aura Filme Produções Ltda.""";"""RJ""";"""LT1 Privatfernsehen""";"""Áustria""";"""Estrangeira""";"""RJ/SP""";
"""56""";26/03/2010;"""3""";"""Resgate da Floresta Amazônica""";"""Institucional""";"""31/03/2010 a 15/04/2010""";"""Radar Cinema e Televisão Ltda""";"""SP""";"""Red Earth Studio""";"""Inglaterra""";"""Estrangeira""";"""AM""";
"""57""";29/03/2010;"""2""";"""XY""";"""Publicitária""";"""01/04/2010 a 28/04/2010""";"""Hungry Man Rio Produções Ltda.""";"""RJ""";"""Hungry Man Inc.""";"""Estados Unidos""";"""Estrangeira""";"""RJ""";
