"""Listagem de Produções no Brasil com Participação de Profissionais Estrangeiros - 2012""";;;;;;;;;;;
;;;;;;;;;;;
"""Número de Autorização de Origem""";Data da Aprovação;"""Número de Técnicos/
Artistas Estrangeiros""";"""Título da Obra""";"""Tipo de Obra""";"""Período Produção""";"""Empresa Brasileira""";"""UF""";"""Empresa Estrangeira""";"""País""";"""Produção""";"""Local de Filmagem (UF)"""
"""199""";03/10/2012;"""2""";"""Road To The Octagon""";"""Documentário""";"""08/10/2012 a 16/10/2012""";"""Focus Films Ltda""";"""RJ""";"""Positive Image Vídeo""";"""Estados Unidos""";"""Estrangeira""";"""PR/RJ"""
"""200""";04/10/2012;"""3""";"""Milagre Csi""";"""Documentário""";"""21/11/2012 a 21/12/2012""";"""Coevos Filmes Ltda.""";"""RJ""";"""WAG TV LIMITED""";"""Reino Unido""";"""Estrangeira""";"""RJ"""
"""201""";05/10/2012;"""10""";"""Something Else""";"""Videoclipe""";"""13/10/2012 a 22/10/2012""";"""Neon Rio Ltda.""";"""RJ""";"""Somethin Else""";"""Reino Unido""";"""Estrangeira""";"""RJ"""
"""202""";05/10/2012;"""3""";"""O Desafio Dos Atletas Brasileiros No Wbc - World Baseball Classic""";"""Documentário""";"""22/10/2012 a 15/11/2012""";"""Town Network Filmagens Ltda.""";"""SP""";"""Go West""";"""Japão""";"""Estrangeira""";"""SP"""
"""203""";08/10/2012;"""3""";"""Portrait Manfred Goebel""";"""Documentário""";"""09/11/2012 a 25/11/2012""";"""Tambke Filmes Ltda.""";"""RJ""";"""Bayerischer Rundfunk""";"""Alemanha""";"""Estrangeira""";"""MT/MS"""
"""204""";08/10/2012;"""7""";"""Ge Brazil""";"""Publicitária""";"""11/11/2012 a 05/12/2012""";"""Content Realizações e Produções Audiovisuais Ltda.""";"""SP""";"""Smuggler""";"""Estados Unidos""";"""Estrangeira""";"""RJ"""
"""205""";09/10/2012;"""2""";"""Mochileiros""";"""Publicitária""";"""12/11/2012 a 12/01/2013""";"""Sentimental Filme Ltda""";"""SP""";"""xxx""";"""xxx""";"""Brasileira""";"""RJ"""
"""206""";11/10/2012;"""2""";"""Natural World: Jaguar Man Part 5""";"""Documentário""";"""20/10/2012 a 05/11/2012""";"""Neon Rio Ltda.""";"""RJ""";"""British Broadcasting Corporation - Bristol""";"""Reino Unido""";"""Estrangeira""";"""GO"""
"""207""";17/10/2012;"""2""";"""Neon Vintage Store""";"""Publicitária""";"""09/11/2012 a 18/11/2012""";"""Zohar Cinema e Comunicação Ltda.""";"""RJ""";"""xxx""";"""xxx""";"""Brasileira""";"""RJ"""
"""208""";17/10/2012;"""3""";"""Programa Zip""";"""Documentário""";"""08/11/2012 a 17/11/2012""";"""Xes Projetos Visuais Ltda.""";"""SP""";"""NTV - Nippon Television Network Corporation""";"""Japão""";"""Estrangeira""";"""SP"""
"""209""";18/10/2012;"""4""";"""Gillette""";"""Publicitária""";"""22/10/2012 a 28/10/2012""";"""Bossa Nova Films Criações e Produções Ltda.""";"""SP""";"""Washington Square Films, Inc""";"""Estados Unidos""";"""Estrangeira""";"""SP"""
"""210""";23/10/2012;"""3""";"""Nº1 On The Earth""";"""Documentário""";"""13/11/2012 a 07/01/2013""";"""Urutau Filmes Ltda.""";"""SP""";"""Japan Broadcasting Corporation""";"""Japão""";"""Estrangeira""";"""RJ/SP"""
"""211""";23/10/2012;"""1""";"""Beneath The Parnaiba - Part 3""";"""Documentário""";"""29/10/2012 a 04/11/2012""";"""Brian M. Sewell Produções Cinematográficas.""";"""RJ""";"""ON Communication The Media Lab""";"""Reino Unido""";"""Estrangeira""";"""PE/PI"""
"""212""";25/10/2012;"""1""";"""Bizarre Er In Brazil""";"""Documentário""";"""10/11/2012 a 25/11/2012""";"""Neon Rio Ltda.""";"""RJ""";"""Maverick TV""";"""Reino Unido""";"""Estrangeira""";"""RJ"""
"""213""";30/10/2012;"""3""";"""Hapag-Lloyd Kreuuzfahrten""";"""Institucional""";"""16/11/2012 a 22/11/2012""";"""Aura Filmes Produções Ltda.""";"""RJ""";"""Hapag-Lloyd""";"""Alemanha""";"""Estrangeira""";"""BA/RJ"""
"""214""";05/11/2012;"""9""";"""Le Grand Tour - Brésil""";"""Documentário""";"""10/11/2012 a 03/12/2012""";"""Bonfilm Produção e Distribuição Audiovisual Ltda.""";"""RJ""";"""Melting-Pot Production""";"""França""";"""Estrangeira""";"""BA/DF/RJ"""
"""215""";05/11/2012;"""1""";"""Yume No Toori Michi""";"""Documentário""";"""29/11/2012 a 04/12/2012""";"""Xes Projetos Visuais Ltda.""";"""SP""";"""Ax-on Inc""";"""Japão""";"""Estrangeira""";"""RJ"""
"""216""";05/11/2012;"""6""";"""King Fishers""";"""Documentário""";"""18/11/2012 a 23/11/2012""";"""Francisco Ferreira Pinto Filho""";"""AM""";"""ITV Studio""";"""Reino Unido""";"""Estrangeira""";"""AM"""
"""217""";06/11/2012;"""2""";"""Torto""";"""Publicitária""";"""16/11/2012 a 05/12/2012""";"""Yes Atitude Produções""";"""RJ""";"""xxx""";"""xxx""";"""Brasileira""";"""RJ"""
"""218""";12/11/2012;"""4""";"""The Greatest Shows On Earth, Brazil""";"""Documentário""";"""23/11/2012 a 10/12/2012""";"""Neon Rio Ltda.""";"""RJ""";"""RDF Television""";"""Reino Unido""";"""Estrangeira""";"""BA/RJ/SP"""
"""219""";12/11/2012;"""1""";"""Welcome To Rio""";"""Documentário""";"""01/12/2012 a 20/12/2012""";"""Neon Rio Ltda.""";"""RJ""";"""Keo Films""";"""Reino Unido""";"""Estrangeira""";"""RJ"""
"""220""";12/11/2012;"""1""";"""Building Brazil""";"""Documentário""";"""25/11/2012 a 10/12/2012""";"""Neon Rio Ltda.""";"""RJ""";"""Blink Entertainment Limited""";"""Reino Unido""";"""Estrangeira""";"""AM/RJ/SP"""
"""221""";13/11/2012;"""3""";"""Zona De Impacto""";"""Documentário""";"""17/11/2012 a 25/11/2012""";"""Yans Felippe Geckler Medina""";"""RJ""";"""Freeport Media a.s.""";"""Dinamarca""";"""Estrangeira""";"""RJ"""
"""222""";14/11/2012;"""2""";"""Brazilian Beauty""";"""Documentário""";"""27/11/2012 a 15/12/2012""";"""Marca D'Água Produções Ltda.""";"""SP""";"""One Planet""";"""França""";"""Estrangeira""";"""GO/MT/SP"""
"""223""";16/11/2012;"""4""";"""Sekai No Hateno Nihonjin""";"""Documentário""";"""23/11/2012 a 05/12/2012""";"""Urutau Filmes Ltda.""";"""SP""";"""Wholeman Co., Ltd.""";"""Japão""";"""Estrangeira""";"""AM"""
"""224""";16/11/2012;"""2""";"""Sekai Naze Sokoni Nihonjin""";"""Documentário""";"""23/11/2012 a 03/12/2012""";"""Xes Projetos Visuais Ltda.""";"""SP""";"""Wholeman Co., Ltd.""";"""Japão""";"""Estrangeira""";"""RJ"""
"""225""";16/11/2012;"""22""";"""The Amazing Race Norge""";"""Programa de TV""";"""06/12/2012 a 11/12/2012""";"""Ocean Produção de Filmes Ltda.""";"""SC""";"""Rubicon""";"""Noruega""";"""Estrangeira""";"""PR/RJ"""
"""226""";21/11/2012;"""1""";"""A Diferença""";"""Publicitária""";"""23/11/2012 a 10/12/2012""";"""Noelle Rodrigues""";"""SP""";"""xxx""";"""xxx""";"""Brasileira""";"""SP"""
"""227""";21/11/2012;"""3""";"""Mit Dem Zug Ins Brasilianische Hochland""";"""Documentário""";"""10/01/2013 a 29/01/2013""";"""Sol Entertainment Ltda.""";"""RJ""";"""Sudwestrundfunk Fs Kultur & Gesellschaft""";"""Alemanha""";"""Estrangeira""";"""PR"""
"""228""";21/11/2012;"""4""";"""Power Of Trip""";"""Documentário""";"""05/12/2012 a 25/12/2012""";"""Town Network Filmagens Ltda.""";"""SP""";"""Nihon Denpa News Co. Ltd""";"""Japão""";"""Estrangeira""";"""DF/RJ/SP"""
"""229""";22/11/2012;"""3""";"""Paisagens Surpreendentes Que Desejamos Conhecer Antes De Morrer""";"""Documentário""";"""09/12/2012 a 12/12/2012""";"""Urutau Filmes Ltda.""";"""SP""";"""TV Tokyo Corporation, Inc""";"""Japão""";"""Estrangeira""";"""PR"""
"""230""";22/11/2012;"""1""";"""Samba E Chucrute""";"""Documentário""";"""25/01/2013 a 11/02/2013""";"""Sol Entertainment Ltda.""";"""RJ""";"""Deutsche Welle""";"""Alemanha""";"""Estrangeira""";"""RJ"""
"""231""";26/11/2012;"""2""";"""Vermist""";"""Documentário""";"""08/12/2012 a 13/12/2012""";"""Mares Produções Ltda.""";"""RJ""";"""Tros Broadcasting Company""";"""Holanda""";"""Estrangeira""";"""PE/SP"""
"""232""";27/11/2012;"""1""";"""Penetras De Luxo""";"""Série""";"""12/12/2012 a 13/07/2013""";"""Bossa Nova Films Criações e Produções Ltda.""";"""SP""";"""xxx""";"""xxx""";"""Brasileira""";"""SP"""
"""233""";27/11/2012;"""15""";"""Mate Tea Of The Sun""";"""Publicitária""";"""09/12/2012 a 19/12/2012""";"""Delicatessen Produção de Filmes Ltda""";"""SP""";"""Doors Inc""";"""Japão""";"""Estrangeira""";"""PR/RJ"""
"""234""";28/11/2012;"""8""";"""O Maravilhoso Mundo De Nakashira""";"""Documentário""";"""07/12/2012 a 18/12/2012""";"""Alfixit Produções Culturais e Artísticas Ltda.""";"""SP""";"""Kyodo Television Inc.,Ltd""";"""Japão""";"""Estrangeira""";"""AM/RR"""
"""235""";28/11/2012;"""5""";"""Zoom In!! Saturday""";"""Documentário""";"""12/12/2012 a 20/12/2012""";"""Urutau Filmes Ltda.""";"""SP""";"""Tohan Kikaku Co., Ltd.""";"""Japão""";"""Estrangeira""";"""CE"""
"""236""";29/11/2012;"""1""";"""A Copa De Todo Mundo""";"""Publicitária""";"""28/11/2012 a 22/12/2012""";"""Paranoid Brasil Ltda.""";"""SP""";"""xxx""";"""xxx""";"""Brasileira""";"""RJ"""
"""237""";03/12/2012;"""66""";"""The Amazing Race""";"""Programa de TV""";"""14/01/2013 a 31/01/2013""";"""Neon Rio Ltda.""";"""RJ""";"""Active TV Pty Ltd""";"""Cingapura""";"""Estrangeira""";"""RJ"""
"""238""";04/12/2012;"""4""";"""Sekai Taikan Umihiko X Yamahiko""";"""Documentário""";"""04/01/2013 a 30/01/2013""";"""Xes Projetos Visuais Ltda.""";"""SP""";"""Cayenne Inc""";"""Japão""";"""Estrangeira""";"""AM/RJ/SP"""
"""239""";04/12/2012;"""4""";"""Amazonia Planeta Verde""";"""Ficção""";"""03/01/2012 a 28/02/2013""";"""Gullane Entretenimento S.A.""";"""SP""";"""Gedeon Programmes e Biloba Films""";"""França""";"""Coprodução""";"""MT/PA/RJ"""
"""240""";04/12/2012;"""3""";"""Rexona Go Dance""";"""Publicitária""";"""04/12/2012 a 16/12/2012""";"""Delicatessen Produção de Filmes Ltda""";"""SP""";"""Stink Limited""";"""Reino Unido""";"""Estrangeira""";"""SP"""
"""241""";07/12/2012;"""1""";"""Realscope""";"""Documentário""";"""20/12/2012 a 30/12/2012""";"""Xes Projetos Visuais Ltda.""";"""SP""";"""Zoom Enterprise Inc""";"""Japão""";"""Estrangeira""";"""MG/RJ/SP"""
"""242""";10/12/2012;"""6""";"""Ari Og Per - Brasil""";"""Documentário""";"""14/01/2013 a 20/01/2013""";"""Tria Productions e Produções Artisticas Ltda""";"""RJ""";"""Monster Entertainment""";"""Noruega""";"""Estrangeira""";"""SP"""
"""243""";10/12/2012;"""3""";"""Xtreme Waterparks""";"""Programa de TV""";"""24/01/2013 a 27/01/2013""";"""Utopia Films Produção Artística Ltda.""";"""RJ""";"""High Noon TV""";"""Estados Unidos""";"""Estrangeira""";"""GO/RJ/SC"""
"""244""";11/12/2012;"""3""";"""Die Seele Brasiliens""";"""Documentário""";"""15/01/2013 a 03/02/2013""";"""Cinegrama Filmes Ltda.""";"""SP""";"""Seelman Film GmbH""";"""Alemanha""";"""Estrangeira""";"""SP"""
"""245""";11/12/2012;"""1""";"""Porto Alegre Do Futuro""";"""Documentário""";"""02/01/2013 a 30/01/2013""";"""Star Video e Transmissão Ltda""";"""RS""";"""xxx""";"""xxx""";"""Brasileira""";"""RS"""
"""246""";14/12/2012;"""2""";"""Mochileiros""";"""Publicitária""";"""02/01/2013 a 15/02/2013""";"""Sentimental Filme Ltda""";"""SP""";"""xxx""";"""xxx""";"""Brasileira""";"""MG/RJ"""
"""247""";18/12/2012;"""4""";"""The Robbery Of The Rubber Seeds By Sir Henry Wickham""";"""Documentário""";"""05/01/2013 a 05/02/2013""";"""Perin Filmes Ltda.""";"""AM""";"""VPRO""";"""Holanda""";"""Estrangeira""";"""AM/RJ"""
"""248""";21/12/2012;"""6""";"""Epicquest""";"""Documentário""";"""08/01/2013 a 19/01/2013""";"""Francisco Ferreira Pinto Filho""";"""AM""";"""OneEyedBird Marketing & Entertainment""";"""Estados Unidos""";"""Estrangeira""";"""AM"""
"""Fonte: Superintendência de Registro - Coordenação de Registro de Empresa e Autorização de Produção Estrangeira.""";;;;;;;;;;;
