"""Listagem de Produções no Brasil com Participação de Profissionais Estrangeiros - 2012""";;;;;;;;;;;
;;;;;;;;;;;
"""Número de Autorização de Origem""";Data da Aprovação;"""Número de Técnicos/
Artistas Estrangeiros""";"""Título da Obra""";"""Tipo de Obra""";"""Período Produção""";"""Empresa Brasileira""";"""UF""";"""Empresa Estrangeira""";"""País""";"""Produção""";"""Local de Filmagem (UF)"""
"""37""";16/02/2012;"""2""";"""Sport Relief""";"""Institucional""";"""06/03/2012 a 12/03/2012""";"""Neon Rio Ltda.""";"""RJ""";"""Comic Relief""";"""Reino Unido""";"""Estrangeira""";"""RJ"""
"""38""";23/02/2012;"""5""";"""Global Energy Mix""";"""Publicitária""";"""20/03/2012 a 05/04/2012""";"""Ocean Produção de Filmes Ltda.""";"""SC""";"""Gorgeous""";"""Reino Unido""";"""Estrangeira""";"""RJ"""
"""39""";23/02/2012;"""2""";"""Nat Geo @ Rio+20""";"""Documentário""";"""04/03/2012 a 11/03/2012""";"""Blue Eye Empreendimentos e Produções Audiovisuais Ltda.""";"""RJ""";"""NGHT, LLC""";"""Estados Unidos""";"""Estrangeira""";"""PA/RJ/SP"""
"""40""";24/02/2012;"""4""";"""Waratekoraete! Parte Ii""";"""Documentário""";"""29/02/2012 a 05/04/2012""";"""América do Sul Produções de Documentários Ltda.""";"""SP""";"""Nichiki Co., Inc.""";"""Japão""";"""Estrangeira""";"""BA/PA/RJ/SP"""
"""41""";27/02/2012;"""2""";"""Generation Rio +20""";"""Documentário""";"""21/03/2012 a 31/03/2012""";"""Francisco Ferreira Pinto Filho""";"""AM""";"""Ushuaia TV""";"""França""";"""Estrangeira""";"""AM/RJ"""
"""42""";27/02/2012;"""3""";"""The Superhumam Lab""";"""Documentário""";"""04/03/2012 a 17/03/2012""";"""Terra Vermelha Filmes Ltda.""";"""RJ""";"""Maverick Television""";"""Reino Unido""";"""Estrangeira""";"""RJ"""
"""43""";01/03/2012;"""1""";"""Sekai No Kuni Kara Konnichiwa""";"""Documentário""";"""10/03/2012 a 24/03/2012""";"""Xes Projetos Visuais Ltda.""";"""SP""";"""I.V.S. Television Corporation""";"""Japão""";"""Estrangeira""";"""SP"""
"""44""";02/03/2012;"""3""";"""Horizons""";"""Documentário""";"""19/03/2012 a 30/03/2012""";"""Neon Rio Ltda.""";"""RJ""";"""Twofour Studios Ltd.""";"""Reino Unido""";"""Estrangeira""";"""PR/SP"""
"""45""";06/03/2012;"""7""";"""The Fight Exchange""";"""Programa de TV""";"""11/03/2012 a 26/03/2012""";"""Kinoosfera Filmes e Produções Artísticas Ltda.""";"""SP""";"""Rebel Media Ventures International""";"""Canadá""";"""Estrangeira""";"""RJ"""
"""46""";08/03/2012;"""3""";"""Extreme Water Park Rides""";"""Documentário""";"""08/04/2012 a 15/04/2012""";"""Bossa Nova Films Criações e Produções Ltda.""";"""SP""";"""High Noon Productions, LLC""";"""Estados Unidos""";"""Estrangeira""";"""CE/RJ"""
