Listagem de Distribuidoras 2009 a 2020;;;;;;;;;;;;;
;;;;;;;;;;;;;
Ano de exibição;Distribuidora;Número de Registro Ancine;Origem da empresa distribuidora;Público;Público Filmes Brasileiros;Renda (R$);Renda Filmes Brasileiros (R$);Títulos Exibidos;Títulos Brasileiros Exibidos;Títulos Lançados;Títulos Brasileiros Lançados;;
2015;Moro Comunicação;5224;Distribuição Nacional;4.363;4.363;46.830,91;46.830,91;2;2;2;2;;
2015;Nossa Distribuidora;20772;Distribuição Nacional;4.406;4.406;58.928,76;58.928,76;6;6;6;6;;
2015;O2 Play;63;Distribuição Nacional;1.645;1.645;35.167,27;35.167,27;1;1;1;1;;
2015;Pandora Filmes;12443/333;Distribuição Nacional;566.193;500.658;7.805.337,64;6.969.522,81;25;8;9;5;;
2015;Pansport;29227;Distribuição Nacional;3.449;3.449;37.026,66;37.026,66;1;1;1;1;;
2015;Paramount;169;Distribuição Internacional;10.703.927;0;147.901.007,00;0,00;8;0;5;0;;
2015;Paris;11922;Distribuição Nacional;14.495.358;0;199.196.922,17;0,00;48;0;27;0;;
2015;Pipa Produções;5467;Distribuição Nacional;627;627;4.644,00;4.644,00;1;1;1;1;;
2015;Playarte;443;Distribuição Nacional;641.249;0;8.628.107,93;0,00;11;0;8;0;;
2015;Plural Filmes Sul;5736;Distribuição Nacional;318;318;4.948,16;4.948,16;1;1;1;1;;
2015;Polifilmes;2550;Distribuição Nacional;388;148;3.361,00;1.175,00;3;1;0;0;;
2015;Polifilmes/Plateau Filmes;2550/13691;Distribuição Nacional;1.347;1.347;13.902,03;13.902,03;1;1;1;1;;
2015;Preta Portê Filmes;16197;Distribuição Nacional;719;719;10.008,88;10.008,88;1;1;1;1;;
2015;Raiz Distribuidora;11792;Distribuição Nacional;5.418;5.418;50.322,50;50.322,50;10;10;6;6;;
2015;Sesc;2295;Distribuição Nacional;587;587;8.884,83;8.884,83;1;1;1;1;;
2015;Sony;84;Distribuição Internacional;10.384.149;97.697;143.403.611,82;1.516.551,78;18;1;14;1;;
2015;Supo Mungam Films;28508;Distribuição Nacional;32.402;0;418.138,85;0,00;10;0;9;0;;
2015;Tia Maria Filmes;23754;Distribuição Nacional;273;273;3.914,00;3.914,00;1;1;1;1;;
2015;Tremè Produções;23364;Distribuição Nacional;1.292;1.292;16.821,65;16.821,65;1;1;1;1;;
2015;Tucumán;16132;Distribuição Nacional;78.887;2.341;999.199,23;28.957,88;16;3;10;1;;
2015;UCI;749;Distribuição Nacional;29.996;0;830.938,50;0,00;11;0;10;0;;
2015;Universal;169/84/33787;Distribuição Internacional;35.954.980;439.446;498.576.453,22;5.159.604,63;28;2;20;1;;
2015;Universal Music Brasil;16080;Distribuição Nacional;20.565;0;420.251,66;0,00;1;0;1;0;;
2015;Universal/Europa/Elo Company;169/84/33787/2250/5672;Codistribuição Internacional-Nacional;1.637.032;1.637.032;21.108.060,56;21.108.060,56;1;1;1;1;;
2015;Urca Filme;1304;Distribuição Nacional;11.965;11.965;178.508,09;178.508,09;1;1;1;1;;
2015;Vermelho Profundo;26309;Distribuição Nacional;294;294;2.804,00;2.804,00;1;1;1;1;;
2015;Videofilmes;276;Distribuição Nacional;6.689;6.689;74.647,54;74.647,54;1;1;1;1;;
2015;Vilacine;18499;Distribuição Nacional;6.932;566;75.503,85;5.842,50;3;2;2;1;;
2015;Vinny Filmes;17810;Distribuição Nacional;8.581;8.581;110.064,97;110.064,97;1;1;1;1;;
2015;Vitrine Filmes;16713;Distribuição Nacional;104.149;79.865;1.267.417,16;924.788,53;33;29;13;11;;
2015;Warner;265;Distribuição Internacional;14.280.018;14.337;202.276.750,00;184.598,00;30;1;18;1;;
2015;Zeta Filmes;22936;Distribuição Nacional;110.846;0;1.375.959,69;0,00;13;0;6;0;;
2016;2A Produções;33404;Distribuição Nacional;59;59;320,00;320,00;1;1;1;1;;
2016;4 Ventos Comunicação;858;Distribuição Nacional;312;312;2.600,00;2.600,00;1;1;1;1;;
2016;7Estrelo Filmes;1772;Distribuição Nacional;69;69;321,75;321,75;1;1;0;0;;
2016;Affonso Uchôa;20515;Distribuição Nacional;1.959;1.959;16.904,19;16.904,19;1;1;1;1;;
2016;Águas de Março Filmes;19054;Distribuição Nacional;5.141;5.141;64.085,11;64.085,11;1;1;1;1;;
2016;Alpha Filmes;5963;Distribuição Nacional;40.050;0;521.344,30;0,00;7;0;4;0;;
2016;Alpha Filmes/Pandora Filmes;5963/12443/333;Distribuição Nacional;38;0;456,47;0,00;1;0;0;0;;
2016;Alphaville Filmes;6418;Distribuição Nacional;515.763;0;7.842.748,12;0,00;33;0;20;0;;
2016;ArtHouse;22808;Distribuição Nacional;11.928;11.928;153.015,08;153.015,08;3;3;2;2;;
2016;Bang Filmes;1126;Distribuição Nacional;5.080;5.080;44.764,81;44.764,81;1;1;1;1;;
2016;Blest;29137;Distribuição Nacional;238;238;2.160,00;2.160,00;1;1;1;1;;
2016;Bonfilm;14462;Distribuição Nacional;11.967;0;162.426,13;0,00;1;0;1;0;;
2016;Boulevard Filmes;17484;Distribuição Nacional;914;914;5.307,00;5.307,00;5;5;2;2;;
2016;Bretz Filmes;19243;Distribuição Nacional;13.378;0;164.805,20;0,00;5;0;3;0;;
2016;Bretz Filmes/Videofilmes;19243/276;Distribuição Nacional;3.187;3.187;48.018,21;48.018,21;1;1;1;1;;
2016;Califórnia;532;Distribuição Nacional;708.807;0;9.867.160,98;0,00;33;0;19;0;;
2016;Camisa Treze;4369;Distribuição Nacional;772;0;9.434,00;0,00;1;0;1;0;;
2016;Cazion Films Brasil;31096;Distribuição Nacional;223.468;0;3.126.790,28;0,00;2;0;1;0;;
2016;Cazumbá Filmes;32206;Distribuição Nacional;247;247;2.635,08;2.635,08;1;1;1;1;;
2016;Cigano Filmes;21108;Distribuição Nacional;3.368;3.368;33.682,11;33.682,11;1;1;1;1;;
2016;Cine Group;2647;Distribuição Nacional;698;698;5.801,88;5.801,88;1;1;1;1;;
2016;Cineart Filmes;33340;Distribuição Nacional;4.360;1.601;51.830,41;17.491,50;2;1;2;1;;
2016;Cineluz Produções;1053;Distribuição Nacional;592;592;7.139,27;7.139,27;1;1;1;1;;
2016;Cinemark Brasil;1843;Distribuição Nacional;32.068;0;502.659,36;0,00;17;0;1;0;;
2016;Cinépolis;17266;Distribuição Nacional;12.722;0;199.975,69;0,00;3;0;3;0;;
2016;Clarissa Appelt Baptista San Roman;23664;Distribuição Nacional;31;31;120,00;120,00;1;1;0;0;;
2016;Com Domínio Filmes;16431;Distribuição Nacional;1.206;1.206;17.546,91;17.546,91;1;1;1;1;;
2016;Comalt;380;Distribuição Nacional;225;225;3.511,89;3.511,89;2;2;1;1;;
2016;Conexão Cultural;22060;Distribuição Nacional;11.280;11.280;129.821,66;129.821,66;2;2;2;2;;
2016;Cultura;1125;Distribuição Nacional;55;55;268,00;268,00;1;1;0;0;;
2016;Cultura Maior;22903;Distribuição Nacional;62;62;870,10;870,10;1;1;1;1;;
2016;CV&F;7024;Distribuição Nacional;53.801;53.801;723.846,79;723.846,79;1;1;1;1;;
2016;Diamond Films;22724;Distribuição Nacional;2.133.871;187.015;31.939.855,39;2.801.546,60;17;1;14;1;;
2016;Dilúvio Filmes;19176;Distribuição Nacional;1.875;1.875;15.140,15;15.140,15;1;1;1;1;;
2016;Disney;18398;Distribuição Internacional;39.058.991;153.234;572.064.184,00;1.935.131,00;32;1;15;1;;
2016;DM Filmes;5816;Distribuição Nacional;339;339;3.547,10;3.547,10;1;1;1;1;;
2016;Documenta Produções;335;Distribuição Nacional;530;530;4.657,77;4.657,77;2;2;1;1;;
2016;Downtown;4904;Distribuição Nacional;180;180;2.354,76;2.354,76;1;1;0;0;;
2016;Downtown/Paris;4904/11922;Distribuição Nacional;24.826.107;24.826.107;289.438.135,46;289.438.135,46;22;22;19;19;;
2016;E.H. Produções;461;Distribuição Nacional;836;836;9.472,18;9.472,18;1;1;1;1;;
2016;Elite Filmes;22364;Distribuição Nacional;9.159;1.988;127.775,88;25.203,21;5;2;5;2;;
2016;Elo Company;5672;Distribuição Nacional;43.373;43.373;622.283,28;622.283,28;6;6;4;4;;
2016;Esfera Produções;18039;Distribuição Nacional;69.101;15.324;915.398,76;209.170,77;24;1;7;1;;
2016;Espaço Filmes;1083;Distribuição Nacional;44.365;37.207;546.877,63;456.905,30;8;6;1;1;;
2016;Estação Luz Filmes;1591;Distribuição Nacional;1.912;0;21.342,54;0,00;1;0;1;0;;
2016;Estrangeira Filmes;21082;Distribuição Nacional;14;14;140,00;140,00;1;1;0;0;;
2016;Europa;2250;Distribuição Nacional;71.085;71.085;1.016.161,89;1.016.161,89;10;10;9;9;;
2016;Europa/Vinny filmes;2250/17810;Distribuição Nacional;12.147;12.147;167.481,20;167.481,20;1;1;1;1;;
2016;F. J. Cines;310;Distribuição Nacional;8.230;0;90.292,23;0,00;10;0;0;0;;
2016;Fênix Filmes;31931;Distribuição Nacional;131.667;7.897;1.896.752,94;88.387,65;13;2;13;2;;
2016;Film Connection/Imovision;5587/11868/173;Distribuição Nacional;2;2;23,40;23,40;1;1;0;0;;
2016;Filmes da Mostra;1797/29957;Distribuição Nacional;8.232;0;88.537,60;0,00;8;0;3;0;;
2016;Flix Media;34385;Distribuição Nacional;24.832;24.832;358.359,07;358.359,07;1;1;1;1;;
2016;Fox;256;Distribuição Internacional;30.067.672;227.826;426.992.965,47;3.205.158,00;29;2;14;1;;
2016;Fundação Maurício Grabois;22073;Distribuição Nacional;182;182;2.042,26;2.042,26;1;1;0;0;;
2016;Gatacine;1846;Distribuição Nacional;1.641;1.641;23.196,64;23.196,64;1;1;1;1;;
2016;H2O Films;24619/21541;Distribuição Nacional;300.612;65.682;3.896.024,69;881.272,99;3;2;3;2;;
2016;Heavy Bunker;14167;Distribuição Nacional;533;533;8.447,55;8.447,55;1;1;1;1;;
2016;Imagem;1935;Distribuição Nacional;5.895.255;3.197.486;81.263.187,12;40.889.679,11;28;8;20;7;;
2016;Imovision;11868/173;Distribuição Nacional;402.887;49.771;5.946.795,91;594.585,82;74;6;36;3;;
2016;Infinito Produções;1206;Distribuição Nacional;5.955;5.955;82.195,08;82.195,08;1;1;1;1;;
2016;Inquieta Cinema Cultura e Comunicação;29984;Distribuição Nacional;2.822;2.822;19.675,80;19.675,80;2;2;2;2;;
2016;Internacional Produções de Cinema e Vídeo;4758;Distribuição Nacional;36;36;520,64;520,64;1;1;0;0;;
2016;Jacqueline Filmes/Livres Filmes;22085/21870;Distribuição Nacional;478;478;6.344,44;6.344,44;1;1;1;1;;
2016;Lança Filmes;25115;Distribuição Nacional;4.127;3.252;46.431,78;36.586,77;7;6;3;3;;
2016;Lauper;1002;Distribuição Nacional;18;18;282,73;282,73;1;1;1;1;;
2016;LC Barreto Filmes;43;Distribuição Nacional;204;204;2.919,50;2.919,50;1;1;1;1;;
2016;Livres Filmes;21870;Distribuição Nacional;2.947;2.947;26.093,25;26.093,25;4;4;3;3;;
2016;Lotado Filmes;22667;Distribuição Nacional;63;63;437,00;437,00;1;1;0;0;;
2016;Lume Produções Cinematográficas;11990;Distribuição Nacional;762;433;8.526,22;4.604,22;3;2;2;1;;
2016;Luz XXI;406;Distribuição Nacional;196;196;2.905,88;2.905,88;1;1;1;1;;
2016;Maria da Graça Hughes;34250;Distribuição Nacional;1.660;1.660;22.999,00;22.999,00;1;1;1;1;;
2016;Maria Farinha Filmes;18069;Distribuição Nacional;35.194;35.194;234.170,91;234.170,91;1;1;1;1;;
2016;Maverick;4518;Distribuição Nacional;1.141;0;16.942,56;0,00;1;0;1;0;;
2016;Milocos Entretenimento;21106;Distribuição Nacional;4.811;4.811;49.975,00;49.975,00;1;1;0;0;;
2016;Mira Filmes;17344;Distribuição Nacional;241;241;2.042,63;2.042,63;1;1;1;1;;
2016;Moro Comunicação;5224;Distribuição Nacional;76;76;597,00;597,00;1;1;0;0;;
2016;Nossa Distribuidora;20772;Distribuição Nacional;459;459;2.504,00;2.504,00;1;1;0;0;;
2016;O2 Play;63;Distribuição Nacional;10.660;10.660;140.584,94;140.584,94;4;4;4;4;;
2016;Olé Produções;15892;Distribuição Nacional;240;240;3.155,83;3.155,83;1;1;1;1;;
2016;Pandora Filmes;12443/333;Distribuição Nacional;237.569;18.020;3.560.833,00;241.157,22;24;9;14;6;;
2016;Paramount;169;Distribuição Internacional;6.385.623;0;95.517.233,00;0,00;16;0;12;0;;
2016;Paris;11922;Distribuição Nacional;8.372.671;1.297;114.148.242,02;20.568,47;32;1;26;1;;
2016;Pipa Produções;5467;Distribuição Nacional;392;392;4.791,27;4.791,27;1;1;1;1;;
2016;Pipoca & Filmes/Forte Filmes;31411/12699;Distribuição Nacional;9.541;9.541;133.956,00;133.956,00;1;1;1;1;;
2016;Pique-Bandeira Filmes;22312;Distribuição Nacional;473;473;2.936,00;2.936,00;1;1;1;1;;
2016;Playarte;443;Distribuição Nacional;471.931;0;6.823.668,00;0,00;13;0;10;0;;
2016;Polifilmes;2550;Distribuição Nacional;215;215;1.634,00;1.634,00;2;2;2;2;;
2016;Ponto de Equilíbrio;13831;Distribuição Nacional;390;390;2.828,49;2.828,49;1;1;1;1;;
2016;Primo Filmes;1880;Distribuição Nacional;312;312;3.913,00;3.913,00;1;1;1;1;;
2016;Rafaela Gonçalves;29112;Distribuição Nacional;69.753;69.753;893.822,57;893.822,57;1;1;1;1;;
2016;Raiz Distribuidora;11792;Distribuição Nacional;1.471;1.471;14.428,81;14.428,81;6;6;2;2;;
2016;Sant'Ana Filmes;16846;Distribuição Nacional;230;230;2.775,64;2.775,64;1;1;1;1;;
2016;Sato Company;22000;Distribuição Nacional;14.592;0;200.762,88;0,00;3;0;3;0;;
2016;Sony;84;Distribuição Internacional;10.963.716;50.473;158.980.855,35;734.043,22;35;2;23;1;;
2016;Supo Mungam Films;28508;Distribuição Nacional;30.223;0;424.727,12;0,00;17;0;14;0;;
2016;Telenews;6;Distribuição Nacional;47;47;270,00;270,00;1;1;0;0;;
2016;Tigre Produções Cinematográficas;2234;Distribuição Nacional;16.132;16.132;80.640,50;80.640,50;1;1;1;1;;
2016;Trator Filmes;12965;Distribuição Nacional;114;114;1.520,34;1.520,34;1;1;1;1;;
2016;Tremè Produções;23364;Distribuição Nacional;517;517;4.836,01;4.836,01;1;1;0;0;;
2016;Tucumán;16132;Distribuição Nacional;4.909;3.840;51.584,67;40.144,90;6;2;1;1;;
2016;UCI;749;Distribuição Nacional;6.845;0;196.126,00;0,00;6;0;0;0;;
2016;Universal;169/84/33787;Distribuição Internacional;15.925.924;0;231.652.938,48;0,00;33;0;25;0;;
2016;Universal Music Brasil;16080;Distribuição Nacional;222;0;3.675,00;0,00;1;0;0;0;;
2016;Universal/Europa/Elo Company;169/84/33787/2250/5672;Codistribuição Internacional-Nacional;1.240;1.240;11.006,35;11.006,35;1;1;0;0;;
2016;Vilacine;18499;Distribuição Nacional;275;275;2.758,00;2.758,00;1;1;0;0;;
2016;Vitrine Filmes;16713;Distribuição Nacional;480.876;457.896;6.893.881,11;6.576.737,97;40;34;15;11;;
2016;Walper Ruas;1572;Distribuição Nacional;5.197;5.197;66.005,52;66.005,52;1;1;1;1;;
2016;Warner;265;Distribuição Internacional;36.387.021;674.447;536.615.467,00;9.220.289,00;29;2;20;2;;
2016;Zazen;611;Distribuição Nacional;2.663;2.663;42.132,53;42.132,53;1;1;1;1;;
2016;Zeta Filmes;22936;Distribuição Nacional;84.711;0;1.144.271,14;0,00;17;0;8;0;;
2017;4 Ventos Comunicação;858;Distribuição Nacional;271;271;3.288,15;3.288,15;1;1;0;0;;
2017;Accorde Audiovisuais;1403;Distribuição Nacional;93;93;665,00;665,00;1;1;1;1;;
2017;Águas de Março Filmes;19054;Distribuição Nacional;49;49;265,00;265,00;1;1;0;0;;
2017;Alex Pires Duarte;34335;Distribuição Nacional;3.870;3.870;52.979,63;52.979,63;1;1;1;1;;
2017;Alpha Filmes;5963;Distribuição Nacional;46;0;271,36;0,00;1;0;0;0;;
2017;Alpha Filmes/Pandora Filmes;5963/12443/333;Distribuição Nacional;10.568;0;143.516,95;0,00;3;0;3;0;;
2017;Alphaville Filmes;6418;Distribuição Nacional;263.375;0;3.676.727,50;0,00;30;0;20;0;;
2017;Alphaville Filmes/Alpha Filmes;6418/5963;Distribuição Nacional;9.170;0;116.646,56;0,00;2;0;2;0;;
2017;ArtHouse;22808;Distribuição Nacional;10.697;10.697;118.233,09;118.233,09;4;4;4;4;;
2017;Bela Filmes;18625;Distribuição Nacional;290;290;1.417,50;1.417,50;1;1;1;1;;
2017;Bonfilm;14462;Distribuição Nacional;12.652;0;167.463,75;0,00;3;0;3;0;;
2017;Boulevard Filmes;17484;Distribuição Nacional;28;28;247,00;247,00;1;1;0;0;;
2017;Bretz Filmes;19243;Distribuição Nacional;13.210;13.126;230.267,01;229.717,01;3;2;2;2;;
2017;Bretz Filmes/Pagu Pictures;19243/38312;Distribuição Nacional;41.314;41.314;685.647,29;685.647,29;1;1;1;1;;
2017;Califórnia;532;Distribuição Nacional;934.445;64;15.028.589,19;604,00;27;1;21;0;;
2017;Casa de Cinema de Porto Alegre;133;Distribuição Nacional;2.041;2.041;25.791,53;25.791,53;2;2;2;2;;
2017;Cavideo Produções;11893;Distribuição Nacional;160;160;2.386,06;2.386,06;1;1;1;1;;
2017;Cigano Filmes;21108;Distribuição Nacional;158;158;973,50;973,50;1;1;0;0;;
2017;Cineart Filmes;33340;Distribuição Nacional;180.121;0;2.715.673,23;0,00;11;0;10;0;;
2017;Cinecolor do Brasil;2631;Distribuição Nacional;45.488;0;757.387,84;0,00;3;0;1;0;;
2017;Cinemark Brasil;1843;Distribuição Nacional;6.515;0;135.103,49;0,00;2;0;0;0;;
2017;Cinépolis;17266;Distribuição Nacional;874;0;8.381,88;0,00;1;0;1;0;;
2017;Com Domínio Filmes;16431;Distribuição Nacional;408;408;6.105,91;6.105,91;1;1;1;1;;
2017;Complô;16669;Distribuição Nacional;160;160;1.650,29;1.650,29;1;1;1;1;;
2017;Contents 360;27376;Distribuição Nacional;114;0;2.127,64;0,00;1;0;1;0;;
2017;Cultura;1125;Distribuição Nacional;784;784;11.842,49;11.842,49;1;1;1;1;;
2017;CV&F;7024;Distribuição Nacional;36;36;270,00;270,00;1;1;0;0;;
2017;Daza Filmes;17547;Distribuição Nacional;347;347;4.070,47;4.070,47;1;1;1;1;;
2017;Deberton Entretenimento;16822;Distribuição Nacional;283;283;1.830,00;1.830,00;1;1;1;1;;
2017;Diamond Films;22724;Distribuição Nacional;2.059.444;40;34.057.108,84;421,04;19;1;17;0;;
2017;Dilúvio Filmes;19176;Distribuição Nacional;37;37;210,00;210,00;1;1;0;0;;
2017;Disney;18398;Distribuição Internacional;33.620.937;3.337;519.569.006,00;52.203,00;17;1;8;1;;
2017;Documenta Produções;335;Distribuição Nacional;33;33;132,00;132,00;1;1;1;1;;
2017;Downtown/Paris;4904/11922;Distribuição Nacional;13.184.044;13.184.044;181.905.761,31;181.905.761,31;22;22;19;19;;
2017;E.H. Produções;461;Distribuição Nacional;55;55;681,00;681,00;1;1;0;0;;
2017;Ebisu Filmes;25254;Distribuição Nacional;83;83;912,96;912,96;1;1;1;1;;
2017;Elite Filmes;22364;Distribuição Nacional;1.184;0;14.296,87;0,00;4;0;2;0;;
2017;Elo Company;5672;Distribuição Nacional;7.069;7.069;104.310,16;104.310,16;7;7;6;6;;
2017;Esfera Produções;18039;Distribuição Nacional;44.151;0;626.597,80;0,00;7;0;5;0;;
2017;Espaço dos Satyros;34282;Distribuição Nacional;823;823;12.251,00;12.251,00;1;1;1;1;;
2017;Espaço Filmes;1083;Distribuição Nacional;45.369;0;705.740,71;0,00;5;0;5;0;;
2017;Europa;2250;Distribuição Nacional;103.590;13.138;1.592.968,83;198.036,09;6;2;6;2;;
2017;F. J. Cines;310;Distribuição Nacional;4.635;0;43.095,00;0,00;9;0;0;0;;
2017;Fênix Filmes;31931;Distribuição Nacional;72.999;0;1.118.675,31;0,00;11;0;6;0;;
2017;Film Connection;5587;Distribuição Nacional;42.128;42.128;586.066,45;586.066,45;2;2;2;2;;
2017;Filmes da Mostra;1797/29957;Distribuição Nacional;2.783;0;25.938,05;0,00;7;0;2;0;;
2017;Filmes de Vagabundo;26306;Distribuição Nacional;235;235;2.120,00;2.120,00;1;1;1;1;;
2017;Flix Media;34385;Distribuição Nacional;22.081;0;490.751,18;0,00;2;0;1;0;;
2017;Fox;256;Distribuição Internacional;19.433.963;324.996;293.282.865,54;4.447.116,00;24;2;17;2;;
2017;Gávea Filmes e Produções/Pipoca & Filmes;7128/31411;Distribuição Nacional;1.638;1.638;19.889,08;19.889,08;1;1;1;1;;
2017;H2O Films;24619/21541;Distribuição Nacional;811.942;657.860;11.384.264,14;9.002.896,70;9;3;8;3;;
2017;H2O Films/Sony;24619/21541/84;Codistribuição Internacional-Nacional;58.453;58.453;938.543,45;938.543,45;1;1;1;1;;
2017;H2O Films/Universal;24619/21541/169/84/33787;Codistribuição Internacional-Nacional;401.960;401.960;5.594.424,97;5.594.424,97;1;1;1;1;;
2017;Imagem;1935;Distribuição Nacional;2.176.320;809.445;32.940.421,23;11.268.587,31;26;10;20;8;;
2017;Imagem-Tempo;1762;Distribuição Nacional;3.532;3.532;47.218,51;47.218,51;1;1;1;1;;
2017;Imovision;11868/173;Distribuição Nacional;742.357;228.240;11.573.060,64;3.810.696,14;59;5;33;3;;
2017;Indiana Produções Cinematográficas;2802;Distribuição Nacional;91;91;1.469,42;1.469,42;1;1;1;1;;
2017;Inquieta Cinema Cultura e Comunicação;29984;Distribuição Nacional;1.062;1.062;9.401,35;9.401,35;2;2;2;2;;
2017;Inquietude;26781;Distribuição Nacional;2.237;2.237;23.846,70;23.846,70;1;1;1;1;;
2017;Josias Teófilo;33437;Distribuição Nacional;14.840;14.840;272.691,71;272.691,71;1;1;1;1;;
2017;Lança Filmes;25115;Distribuição Nacional;5.195;530;70.359,91;5.265,80;8;6;3;2;;
2017;Livres Filmes;21870;Distribuição Nacional;3.451;3.451;41.116,83;41.116,83;6;6;6;6;;
2017;Lume Produções Cinematográficas;11990;Distribuição Nacional;6.742;6.742;68.393,95;68.393,95;2;2;2;2;;
2017;LumoLab;33148;Distribuição Nacional;193;193;3.370,00;3.370,00;1;1;1;1;;
2017;Marcelo Machado;13558;Distribuição Nacional;810;810;9.235,02;9.235,02;1;1;1;1;;
2017;Maria da Graça Hughes;34250;Distribuição Nacional;1.389;1.389;17.148,00;17.148,00;1;1;0;0;;
2017;Maria Farinha Filmes;18069;Distribuição Nacional;2.861;2.827;34.989,42;34.808,92;2;1;1;1;;
2017;Modo Operante Produções;2719;Distribuição Nacional;522;522;7.020,45;7.020,45;2;2;2;2;;
2017;Moro Comunicação;5224;Distribuição Nacional;2.180;2.180;23.575,07;23.575,07;1;1;1;1;;
2017;Mosquito Project;6346;Distribuição Nacional;43;43;1.137,50;1.137,50;1;1;1;1;;
2017;O2 Play;63;Distribuição Nacional;11.224;11.224;148.988,39;148.988,39;7;7;5;5;;
2017;Okna Produções;11871;Distribuição Nacional;496;0;5.858,70;0,00;1;0;1;0;;
2017;Olé Produções;15892;Distribuição Nacional;530;530;8.580,10;8.580,10;1;1;1;1;;
2017;Olhar Distribuição;37242;Distribuição Nacional;2.813;2.813;25.442,08;25.442,08;2;2;2;2;;
2017;Osmose Filmes;23336;Distribuição Nacional;390;390;4.453,70;4.453,70;1;1;1;1;;
2017;Ouidah Films;28781;Distribuição Nacional;488;488;6.554,13;6.554,13;1;1;1;1;;
2017;Panda Filmes;941;Distribuição Nacional;16.408;16.408;240.713,27;240.713,27;1;1;1;1;;
2017;Pandora Filmes;12443/333;Distribuição Nacional;131.467;3.593;1.849.628,32;44.392,81;22;7;15;5;;
2017;Paramount;169;Distribuição Internacional;9.165.202;0;136.547.949,00;0,00;18;0;12;0;;
2017;Paris;11922;Distribuição Nacional;15.520.326;144;223.162.050,44;2.669,32;42;2;30;1;;
2017;Paris/O2 Play;11922/63;Distribuição Nacional;6.280;6.280;77.573,34;77.573,34;1;1;1;1;;
2017;Pindorama Filmes;813;Distribuição Nacional;120;120;2.260,15;2.260,15;1;1;1;1;;
2017;Pipa Produções;5467;Distribuição Nacional;76;76;850,80;850,80;1;1;1;1;;
2017;Pipoca & Filmes/Forte Filmes;31411/12699;Distribuição Nacional;845;845;11.623,73;11.623,73;1;1;0;0;;
2017;Pique-Bandeira Filmes;22312;Distribuição Nacional;602;602;3.760,03;3.760,03;1;1;1;1;;
2017;Playarte;443;Distribuição Nacional;472.066;0;6.717.836,38;0,00;6;0;5;0;;
2017;Polifilmes;2550;Distribuição Nacional;40;40;206,00;206,00;2;2;0;0;;
2017;Polifilmes/Spcine;2550/32360;Distribuição Nacional;188;188;2.225,58;2.225,58;2;2;2;2;;
2017;Ponto de Equilíbrio;13831;Distribuição Nacional;7;7;63,00;63,00;1;1;1;1;;
2017;RioFilme;105;Distribuição Nacional;3.964;3.964;44.269,51;44.269,51;1;1;1;1;;
2017;RT Features;15543;Distribuição Nacional;451;0;6.700,20;0,00;1;0;1;0;;
2017;Santa Luzia Filmes;13269;Distribuição Nacional;461;461;5.858,28;5.858,28;1;1;1;1;;
2017;Sant'Ana Filmes;16846;Distribuição Nacional;89;89;986,12;986,12;1;1;0;0;;
2017;Sato Company;22000;Distribuição Nacional;94;0;940,00;0,00;1;0;0;0;;
2017;Sequência Produções Artisticas;1044;Distribuição Nacional;342;342;4.265,39;4.265,39;1;1;1;1;;
2017;Sereia Filmes;13753;Distribuição Nacional;4.207;4.207;39.101,34;39.101,34;1;1;1;1;;
2017;Sony;84;Distribuição Internacional;16.525.344;87.730;254.080.500,33;1.517.161,25;31;2;19;1;;
2017;Supo Mungam Films;28508;Distribuição Nacional;83.070;0;1.262.818,09;0,00;13;0;9;0;;
2017;Taus Audiovisuais;931;Distribuição Nacional;22;22;220,35;220,35;1;1;1;1;;
2017;TB Produções;639;Distribuição Nacional;746;746;11.272,72;11.272,72;1;1;1;1;;
2017;Tucumán;16132;Distribuição Nacional;16.116;16.068;221.765,47;221.354,47;7;5;4;4;;
2017;TV Meio Ambiente;20873;Distribuição Nacional;912;912;14.606,10;14.606,10;1;1;1;1;;
2017;UCI;749;Distribuição Nacional;9.900;0;239.902,00;0,00;5;0;1;0;;
2017;UMES;15603;Distribuição Nacional;110;0;1.666,00;0,00;1;0;1;0;;
2017;Universal;169/84/33787;Distribuição Internacional;33.443.010;0;493.840.490,50;0,00;20;0;15;0;;
2017;Videofilmes;276;Distribuição Nacional;15.958;15.958;236.324,04;236.324,04;1;1;1;1;;
2017;Vilacine;18499;Distribuição Nacional;2.007;0;21.494,96;0,00;1;0;1;0;;
2017;Vitrine Filmes;16713;Distribuição Nacional;545.901;535.647;7.119.275,76;6.972.499,30;61;57;27;26;;
2017;Warner;265;Distribuição Internacional;30.726.837;768.324;469.321.991,00;11.008.553,00;25;3;17;2;;
2017;Zahir Company;34269;Distribuição Nacional;32.053;32.053;451.907,65;451.907,65;1;1;1;1;;
2017;Zeta Filmes;22936;Distribuição Nacional;64.217;0;800.876,03;0,00;31;0;10;0;;
2018;A2 Filmes;34811;Distribuição Nacional;22.028;0;324.281,00;0,00;2;0;2;0;;
2018;A2 Filmes/Alphaville Filmes;34811/6418;Distribuição Nacional;40.337;0;638.893,00;0,00;1;0;1;0;;
2018;Accorde Audiovisuais;1403;Distribuição Nacional;150;150;990,00;990,00;2;2;2;2;;
2018;Alex Pires Duarte;34335;Distribuição Nacional;947;947;10.500,00;10.500,00;1;1;0;0;;
2018;Alpha Filmes;5963;Distribuição Nacional;43.627;0;644.304,00;0,00;2;0;2;0;;
