Listagem dos Agentes Econômicos Registrados na Ancine;;;;;;;;;
;;;;;;;;;
Registro Ancine;CNPJ;Razão Social;Atividade Econômica Principal;Natureza Jurídica;Munícipio;UF;Data do Primeiro Registro na Ancine;Data de Abertura da Empresa;Agente Econômico Brasileiro Independente
18735;11.654.455/0001-47;3 TIMES 1 PRODUCOES LTDA;Atividades de produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente;Sociedade Empresária Limitada;SÃO PAULO;SP;03/05/2011;18/02/2010;SIM
41365;30.205.638/0001-20;3/8 FILMES E ANIMAÇÕES LTDA;Produção de filmes para publicidade;Sociedade Empresária Limitada;JOINVILLE;SC;15/10/2018;16/04/2018;SIM
4465;07.447.850/0001-81;30 PÉS FILMES LTDA.;Atividades de produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente;Sociedade Empresária Limitada;SÃO PAULO;SP;19/07/2005;07/06/2005;SIM
22554;09.637.721/0001-81;30 SEGUNDOS FILMES LTDA - ME;Atividades de produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente;Sociedade Empresária Limitada;ANÁPOLIS;GO;10/10/2012;19/06/2008;SIM
41988;32.229.004/0001-32;311 ESTÚDIO CRIATIVO PUBLICIDADES EIRELI;Agências de publicidade;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária);CHAPECÓ;SC;11/01/2019;11/12/2018;SIM
1610;04.852.671/0001-31;34 FILMES LTDA;Atividades de produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente;Sociedade Empresária Limitada;BRASÍLIA;DF;20/10/2003;17/01/2002;SIM
31182;22.208.152/0001-17;360 ENTRETENIMENTO E DISTRIBUICAO DE FILMES LTDA ­ ME;Atividades de produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente;Sociedade Empresária Limitada;RIO DE JANEIRO;RJ;09/10/2015;07/04/2015;SIM
47199;21.958.515/0001-79;360 MERIDIANOS LTDA;Portais, provedores de conteúdo e outros serviços de informação na internet;Sociedade Empresária Limitada;BELO HORIZONTE;MG;17/11/2020;02/03/2015;NÃO
38974;39.116.298/0001-35;360 PRODUCAO ARTISTICA E AUDIO VISUAL LTDA-ME;Atividades de gravação de som e de edição de música;Sociedade Simples Limitada;RIO DE JANEIRO;RJ;05/03/2018;01/10/1990;SIM
47878;40.049.523/0001-47;36ZERO ENTRETENIMENTO LTDA.;Outras sociedades de participação, exceto holdings;Sociedade Empresária Limitada;SÃO PAULO;SP;09/03/2021;23/11/2020;NÃO
41824;07.474.911/0001-08;37 NÃO É FEBRE PRODUÇÕES ARTÍSTICAS LTDA;Atividades de produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente;Sociedade Empresária Limitada;RIO DE JANEIRO;RJ;13/12/2018;23/06/2005;SIM
44348;26.728.657/0001-63;380 VOLTS COMUNICACAO E PUBLICIDADE LTDA;Agências de publicidade;Sociedade Empresária Limitada;SÃO PAULO;SP;17/10/2019;16/12/2016;SIM
