Listagem dos Agentes Econômicos Registrados na Ancine;;;;;;;;;
;;;;;;;;;
Registro Ancine;CNPJ;Razão Social;Atividade Econômica Principal;Natureza Jurídica;Munícipio;UF;Data do Primeiro Registro na Ancine;Data de Abertura da Empresa;Agente Econômico Brasileiro Independente
46683;30.914.389/0001-41;MAM PRODUCOES ARTISTICAS LTDA;Atividades de produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente;Sociedade Empresária Limitada;RIO DE JANEIRO;RJ;21/09/2020;12/07/2018;SIM
16475;09.468.184/0001-93;MAMBEMBE PRODUÇÕES AUDIOVISUAIS LTDA.;Atividades de produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente;Sociedade Empresária Limitada;SÃO PAULO;SP;25/01/2010;17/03/2008;SIM
13212;08.595.822/0001-74;MAMBO JACK FILMES E PRODUÇÕES LTDA;Produção de filmes para publicidade;Sociedade Empresária Limitada;SÃO PAULO;SP;29/11/2007;11/01/2007;SIM
218;69.055.812/0001-30;MAMMUT PRODUCOES CINEMATOGRAFICAS LTDA;Atividades de produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente;Sociedade Empresária Limitada;SÃO PAULO;SP;04/09/2002;11/11/1992;SIM
1096;57.643.793/0001-84;MAMO FILMES LTDA;Atividades de produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente;Sociedade Empresária Limitada;SÃO PAULO;SP;28/02/2003;17/07/1987;SIM
15514;02.028.727/0001-02;MAMUTE FILMES LTDA-M.E.;Produção de filmes para publicidade;Sociedade Empresária Limitada;SÃO PAULO;SP;26/05/2009;12/08/1997;SIM
48380;37.979.134/0001-06;MAN ON MOON PICTURES LTDA;Atividades de produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente;Sociedade Empresária Limitada;SÃO PAULO;SP;12/05/2021;05/08/2020;SIM
40320;03.631.823/0001-03;MANA PRODUTORA DE FILMES LTDA ME;Filmagem de festas e eventos;Sociedade Empresária Limitada;SÃO PAULO;SP;28/06/2018;07/02/2000;SIM
34075;25.301.822/0001-33;MANACÁ CINE STUDIO EIRELI-ME;Atividades de produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária);FLORIANÓPOLIS;SC;01/09/2016;27/07/2016;SIM
50594;32.294.313/0001-96;MANACA PRODUCOES LTDA;Atividades de produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente;Sociedade Empresária Limitada;RIO DE JANEIRO;RJ;22/02/2022;20/12/2018;SIM
46711;07.311.741/0001-32;MANACAPURU COMUNICAÇÃO E MARKETING EIRELI EPP;Atividades de produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária);RIO DE JANEIRO;RJ;22/09/2020;14/03/2005;SIM
47191;39.394.840/0001-11;MANAIA DIGITAL LTDA;Produção de filmes para publicidade;Sociedade Empresária Limitada;SÃO JOSÉ DOS CAMPOS;SP;17/11/2020;13/10/2020;SIM
38240;09.587.308/0001-50;MANART PROMOCOES E EVENTOS LTDA ME;Promoção de vendas;Sociedade Empresária Limitada;RIO DE JANEIRO;RJ;21/11/2017;21/05/2008;SIM
15819;02.886.632/0001-20;MANAXICA PRODUÇÕES LTDA;Produção musical;Sociedade Empresária Limitada;RIO DE JANEIRO;RJ;28/07/2009;08/12/1998;SIM
47163;39.265.334/0001-22;MANBI PRODUÇÃO DE FILMES PUBLICITÁRIOS LTDA;Produção de filmes para publicidade;Sociedade Empresária Limitada;CIDADE OCIDENTAL;GO;13/11/2020;01/10/2020;SIM
16379;50.815.372/0001-44;MANCHESTER DIVERSÕES E CINEMAS LTDA;Atividades de exibição cinematográfica;Sociedade Empresária Limitada;SOROCABA;SP;04/01/2010;30/07/1982;NÃO
34980;22.038.718/0001-00;MANDACARU PRODUÇÕES E EVENTOS EIRELI;Atividades de gravação de som e de edição de música;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária);JEQUIÉ;BA;30/12/2016;12/03/2015;SIM
28033;13.334.630/0001-44;MANDALA FILMES E PRODUÇÕES ARTÍSTICAS LTDA;Atividades de produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente;Sociedade Empresária Limitada;SÃO PAULO;SP;29/10/2014;24/02/2011;SIM
11926;08.394.172/0001-07;MANDRA FILMES PRODUÇÕES AUDIOVISUAIS LTDA;Atividades de produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente;Sociedade Empresária Limitada;GOIÂNIA;GO;08/02/2007;27/10/2006;SIM
43036;22.416.129/0001-18;MANDRAGORA PRODUÇÕES ARTÍSTICAS LTDA- ME;Atividades de produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente;Sociedade Empresária Limitada;RIO DE JANEIRO;RJ;28/05/2019;06/05/2015;SIM
38367;28.948.999/0001-14;MANDRÁGORA PRODUÇÕES LTDA;Atividades de produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente;Sociedade Empresária Limitada;SÃO PAULO;SP;06/12/2017;27/10/2017;SIM
25299;14.875.821/0001-86;MANDRIL PRODUCOES CINEMATOGRAFICAS E TREINAMENTO LTDA;Atividades de produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente;Sociedade Empresária Limitada;SÃO PAULO;SP;02/10/2013;13/12/2011;SIM
31396;19.416.363/0001-30;MANDRILL FILMES EIRELI ME;Atividades de pós-produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente;Empresa Individual de Responsabilidade Limitada (de Natureza Simples);BRASÍLIA;DF;11/11/2015;12/12/2013;SIM
14623;10.438.390/0001-30;MANGA ROSA FILMES EIRELI;Atividades de produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária);PORTO ALEGRE;RS;14/11/2008;07/10/2008;SIM
47039;29.295.590/0001-09;MANGA ROSA PRODUÇÃO DE FILMES E VIDEOS LTDA - ME;Atividades de produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente;Sociedade Empresária Limitada;VITÓRIA DA CONQUISTA;BA;27/10/2020;19/12/2017;SIM
13875;08.908.077/0001-76;MANGABA CRIAÇÃO E PRODUÇÃO LTDA;Produção de filmes para publicidade;Sociedade Simples Limitada;SÃO PAULO;SP;02/06/2008;15/06/2007;SIM
22433;14.800.264/0001-34;MANGABA PRODUÇÕES LTDA;Atividades de produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente;Sociedade Empresária Limitada;SALVADOR;BA;20/09/2012;23/12/2011;SIM
23457;07.057.186/0001-64;MANGAJINGLE PRODUÇÕES FONOGRÁFICAS LTDA;Atividades de gravação de som e de edição de música;Sociedade Simples Limitada;RIO DE JANEIRO;RJ;14/03/2013;30/08/2004;SIM
42009;31.692.714/0001-31;MANGOLAB PRODUÇÕES ARTÍSTICAS LTDA;Portais, provedores de conteúdo e outros serviços de informação na internet;Sociedade Empresária Limitada;RIO DE JANEIRO;RJ;15/01/2019;04/10/2018;SIM
36241;27.016.644/0001-24;MANGUSTO FILMES LTDA-ME;Atividades de produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente;Sociedade Empresária Limitada;SÃO PAULO;SP;02/05/2017;02/02/2017;SIM
42722;30.975.373/0001-49;MANI ENTRETENIMENTO E COMUNICACAO LTDA;Artes cênicas, espetáculos e atividades complementares não especificados anteriormente;Sociedade Empresária Limitada;BELO HORIZONTE;MG;11/04/2019;19/07/2018;SIM
35252;07.837.630/0001-64;MANIFESTO GAME STUDIO LTDA;Desenvolvimento de programas de computador sob encomenda;Sociedade Empresária Limitada;RECIFE;PE;27/01/2017;09/01/2006;SIM
23628;11.332.121/0001-57;MANIFESTO MULTIMIDIA LTDA - ME;Produção de filmes para publicidade;Sociedade Empresária Limitada;BRASÍLIA;DF;04/04/2013;19/11/2009;SIM
46607;28.091.672/0001-79;MANINHO FILMES LTDA;Atividades de produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente;Sociedade Empresária Limitada;RIO DE JANEIRO;RJ;16/09/2020;30/06/2017;SIM
44294;25.999.923/0001-20;MA'NINJA PRODUÇÃO E EDIÇÃO MUSICAL LTDA;Produção musical;Sociedade Empresária Limitada;CURITIBA;PR;11/10/2019;18/08/2016;SIM
17430;09.163.772/0001-19;MANJERICÃO FILMES LTDA ME;Atividades de produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente;Sociedade Empresária Limitada;SÃO PAULO;SP;20/07/2010;24/09/2007;SIM
14078;09.719.793/0001-78;MANJUBINHA FILMES EIRELI;Atividades de produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente;Empresa Individual de Responsabilidade Limitada (de Natureza Simples);RIO DE JANEIRO;RJ;21/07/2008;23/06/2008;SIM
41825;32.195.998/0001-13;MANOEL DE REZENDE CASTELLO BRANCO ASSESSORIA E SERVICOS;Outras atividades profissionais, científicas e técnicas não especificadas anteriormente;Empresário (Individual) ;BELO HORIZONTE;MG;13/12/2018;06/12/2018;SIM
28679;12.444.492/0001-93;MANOEL FERNANDES NETO;Atividades de produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente;Empresário (Individual) ;JOÃO PESSOA;PB;12/01/2015;27/08/2010;SIM
3999;01.006.276/0001-40;MANOEL SANTANA DE ASSIS;Atividades de produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente;Empresário (Individual) ;RIO DE JANEIRO;RJ;12/05/2005;01/01/1996;SIM
31620;17.861.379/0001-27;MANOELA DE A CRUZ PRODUCOES E SERVICOS EIRELI;Artes cênicas, espetáculos e atividades complementares não especificados anteriormente;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária);RIO DE JANEIRO;RJ;10/12/2015;02/04/2013;SIM
40099;12.090.832/0001-25;MANTESANA PRODUTORA AUDIOVISUAL LTDA;Produção de filmes para publicidade;Sociedade Empresária Limitada;PORTO ALEGRE;RS;08/06/2018;15/06/2010;SIM
14512;09.583.743/0001-06;MANTRA PRODUCOES AUDIOVISUAIS LTDA;Estúdios cinematográficos;Sociedade Empresária Limitada;SALVADOR;BA;23/10/2008;29/05/2008;SIM
28713;14.206.405/0001-95;MANUAL DO MUNDO COMUNICAÇÃO LTDA;Estúdios cinematográficos;Sociedade Empresária Limitada;SÃO PAULO;SP;14/01/2015;09/08/2011;SIM
24079;09.371.854/0001-59;MANUÊ PRODUÇÕES CINEMATOGRAFICAS LTDA;Produção de filmes para publicidade;Sociedade Empresária Limitada;NATAL;RN;14/05/2013;23/01/2008;SIM
38459;14.612.316/0001-49;MANUEL HENRIQUE DE OLIVEIRA BARBOSA 00104594489;Atividades de pós-produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente;Empresário (Individual) ;MACEIÓ;AL;19/12/2017;12/11/2011;NÃO
43646;17.561.124/0001-49;MANUELA BEZERRA GOUVEIA DE ANDRADE 06456046408;Serviços de organização de feiras, congressos, exposições e festas;Empresário (Individual) ;RECIFE;PE;01/08/2019;08/02/2013;NÃO
44054;29.164.122/0001-03;MANUELA FETTER NICOLETTI EIRELI;Portais, provedores de conteúdo e outros serviços de informação na internet;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária);PORTO ALEGRE;RS;17/09/2019;28/11/2017;SIM
45423;22.020.161/0001-80;MANUFATURA PRODUCAO AUDIOVISUAL LTDA;Atividades de produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente;Sociedade Empresária Limitada;RIO DE JANEIRO;RJ;30/03/2020;10/03/2015;SIM
44927;03.291.268/0001-18;MÃO CHEIA PRODUÇÕES EIRELI;Estúdios cinematográficos;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária);SÃO LUÍS;MA;13/01/2020;22/07/1999;SIM
35232;26.565.286/0001-46;MÃO DE MACACO PRODUÇÕES AUDIOVISUAIS EIRELI - ME / MÃO DE MACACO;Atividades de produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária);GOIÂNIA;GO;26/01/2017;27/10/2016;SIM
49472;30.807.626/0001-75;MAO UNICA FILMES - PRODUCAO CINEMATOGRAFICA LTDA;Atividades de produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente;Sociedade Empresária Limitada;BRASÍLIA;DF;08/09/2021;28/06/2018;SIM
647;33.139.692/0001-02;MAPA FILMES DO BRASIL LTDA.;Atividades de produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente;Sociedade Empresária Limitada;RIO DE JANEIRO;RJ;08/10/2002;26/08/1966;SIM
46533;30.068.419/0001-46;MAPE IMAGENS LTDA;Atividades de produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente;Sociedade Empresária Limitada;ESTRELA;RS;08/09/2020;29/03/2018;SIM
37359;10.335.978/0001-68;MAPINGUARI COMUNICAÇÃO VISUAL SS LTDA.;Atividades de design não especificadas anteriormente;Sociedade Simples Limitada;BELÉM;PA;16/08/2017;09/07/2008;NÃO
43875;17.007.288/0001-29;MAQNA INTERACTIVE LTDA;Desenvolvimento e licenciamento de programas de computador não-customizáveis;Sociedade Empresária Limitada;FLORIANÓPOLIS;SC;30/08/2019;09/10/2012;SIM
35321;04.548.324/0001-10;MAQUINA DE IMAGENS LTDA - ME;Artes cênicas, espetáculos e atividades complementares não especificados anteriormente;Sociedade Simples Limitada;SÃO PAULO;SP;02/02/2017;19/06/2001;NÃO
47766;31.577.099/0001-12;MAQUINA DE LOUCO EDICOES MUSICAIS LTDA;Atividades de gravação de som e de edição de música;Sociedade Empresária Limitada;RIO DE JANEIRO;RJ;19/02/2021;21/09/2018;NÃO
1191;81.183.527/0001-09;MAQUINA FILMES LTDA - ME.;Atividades de produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente;Sociedade Empresária Limitada;CURITIBA;PR;07/04/2003;17/03/1989;SIM
44246;16.480.313/0001-24;MAQUINAMAQUINA PRODUÇÕES ARTÍSTICAS LTDA;Artes cênicas, espetáculos e atividades complementares não especificados anteriormente;Sociedade Simples Limitada;RIO DE JANEIRO;RJ;07/10/2019;11/07/2012;SIM
25428;18.912.604/0001-70;MAQUINNA FILMES LTDA ME;Atividades de produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente;Sociedade Empresária Limitada;SÃO PAULO;SP;16/10/2013;19/09/2013;SIM
280;04.949.473/0001-90;MAR & CEC DIGITAL LTDA. ME.;Atividades de pós-produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente;Sociedade Empresária Limitada;SANTOS;SP;25/06/2002;11/03/2002;SIM
35387;26.374.639/0001-20;MAR BRANCO AUDIOVISUAL LTDA;Atividades de produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente;Sociedade Empresária Limitada;SALVADOR;BA;09/02/2017;18/10/2016;SIM
13567;58.551.193/0001-59;MAR BRASILIS PRODUCOES CULTURAIS LTDA;Atividades de produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente;Sociedade Empresária Limitada;SÃO PAULO;SP;10/03/2008;15/01/1988;SIM
39154;29.848.725/0001-16;MAR BRASILIS PRODUÇÕES CULTURAIS SUL LTDA;Atividades de produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente;Sociedade Empresária Limitada;FLORIANÓPOLIS;SC;20/03/2018;05/03/2018;SIM
40765;20.106.668/0001-25;MAR DE MORROS CINEMATOGRÁFICA LTDA;Atividades de produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente;Sociedade Empresária Limitada;BELO HORIZONTE;MG;16/08/2018;18/04/2014;SIM
36082;26.544.669/0001-38;MAR GESTAO DE CONTEUDO LTDA - EPP;Atividades de produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente;Sociedade Empresária Limitada;RIO DE JANEIRO;RJ;10/04/2017;11/11/2016;SIM
38273;28.686.857/0001-26;MAR PRODUÇÕES ARTÍSTICAS E CULTURAIS LTDA.;Atividades de produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente;Sociedade Simples Limitada;RIO DE JANEIRO;RJ;23/11/2017;19/09/2017;SIM
25391;11.077.178/0001-57;MAR PRODUCOES ARTISTICAS LTDA - EPP;Serviços de organização de feiras, congressos, exposições e festas;Sociedade Empresária Limitada;BRASÍLIA;DF;11/10/2013;19/08/2009;SIM
5978;05.697.795/0001-52;MAR SEM FIM COMUNICAÇÕES LTDA;Comércio varejista de discos, CDs, DVDs e fitas;Sociedade Empresária Limitada;SÃO PAULO;SP;26/06/2006;09/06/2003;SIM
26755;09.252.930/0001-07;MARA VANESSA DE CASTRO PRIETO ME;Produção de filmes para publicidade;Empresário (Individual) ;SÃO PAULO;SP;29/04/2014;18/09/2007;SIM
23914;14.874.206/0001-55;MARABERTO FILMES LTDA. - ME;Atividades de produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente;Sociedade Simples Limitada;RIO DE JANEIRO;RJ;30/04/2013;26/12/2011;SIM
21041;13.608.511/0001-32;MARACÁ PRODUÇÕES ARTÍSTICAS E CULTURAIS LTDA;Artes cênicas, espetáculos e atividades complementares não especificados anteriormente;Sociedade Empresária Limitada;SÃO PAULO;SP;06/03/2012;28/04/2011;SIM
41914;28.000.814/0001-45;MARACAJAH FILMES LTDA-ME;Atividades de produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente;Sociedade Empresária Limitada;RIO DE JANEIRO;RJ;28/12/2018;20/06/2017;SIM
39073;22.960.268/0001-08;MARACANÃ MÍDIA PRODUÇÕES AUDIOVISUAIS LTDA -ME;Atividades de produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente;Sociedade Empresária Limitada;SÃO PAULO;SP;13/03/2018;30/07/2015;SIM
31296;22.446.460/0001-80;MARAHU PRODUCOES DE CINEMA E TELEVISAO LTDA - ME;Atividades de produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente;Sociedade Empresária Limitada;BELÉM;PA;26/10/2015;13/05/2015;SIM
46590;30.012.464/0001-89;MARALLINE COSTA PIRES;Marketing direto;Empresário (Individual) ;SÃO PAULO;SP;14/09/2020;22/03/2018;SIM
35977;26.791.315/0001-98;MARANGUAPE CINEMAS LTDA - ME;Atividades de exibição cinematográfica;Sociedade Empresária Limitada;MARANGUAPE;CE;28/03/2017;03/01/2017;NÃO
5505;05.416.743/0001-60;MARÃO DESENHOS ANIMADOS LTDA ME;Atividades de produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente;Sociedade Empresária Limitada;RIO DE JANEIRO;RJ;02/03/2006;14/11/2002;SIM
38211;28.729.426/0001-08;MARAQ FILMES E PRODUÇÕES LTDA - ME;Estúdios cinematográficos;Sociedade Simples Limitada;RIO DE JANEIRO;RJ;14/11/2017;25/09/2017;SIM
47064;37.571.190/0001-07;MARAVILHA PRODUÇÕES CINEMATOGRÁFICAS EIRELI;Estúdios cinematográficos;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária);RIO DE JANEIRO;RJ;03/11/2020;30/06/2020;SIM
35465;12.401.696/0001-47;MARC FILMS LTDA;Atividades de produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente;Sociedade Empresária Limitada;SÃO PAULO;SP;14/02/2017;12/08/2010;SIM
41939;03.136.902/0001-48;MARC MIDIA COMUNICACAO EIRELI;Atividades de produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária);BRASÍLIA;DF;08/01/2019;10/05/1999;SIM
41132;30.963.511/0001-70;MARC PLUS FILMES EIRELI;Produção de filmes para publicidade;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária);BRASÍLIA;DF;19/09/2018;18/07/2018;NÃO
35075;15.292.830/0001-07;MARC PRINT GRAFICA E EDITORA;Impressão de livros, revistas e outras publicações periódicas;Sociedade Empresária Limitada;RIO DE JANEIRO;RJ;10/01/2017;30/03/2012;SIM
44530;33.934.198/0001-30;MARCAS E MÁQUINAS PRODUÇÕES LTDA;Atividades de produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente;Sociedade Empresária Limitada;CAMPINAS;SP;11/11/2019;14/06/2019;SIM
42137;32.558.054/0001-63;MARCEL ALVES MACIEL;Atividades de pós-produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente;Empresário (Individual) ;CACHOEIRO DE ITAPEMIRIM;ES;04/02/2019;24/01/2019;NÃO
47639;24.001.809/0001-04;MARCEL ANDRADE MAGALHAES ME;Produção de filmes para publicidade;Empresário (Individual) ;ARACAJU;SE;29/01/2021;18/01/2016;SIM
38984;28.434.988/0001-16;MARCEL ARAUJO DOS S SILVA - ME;Atividades de produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente;Empresário (Individual) ;SALVADOR;BA;06/03/2018;16/08/2017;SIM
46830;29.617.190/0001-72;MARCEL BIANCHI DE LIMA 33115715846;Atividades de pós-produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente;Empresário (Individual) ;SANTO ANDRÉ;SP;01/10/2020;05/02/2018;SIM
41734;27.611.124/0001-60;MARCEL COELHO CALDAS 69232512734;Atividades de pós-produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente;Empresário (Individual) ;RIO DE JANEIRO;RJ;04/12/2018;24/04/2017;SIM
22821;14.456.745/0001-74;MARCEL EIDY NISHIYAMA - ME;Atividades de produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente;Empresário (Individual) ;SÃO PAULO;SP;27/11/2012;21/09/2011;SIM
43594;11.107.724/0001-55;MARCEL LOPES SILVEIRA ME;Marketing direto;Empresário (Individual) ;SÃO PAULO;SP;26/07/2019;26/08/2009;SIM
29581;21.988.926/0001-07;MARCEL LUIS DE OLIVEIRA 16434967861;Atividades de pós-produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente;Empresário (Individual) ;TIETÊ;SP;06/04/2015;05/03/2015;SIM
43888;27.347.288/0001-21;MARCEL RODRIGUES JANUNCIO ME;Produção de filmes para publicidade;Empresário (Individual) ;SÃO PAULO;SP;02/09/2019;21/03/2017;SIM
3315;05.844.615/0001-18;MARCEL SABATINO & CIA LTDA;Comércio varejista de artigos fotográficos e para filmagem;Sociedade Empresária Limitada;JAÚ;SP;10/03/2005;05/06/2003;NÃO
13019;04.104.336/0001-55;MARCEL SILVA BUCAR - EPP;Atividades de produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente;Empresário (Individual) ;BRASÍLIA;DF;08/10/2007;23/10/2000;SIM
41782;21.397.904/0001-72;MARCELA CERIBELLI MOREIRA ­ ME;Atividades de produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente;Empresário (Individual) ;SÃO PAULO;SP;10/12/2018;12/11/2014;SIM
37615;28.472.248/0001-74;MARCELA DE OLIVEIRA RODRIGUES 08714767627;Atividades de pós-produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente;Empresário (Individual) ;BELO HORIZONTE;MG;04/09/2017;22/08/2017;SIM
48854;34.603.706/0001-60;MARCELA GOULART URBANI 48253630832;Filmagem de festas e eventos;Empresário (Individual) ;SÃO PAULO;SP;01/07/2021;21/08/2019;SIM
34577;23.490.705/0001-30;MARCELA ILHA BORDIN - ME;Atividades de produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente;Empresário (Individual) ;PORTO ALEGRE;RS;03/11/2016;16/10/2015;SIM
17943;07.757.992/0001-45;MARCELA LORDY COSTA PRODUCOES - ME;Atividades de produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente;Empresário (Individual) ;SÃO PAULO;SP;08/11/2010;16/11/2005;SIM
42815;31.612.965/0001-69;MARCELA PORCARO RAUSCH 06456310601;Atividades de pós-produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente;Empresário (Individual) ;BELO HORIZONTE;MG;25/04/2019;26/09/2018;SIM
49650;37.020.185/0001-06;MARCELA QUEIROZ LEMGRUBER 04537713194;Atividades de pós-produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente;Empresário (Individual) ;BRASÍLIA;DF;28/09/2021;28/04/2020;SIM
47059;31.429.085/0001-51;MARCELIA DE SOUZA CARTAXO - ME;Produção teatral;Empresário (Individual) ;JOÃO PESSOA;PB;29/10/2020;05/09/2018;SIM
38218;18.439.297/0001-51;MARCELINA DE MORAES BASTOS 01328127460;Serviços de organização de feiras, congressos, exposições e festas;Empresário (Individual) ;JOÃO PESSOA;PB;16/11/2017;07/07/2013;NÃO
45393;34.696.840/0001-52;MARCELINO ELOY DELMINIO 53146603187;Comércio varejista de artigos fotográficos e para filmagem;Empresário (Individual) ;CUIABÁ;MT;25/03/2020;29/08/2019;NÃO
49159;33.880.406/0001-65;MARCELLA AMORIM ROCHA 15729563728;Atividades de pós-produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente;Empresário (Individual) ;VILA VELHA;ES;30/07/2021;10/06/2019;NÃO
49511;41.236.600/0001-30;MARCELLE PAULA MESSINA BERGAMASCO;Agências de publicidade;Empresário (Individual) ;JACAREÍ;SP;13/09/2021;16/03/2021;SIM
48364;27.352.460/0001-35;MARCELLO AMORIM PAVARINI 16782060752;Atividades de pós-produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente;Empresário (Individual) ;SÃO JOSÉ DO RIO PRETO;SP;10/05/2021;21/03/2017;NÃO
35297;15.782.440/0001-15;MARCELLO BAIA NICOLATO 09879705777;Atividades de produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente;Empresário (Individual) ;PONTE NOVA;MG;01/02/2017;26/06/2012;SIM
45512;24.658.611/0001-90;MARCELLO FERREIRA DE ANDRADE - ME;Atividades de produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente;Empresário (Individual) ;SÃO PAULO;SP;13/04/2020;26/04/2016;SIM
44539;29.016.597/0001-44;MARCELLO MATHIAS MARTINS 32947358805;Produção musical;Empresário (Individual) ;SÃO PAULO;SP;12/11/2019;07/11/2017;SIM
36295;18.356.932/0001-37;MARCELLO RACHID LEMOS RIBEIRO 06982518493;Atividades de pós-produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente;Empresário (Individual) ;NATAL;RN;09/05/2017;24/06/2013;SIM
38071;26.980.766/0001-73;MARCELLO ROCHA DE FIGUEIREDO;Serviços de organização de feiras, congressos, exposições e festas;Empresário (Individual) ;PARAOPEBA;MG;30/10/2017;30/01/2017;NÃO
44495;33.107.380/0001-17;MARCELLO SORTINO SOUZA 48323031800;Filmagem de festas e eventos;Empresário (Individual) ;SÃO PAULO;SP;06/11/2019;21/03/2019;NÃO
25339;10.347.818/0001-39;MARCELO AUGUSTO NEGRI DE CARVALHO - EPP;Atividades de produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente;Empresário (Individual) ;SÃO PAULO;SP;07/10/2013;10/09/2008;SIM
39091;15.627.729/0001-60;MARCELO AUGUSTO SANTIAGO 08026141679;Produção musical;Empresário (Individual) ;BELO HORIZONTE;MG;15/03/2018;30/05/2012;NÃO
47453;04.610.708/0001-15;MARCELO CALONE E CORPORADOS SS LTDA;Estúdios cinematográficos;Sociedade Simples Limitada;SÃO PAULO;SP;16/12/2020;25/07/2001;SIM
46407;20.871.219/0001-73;MARCELO CALTABIANO MONTEIRO 32383962856;Edição de Jornais Diários;Empresário (Individual) ;TAUBATÉ;SP;21/08/2020;20/08/2014;NÃO
36790;22.469.913/0001-94;MARCELO CHAGAS COSTA - ME;Produção de filmes para publicidade;Empresário (Individual) ;SALVADOR;BA;21/06/2017;18/05/2015;SIM
36330;27.622.793/0001-37;MARCELO COLAZIOL DOS SANTOS 89821653049;Atividades de pós-produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente;Empresário (Individual) ;CAXIAS DO SUL;RS;12/05/2017;28/04/2017;SIM
