Listagem de Produções no Brasil com Participação de Profissionais Estrangeiros 2019;;;;;;;;;;;;
;;;;;;;;;;;;
Data de Solicitação;Tipo de Ofício;"Número de Técnicos/
Artistas Estrangeiros";Título da Obra;Tipo de Obra;Período Produção;Empresa Brasileira;UF;Empresa Estrangeira;País;Nacionalidade da Produção;Local de Filmagem (UF);""""
27/02/2019;Alteração e inclusão de profissionais;1;Follow the Food;Documentário;"09/03/2019 a 18/03/2019; 08/04/2019 a 16/04/2019";R B ARAUJO PRODUÇÃO CINEMATOGRAFICA - ME;RJ;"""TWOFOUR BROADCAST LIMITED""";Reino Unido;Estrangeira;"""Alto Alegre do Maranhão (MA), Brasília (DF), Não-Me-Toque (RS), Uberlândia (MG), Fartura (SP), Piracicaba (SP), Cruz das Almas (BA), Patrocínio (MG), Petrolina (PE)""";
07/03/2019;Comunicação filmagem estrangeira;11;Verruckt nach Meer 9;Documentário;26/03/2019 a 04/04/2019;Sol Entertainment Ltda;RJ;"""Bewegte Zeiten Filmproduktion GmbH""";Alemanha;Estrangeira;"""RS, Ilha Bela (SP), Rio de Janeiro (RJ), Ilhéus (BA), Salvador (BA), Maceió (AL), Recife (PE), Olinda (PE)""";
08/03/2019;Comunicação filmagem estrangeira;2;Invitation au voyage - Temporada 2019;Documentário;19/03/2019 a 06/04/2019;La Vista;SP;"""Elephant Adventure""";França;Estrangeira;"""Olinda (PE), Cabo de Santo Agostinho (PE), Quilombo dos Palmares (PE), Olho d'Agua do Casado (AL), Água Branca (AL), Piranhas (AL), Rio de Janeiro (RJ), Porto Velho (RO)""";
08/03/2019;Comunicação filmagem estrangeira;1;World Japan Insight Lenz;Documentário;25/03/2019 a 15/04/2019;SANGO PRODUCTION LTDA;SP;"""DOCUMENTARY JAPAN INC""";Japão;Estrangeira;"""São Paulo (SP), Santos (SP)""";
13/03/2019;Comunicação filmagem estrangeira;3;Amazon;Documentário;01/04/2019 a 11/04/2019;Perin Filmes Eireli EPP;AM;"""DE HAAIEN""";Holanda;Estrangeira;"""São Paulo (SP), Castelo (ES), Novo Progresso (PA), Marituba (PA), Itaituba (PA), Manaus (AM)""";
18/03/2019;Comunicação filmagem estrangeira;3;"""Carne, o Planeta e Eu""";Documentário;01/05/2019 a 15/05/2019;Neon Rio Ltda;RJ;"""Raw Factual Ltd""";Reino Unido;Estrangeira;"""Alta Floresta (MT)""";
18/03/2019;Comunicação filmagem estrangeira;1;Desmatamento;Documentário;21/03/2019 a 26/03/2019;Sol Entertainment Ltda;RJ;"""SRG SSR @SRF""";Suíça;Estrangeira;"""Amarante (MA), Imperatriz (MA), São Paulo (SP)""";
18/03/2019;Comunicação filmagem estrangeira;1;Freshfly / Templeton Prize Winner Biography;Documentário;25/03/2019 a 31/03/2019;BPS PRODUÇÕES E SERVIÇOS EIRELI;RJ;"""Figura Media LLC""";Estados Unidos;Estrangeira;"""Rio de Janeiro (RJ)""";
18/03/2019;Comunicação filmagem estrangeira;2;Freshfly / Templeton Prize Winner Biography;Documentário;25/03/2019 a 31/03/2019;BPS PRODUÇÕES E SERVIÇOS EIRELI;RJ;"""Figura Media LLC""";Estados Unidos;Estrangeira;"""Rio de Janeiro (RJ)""";
18/03/2019;Comunicação filmagem estrangeira;3;NIJIIRO JEAN;Documentário;28/03/2019;WASABI JB COMUNICAÇÃO;RJ;"""Nouveau Inc.""";Japão;Estrangeira;"""Rio de Janeiro (RJ)""";
