Listagem de Filmes Brasileiros e Estrangeiros Exibidos - 2009 a 2019;;;;;;;;;;
;;;;;;;;;;
Ano de exibição;Título da obra;CPB/ROE;Gênero;País(es) produtor(es) da obra;Nacionalidade da obra;Data de lançamento;Empresa distribuidora;Origem da empresa distribuidora;Público no ano de exibição;Renda (R$) no ano de exibição
2019;As Loucuras De Rose;E1900373400000;Ficção;Reino Unido;Estrangeira;03/10/2019;Diamond Films;Distribuição Nacional;1.447;22.428,00
2019;As Montanhas Se Separam;E1600158400000;Ficção;China, França, Japão;Estrangeira;23/06/2016;Imovision;Distribuição Nacional;27;175
2019;As Panteras;E1900271700000;Ficção;Estados Unidos;Estrangeira;14/11/2019;Sony;Distribuição Internacional;453.400;6.866.235,00
2019;As Rainhas Da Torcida;E1900223000000;Ficção;Estados Unidos, Reino Unido;Estrangeira;01/08/2019;Diamond Films;Distribuição Nacional;13.493;245.774,00
2019;As Trapaceiras;E1900265600000;Ficção;Estados Unidos;Estrangeira;25/07/2019;Universal;Distribuição Internacional;90.457;1.581.720,00
2019;As Viúvas;E1800253300000;Ficção;Estados Unidos;Estrangeira;29/11/2018;Fox;Distribuição Internacional;271;4.376,00
2019;Asako I & Ii;E1800490600000;Ficção;França, Japão;Estrangeira;20/12/2018;Zeta Filmes;Distribuição Nacional;1.937;23.600,00
2019;Aspirantes;B1500843400000;Ficção;Brasil;Brasileira;22/11/2019;Ciclorama Filmes;Distribuição Nacional;382;5.223,00
2019;Assunto De Família;E1800494700000;Ficção;Japão;Estrangeira;10/01/2019;Imovision;Distribuição Nacional;60.226;971.384,00
2019;Aventura Em Miniatura;E1900336900000;Animação;China;Estrangeira;28/11/2019;Lança Filmes;Distribuição Nacional;ND;ND
2019;Ayka;E1900112500000;Ficção;Alemanha, Cazaquistão, China, França, Polônia, Rússia;Estrangeira;11/04/2019;Zeta Filmes;Distribuição Nacional;1.512;18.670,00
2019;Azougue Nazaré;B1800141000000;Ficção;Brasil;Brasileira;14/11/2019;Inquieta Cinema Cultura e Comunicação;Distribuição Nacional;4.145;36.555,00
2019;B.O.;B1700259900000;Ficção;Brasil;Brasileira;09/05/2019;Raccord Produções;Distribuição Nacional;786;11.535,00
