"""Listagem de Produções no Brasil com Participação de Profissionais Estrangeiros - 2008""";;;;;;;;;;;;;
"""Número de Autorização de Origem""";"""Data da Aprovação""";"""Número de Técnicos/
Artistas Estrangeiros""";"""Título da Obra""";"""Tipo de Obra""";"""Período Produção""";"""Empresa Brasileira""";"""UF""";"""Empresa Estrangeira""";"""País""";"""Produção""";"""Local de Filmagem (UF)""";;
"""206""";"""39745""";"""4""";"""Daiting """;"""publicitária""";"""24/10/2008 a 15/11/2008 """;"""Ocean Produção de Filmes Ltda""";"""SC""";"""Goodgate Productions """;"""Argentina""";"""Estrangeira""";"""RJ""";;
"""207""";"""39745""";"""2""";"""Liebherr no Brasil """;"""institucional""";"""17/11/2008 a 22/11/2008""";"""Tambke Filmes Ltda""";"""RJ""";"""Naumann Film GmbH""";"""Alemanha""";"""Estrangeira""";"""SP""";;
"""208""";"""39750""";"""3""";"""Urban Age Award """;"""documentário""";"""07/11/2008 a 20/11/2008""";"""Tamanduá Produção Cine e Vídeo Ltda. """;"""SP """;"""Hoferichter & Jacobs Filmproduction""";"""Alemanha""";"""Estrangeira""";"""SP""";;
"""209""";"""39751""";"""91""";"""T.B. Show """;"""programa de TV (reality show)""";"""03/11/2008 a 22/12/2008 """;"""Planeta Films S/A""";"""SP""";"""ANISA Productions """;"""Estados Unidos""";"""Estrangeira""";"""SP""";;
"""210""";"""39755""";"""6""";"""Energy Autonomy - The Code of Survival """;"""documentário""";"""17/11/2008 a 29/11/2008""";"""Aura Filme Produções Ltda""";"""RJ""";"""FechnerMEDIA GmbH""";"""Alemanha""";"""Estrangeira""";"""AM""";;
"""211""";"""39756""";"""4""";"""Running in Hills """;"""programa de TV (reality show)""";"""05/11/2008 a 09/11/2008""";"""Renato Falcão""";"""RS""";"""Left/Right Inc.""";"""Estados Unidos""";"""Estrangeira""";"""RJ """;;
"""212""";"""39756""";"""6""";"""Rockstar Games """;"""jogo eletrônico (game) """;"""24//11/2008 a 12/12/2008""";"""Planeta Films S/A""";"""SP """;"""Rockstar Games """;"""Estados Unidos""";"""Estrangeira""";"""SP""";;
"""""";"""39762""";"""21""";"""Minha Terra, Minha Mãe""";"""Novela""";"""01/07/2008 a 30/12/2008""";"""Televisão Profissional Ltda""";"""RJ""";"""N/Tech Ltd.""";"""Ilhas Virgens Britânicas""";"""Estrangeira""";"""RJ""";;
"""213""";"""39763""";"""1""";"""Grilagem 2 """;"""documentário""";"""22/11/2008 a 21/02/2008""";"""Utopia Filmes Produção Artística Ltda""";"""RJ """;"""Non Plus Filmproduktion """;"""Áustria """;"""Estrangeira""";"""MT/PA/RJ""";;
"""214""";"""39763""";"""2""";"""Rainforest """;"""publicitária""";"""17/11/2008 a 23/11/2008""";"""Zohar Cinema e Comunicação Ltda""";"""RJ""";"""MJZ - Morton Jankel Zander Inc. """;"""Estados Unidos""";"""Estrangeira""";"""SP/RJ""";;
"""215""";"""39763""";"""3""";"""Patrimonio da Humanidade 100""";"""documentário""";"""26/12/2008 a 26/01/2009""";"""Urutau Filmes Ltda""";"""SP""";"""NHK Enterprise Inc. """;"""Japão""";"""Estrangeira""";"""DF/MA/MG/PE""";;
"""216""";"""39763""";"""2""";"""NHK Special Yanomami - Parte IV""";"""documentário""";"""27/11/2008 a 15/01/2009""";"""Urutau Filmes Ltda""";"""SP""";"""NHK - Japan Broadcasting Corporation """;"""Japão""";"""Estrangeira""";"""RR""";;
"""217""";"""39764""";"""3""";"""Defesa Mortífera da Natureza""";"""documentário""";"""24/11/2008 a 07/12/2008""";"""Neon Rio Ltda""";"""RJ""";"""Beyond International""";"""Austrália""";"""Estrangeira""";"""SP/MT/AM """;;
"""218""";"""39766""";"""2""";"""Idents ou Obras """;"""publicitária""";""" 24/11/2008 a 13/02/2009""";"""Demeter Films Ltda """;"""SP""";"""Ultimatum Production """;"""França""";"""Estrangeira""";"""SP""";;
"""219""";"""39770""";"""2""";"""Sonhos """;"""publicitária""";"""18/11/2008 a 30/11/2008""";"""Bossa Nova Films Criações e Produções Ltda""";"""SP""";"""xxx""";"""xxx""";"""Brasileira""";"""SP""";;
"""220""";"""39771""";"""1""";"""Rios Voadores """;"""documentário""";"""02/12/2008 a 22/12/2008""";"""Sol Entertainment Ltda""";"""RJ""";"""Fernsehbuero """;"""Alemanha""";"""Estrangeira""";"""AM/PA/RR/SP""";;
"""221""";"""39771""";"""3""";"""No Final do túnel encontramos o paraíso - 60 anos da fundação de Elizabeth Sanders Home""";"""documentário""";"""05/12/2008 a 15/12/2008""";"""Xes Projetos Visuais Ltda""";"""SP""";"""Ortus Japan """;"""Japão""";"""Estrangeira""";"""PA""";;
"""222""";"""39771""";"""4""";"""A Juíza Sueli Pini e o Juizado itinerante fluvial """;"""documentário""";"""01/12/2008 a 10/01/2009""";"""Town Network Produções Audiovisuais Ltda""";"""SP""";"""Temjin TV Production""";"""Japão""";"""Estrangeira""";"""AP""";;
"""223""";"""39771""";"""4""";"""Silence.ça Pousse I""";"""documentário""";"""27/11/2008 a 04/12/2008""";"""Tambke Filmes Ltda""";"""RJ""";"""CBTV SA  """;"""França""";"""Estrangeira""";"""RJ""";;
"""224""";"""39773""";"""6""";"""Jimmy's global farm """;"""documentário""";"""28/11/2008 a 25/02/2009""";"""Francisco Ferreira Pinto Filho """;"""AM""";"""British Broadcasting Corporation""";"""Escócia """;"""Estrangeira""";"""AL/AM/DF/GO/MT""";;
"""225""";"""39776""";"""2""";"""Programa Especial - 100 anos de Imigração Japonesa no Brasil """;"""documentário""";"""03/12/2008 a 14/12/2008""";"""Xes Projetos Visuais Ltda""";"""SP""";"""Ortus Japan """;"""Japão""";"""Estrangeira""";"""MS/SP""";;
"""226""";"""39777""";"""1""";"""Brand Global """;"""publicitária""";""" 01/12/2008 a 19/01/2009""";"""Paradiso Films Ltda""";"""SP """;"""The Gang Films """;"""França""";"""Estrangeira""";"""RJ """;;
"""227""";"""39777""";"""3""";"""Goodbye Germany """;"""documentário""";"""06/12/2008 a 12/12/2008""";"""Aura Filme Produções Ltda""";"""RJ """;"""Eyeworks GmbH""";"""Alemanha""";"""Estrangeira""";"""BA""";;
"""228""";"""39780""";"""4""";"""Festival of the world special in 2009""";"""documentário""";"""15/02/2009 a 28/02/2009""";"""Neon Rio Ltda""";"""RJ""";"""Nine Network Australia Pty Ltd. """;"""Austrália""";"""Estrangeira""";"""RJ""";;
"""229""";"""39786""";"""2""";"""Cirque Du Soleil - Cirque 2009 Show """;"""documentário""";"""06/12/2008 a 13/12/2008""";"""Utopia Filmes Produção Artística Ltda""";"""RJ """;"""Cirque Du Soleil Imagens Inc. """;"""Canadá""";"""Estrangeira""";"""RJ """;;
"""230""";"""39786""";"""11""";"""Kohaku utagasen - Festival da canção popular japonesa """;"""captação de imagens""";"""15/12/2008  02/01/2009""";"""Xes Projetos Visuais Ltda""";"""SP""";"""NHK - Nippon Hoso Kyokai """;"""Japão""";"""Estrangeira""";"""SP """;;
"""231""";"""39787""";"""2""";"""Stabilizers """;"""publicitária""";"""05/12/2008 a 20/12/2008""";"""Zohar Cinema e Comunicação Ltda""";"""RJ """;"""Academy Productions """;"""Inglaterra""";"""Estrangeira""";"""RJ""";;
"""232""";"""39787""";"""4""";"""Patrimônio Mundial Natural da Humanidade: Parque Nacional do Iguaçu """;"""documentário""";"""27/12/2008 a 20/01/2009""";"""Town Network Produções Audiovisuais Ltda""";"""SP """;"""Gen TV Production """;"""Japão""";"""Estrangeira""";"""PR""";;
"""233""";"""39798""";"""2""";"""Mambo""";"""publicitária""";"""03/01/2009 a 30/01/2009""";"""Bossa Nova Films Criações e Produções Ltda""";"""SP""";"""xxx""";"""xxx""";"""Brasileira""";"""SP """;;
"""234""";"""39791""";"""5""";"""As 100 paisagens mais deslumbrantes do mundo""";"""documentário""";"""02/01/2009 a 17/01/2009""";"""Xes Projetos Visuais Ltda""";"""SP""";"""Collaboration Inc. """;"""Japão""";"""Estrangeira""";"""AM/MA/PR""";;
"""235""";"""39801""";"""97""";"""The Expendables""";"""ficção""";"""05/01/2009 a 30/04/2009""";"""O2 Produções Artísticas e Cinematográficas Ltda""";"""SP""";"""Second Choice Production Services International  A.V.V. """;"""Estados Unidos """;"""Estrangeira""";"""RJ/SP""";;
"""236""";"""39805""";"""4""";"""Locked-up abroad series 4 - Episode 4: Brazil """;"""documentário""";"""06/01/2009 a 05/02/2009""";"""Erê Cinema Produções Artísticas Ltda. """;"""RJ""";"""Raw Television """;"""Inglaterra""";"""Estrangeira""";"""RJ """;;
"""* A produção foi cancelada conforme declaração da produtora nacional representante constante no dossiê (Autorização nº 32).""";;;;;;;;;;;;;
"""*1 Conforme documentação apresentada posteriormente ao período de produção, a obra, inicialmente de natureza estrangeira, foi produzida pela Paradiso Filmes Ltda, dirigida por Marcos Menescal Araújo. Veio ao Brasil apenas o profissional estrangeiro listado no of. 146-2/2008 (Autorização nº 146).""";;;;;;;;;;;;;
"""Fonte: Superintendência Registros - S.R.E - Coordenação de Registro de Empresa e Autorização de Produção Estrangeira - CRE - 2008""";;;;;;;;;;;;;
