"""Listagem de Produções no Brasil com Participação de Profissionais Estrangeiros - 2011""";;;;;;;;;;;
;;;;;;;;;;;
"""Número de Autorização de Origem""";"""Data da Aprovação""";"""Número de Técnicos/
Artistas Estrangeiros""";"""Título da Obra""";"""Tipo de Obra""";"""Período Produção""";"""Empresa Brasileira""";"""UF""";"""Empresa Estrangeira""";"""País""";"""Produção""";"""Local de Filmagem (UF)"""
35;25/02/2011;2;"""House hunters""";"""Documentário""";"""18/03/2011 a 25/03/2011""";"""Prodigital Latina Estúdio Filmes Ltda.""";"""SP""";"""Leopard Films""";"""Estados Unidos""";"""Estrangeira""";"""BA"""
36;25/02/2011;7;"""Beach party""";"""Publicitária""";"""07/03/2011 a 18/03/2011""";"""Ocean Produção de Filmes Ltda.""";"""SC""";"""Neue Sentimental Films""";"""Áustria""";"""Estrangeira""";"""RJ"""
37;01/03/2011;4;"""Go Japan, Gol""";"""Publicitária""";"""13/03/2011 a 25/03/2011""";"""Alfixit Produções Culturais e Artísticas Ltda.""";"""SP""";"""Dance Not Act, Inc.""";"""Japão""";"""Estrangeira""";"""RJ"""
38;02/03/2011;3;"""Strong performers and sucessful reformers in education""";"""Documentário""";"""12/03/2011 a 07/04/2011""";"""Nation e Nação Produções Artísticas Ltda.""";"""SP""";"""The Pearson Charitable Foundation""";"""Estados Unidos""";"""Estrangeira""";"""SP"""
39;02/03/2011;3;"""Migthy ships""";"""Documentário""";"""16/03/2011 a 31/03/2011""";"""Brian M. Sewell Produções Cinematográficas""";"""RJ""";"""Exploration Productions Inc.""";"""Canadá""";"""Estrangeira""";"""RJ"""
40;04/03/2011;8;"""Fast""";"""Documentário""";"""09/04/2011 a 13/04/2011""";"""Prodigital Latina Estúdio Filmes Ltda.""";"""SP""";"""Deamin, Inc.""";"""Estados Unidos""";"""Estrangeira""";"""RJ"""
41;04/03/2011;3;"""Veolia France""";"""Institucional""";"""14/03/2011 a 22/03/2011""";"""Cassio E. de Oliveira Pardini Produções - ME""";"""SP""";"""Ah! Production""";"""França""";"""Estrangeira""";"""PR/SC"""
42;04/03/2011;4;"""Avon voices""";"""Documentário""";"""13/04/2011 a 21/04/2011""";"""Sister Entretenimento Ltda.""";"""SP""";"""Intero Alliance, LLC""";"""Estados Unidos""";"""Estrangeira""";"""RJ"""
43;11/03/2011;1;"""Cordel encantado""";"""Novela""";"""18/03/2011 a 04/04/2011""";"""Globo Comunicação e Participações S/A""";"""RJ""";""" - """;""" - """;"""Brasileira""";"""RJ"""
44;14/03/2011;3;"""Sabin""";"""Documentário""";"""16/03/2011 a 24/03/2011""";"""Cassio E. de Oliveira Pardini Produções - ME""";"""SP""";"""Long Story Short Jessica Stuart Media Inc.""";"""Estados Unidos""";"""Estrangeira""";"""PE"""
