Listagem de Complexos de Exibição por Município e UF - 2019;;;;;;;
;;;;;;;
#;UF;Município;População*;Nome Complexo;Grupo ANCINE;Registro Ancine do Complexo;Número de Salas
140;GO;ITUMBIARA;104.742;Cine Plaza Itumbiara;INDEPENDENTE;16470;3
141;GO;JATAÍ;100.882;Multicine Jatahy Shopping;MULTICINE;19793;3
142;GO;LUZIÂNIA;208.299;Lumière Luziânia Shopping;LUMIÈRE;37199;3
143;GO;MORRINHOS;46.136;Cinemax;INDEPENDENTE;33993;1
144;GO;PLANALTINA;89.918;Cine Quelipe Planaltina;INDEPENDENTE;23487;1
145;GO;RIO VERDE;235.647;Cineflix Buriti Shopping Rio Verde;CINEFLIX;27467;5
146;GO;VALPARAÍSO DE GOIÁS;168.468;Cineflix Shopping Sul;CINEFLIX;34628;6
147;GO;GOIANÉSIA;70.084;Mobicine Goianésia;INDEPENDENTE;42976;2
148;GO;QUIRINÓPOLIS;50.065;Cine Teatro Maria Auxiliadora Ltda;INDEPENDENTE;43989;1
149;GO;GOIÂNIA;1.516.113;Cine Ritz Goiânia;INDEPENDENTE;42420;2
150;GO;RIO VERDE;235.647;Cine A Rio Verde;CINE A;43022;3
151;GO;MINEIROS;66.801;Cine A Mineiros;CINE A;45032;3
152;MA;AÇAILÂNDIA;112.445;Mobi Cine Açailândia;MOBICINE;38237;3
153;MA;CAXIAS;164.880;Multicine Cinemas Caxias Shopping;MULTICINE;34495;5
154;MA;IMPERATRIZ;258.682;Cine Star (Tocantins Shopping);INDEPENDENTE;27466;3
155;MA;SÃO JOSÉ DE RIBAMAR;177.687;Centerplex Pátio Norte Shopping;CENTERPLEX;29562;6
156;MA;SÃO LUÍS;1.101.884;Cine Lume;INDEPENDENTE;24785;1
157;MA;SÃO LUÍS;1.101.884;Cinépolis São Luis Shopping;CINÉPOLIS;25195;10
158;MA;SÃO LUÍS;1.101.884;Kinoplex Golden;KINOPLEX;38261;4
159;MA;SÃO LUÍS;1.101.884;Moviecom Shopping Passeio;MOVIECOM SÃO PAULO;29852;4
160;MA;SÃO LUÍS;1.101.884;UCI Kinoplex Shopping da Ilha;UCI RIBEIRO;26215;8
161;MA;TIMON;169.107;Multicine Timón;MULTICINE;37675;4
162;MA;SÃO LUÍS;1.101.884;Cinesystem Rio Anil Shopping;CINESYSTEM;41700;6
163;MA;IMPERATRIZ;258.682;Cinesystem Imperial Shopping;CINESYSTEM;41701;5
164;MA;BALSAS;94.887;Cine Lume Balsas;INDEPENDENTE;44124;2
165;MG;ARAXÁ;106.229;Cinemais Araxá;CINEMAIS;29536;2
166;MG;ARCOS;40.092;Josué´s Cine Arcos;JOSUE'S CINE;17778;2
167;MG;BARBACENA;137.313;Cine Teatro Barbacena;INDEPENDENTE;6626;2
168;MG;BELO HORIZONTE;2.512.070;Cine TJ;INDEPENDENTE;16188;6
169;MG;BELO HORIZONTE;2.512.070;Cineart Boulevard Shopping;CINEART;17944;6
170;MG;BELO HORIZONTE;2.512.070;Cineart Minas Shopping;CINEART;20427;6
171;MG;BELO HORIZONTE;2.512.070;Cineart Shopping Cidade;CINEART;438;8
172;MG;BELO HORIZONTE;2.512.070;Cineart Shopping Del Rey;CINEART;6589;7
173;MG;BELO HORIZONTE;2.512.070;Cineart Shopping Paragem;CINEART;26527;5
174;MG;BELO HORIZONTE;2.512.070;Cineart Viashopping;CINEART;1828;5
175;MG;BELO HORIZONTE;2.512.070;Cinema Belas Artes;ESPAÇO;27914;3
176;MG;BELO HORIZONTE;2.512.070;Cinemark BH Shopping;CINEMARK;27468;10
177;MG;BELO HORIZONTE;2.512.070;Cinemark Diamond Mall;CINEMARK;27429;6
178;MG;BELO HORIZONTE;2.512.070;Cinemark Pátio Savassi;CINEMARK;3086;8
179;MG;BELO HORIZONTE;2.512.070;Cinépolis Estação BH;CINÉPOLIS;22213;6
180;MG;BELO HORIZONTE;2.512.070;Cinesercla Norte;SERCLA;13920;4
181;MG;BELO HORIZONTE;2.512.070;Net Cineart Ponteio;CINEART;26528;4
182;MG;BETIM;439.340;Cineart Monte Carmo;CINEART;28616;6
183;MG;BETIM;439.340;Cinemark Partage Shopping Betim;CINEMARK;27397;7
184;MG;CAETÉ;44.718;Cine Teatro Caeté;INDEPENDENTE;33331;1
185;MG;CAMBUÍ;29.551;Cine Cambuí;INDEPENDENTE;6608;1
186;MG;CARATINGA;92.062;Cine Itaúna;INDEPENDENTE;39722;1
187;MG;CATAGUASES;75.123;AFA Cine Ritz Cataguases;AFA;31643;2
188;MG;CAXAMBU;21.656;Cineminas Caxambu;CINEMINAS;5650;1
189;MG;CONSELHEIRO LAFAIETE;128.589;AFA Cine Ritz Lafaiete;AFA;40591;1
190;MG;CONTAGEM;663.855;Cineart Itaúpower Shopping;CINEART;1829;6
