"""Listagem de Autorizações de Produções Audiovisuais no Brasil com Participação de Profissionais Estrangeiros - 2013""";;;;;;;;;;;
;;;;;;;;;;;
"""Número de Autorização de Origem""";Data da Aprovação;"""Número de Técnicos/
Artistas Estrangeiros""";"""Título da Obra""";"""Tipo de Obra""";"""Período Produção""";"""Empresa Brasileira""";"""UF""";"""Empresa Estrangeira""";"""País""";"""Produção""";"""Local de Filmagem (UF)"""
"""106""";02/05/2013;"""5""";"""SMALL WORLD""";"""Documentário""";"""14/05/2013 a 30/05/2013""";"""Neon Rio Ltda.""";"""RJ""";"""Dragonfly Film and Television Productions Ltd""";"""Reino Unido""";"""Estrangeira""";"""AL/SE"""
"""107""";02/05/2013;"""5""";"""ANIMAL ODD COUPLES""";"""Documentário""";"""12/05/2013 a 20/05/2013""";"""Neon Rio Ltda.""";"""RJ""";"""Oxford Scientific Films""";"""Reino Unido""";"""Estrangeira""";"""SC/SP"""
"""108""";03/05/2013;"""4""";"""AVON 2013""";"""Publicitária""";"""07/05/2013 a 16/05/2013""";"""Ricardo Gonçalves Produções Cinematográficas""";"""SP""";"""CDI Virtual Films Inc.""";"""EUA""";"""Estrangeira""";"""SP"""
"""109""";03/05/2013;"""4""";"""GLOBAL AMBASSADOR PROGRAM""";"""Documentário""";"""09/06/2013 a 18/06/2013""";"""Ricardo Gonçalves Produções Cinematográficas""";"""SP""";"""CDI Virtual Films Inc.""";"""EUA""";"""Estrangeira""";"""SP"""
"""110""";03/05/2013;"""2""";"""SHELL""";"""Institucional""";"""18/05/2013 a 26/05/2013""";"""Utopia Films Produção Artística Ltda.""";"""RJ""";"""Sweet Images""";"""Reino Unido""";"""Estrangeira""";"""RJ"""
"""111""";06/05/2013;"""6""";"""ULTRA-INFILTRAÇÃO! REAL SCOPE HIPER""";"""Documentário""";"""10/05/2013 A 17/05/2013""";"""Alfixit Produções Culturais e Artísticas Ltda.""";"""SP""";"""Nextep Inc""";"""Japão""";"""Estrangeira""";"""AM"""
"""112""";06/05/2013;"""7""";"""NOSSO PLANETA TERRA""";"""Documentário""";"""01/06/2013 a 15/06/2013""";"""Urutau Filmes Ltda.""";"""SP""";"""Shun Limited""";"""Japão""";"""Estrangeira""";"""MA"""
"""113""";06/05/2013;"""13""";"""MONSTROS DOS RIOS - PARTE I""";"""Documentário""";"""15/05/2013 a 31/10/2013""";"""Neon Rio Ltda.""";"""RJ""";"""Icon Films""";"""Reino Unido""";"""Estrangeira""";"""AM/MS/PA/SP"""
"""114""";07/05/2013;"""2""";"""FIGHTING FOR PEACE""";"""Documentário""";"""23/05/2013 a 13/08/2013""";"""Brian M. Sewell Produções Cinematográficas""";"""RJ""";"""Red Rebel Films""";"""Holanda""";"""Estrangeira""";"""RJ"""
"""115""";07/05/2013;"""2""";"""OS SEGREDOS E A HISTÓRIA DO CAFÉ BRASILEIRO""";"""Documentário""";"""01/06/2013 a 08/06/2013""";"""BDT Planejamento e Comunicação Ltda.""";"""SP""";"""Vividjam Inc""";"""Japão""";"""Estrangeira""";"""MG/SP"""
"""116""";07/05/2013;"""5""";"""BABYSELLERS""";"""Ficção""";"""05/06/2013 a 06/06/2013""";"""Márcio Elísio Carneiro Câmara""";"""CE""";"""Trafficker Productions Inc""";"""Canadá""";"""Estrangeira""";"""RJ"""
"""117""";09/05/2013;"""1""";"""PALMOLIVE ARGAN OIL""";"""Publicitária""";"""20/05/2013 a 22/05/2013""";"""Conspiração Filmes S.A.""";"""RJ""";""" -""";""" -""";"""Brasileira""";"""RJ"""
"""118""";09/05/2013;"""1""";"""FAMILY PORTRAIT""";"""Publicitária""";"""13/05/2013 a 26/05/2013""";"""Planeta Film Ltda.""";"""SP""";"""Station Film""";"""EUA""";"""Estrangeira""";"""PR"""
"""119""";10/05/2013;"""2""";"""REAL SCOPE""";"""Documentário""";"""16/05/2013 a 31/05/2013""";"""Town Network Filmagens Ltda""";"""SP""";"""Nextep TV Workshop Co. Ltd.""";"""Japão""";"""Estrangeira""";"""AM/MT/PA/TO"""
"""120""";10/05/2013;"""1""";"""RAPEL / CORTADOR DE GRAMA""";"""Publicitária""";"""13/05/2013 a 20/05/2013""";"""Paranoid Brasil Ltda.""";"""SP""";""" -""";""" -""";"""Brasileira""";"""SP"""
"""121""";16/05/2013;"""5""";"""HOMUKAMI (HOME COMING JOURNEY)""";"""Documentário""";"""27/05/2013 a 10/06/2013""";"""Cabeça Amarela Videomaker Produtora de Vídeo e Fotos Eireli""";"""SP""";"""TV Man Union, Inc.""";"""Japão""";"""Estrangeira""";"""AM"""
"""122""";20/05/2013;"""10""";"""KISEKI NO ZEKKEI MYSTERY SPECIAL (MIRACULOUS GREAT-VIEW OF THE WORLD SPECIAL)""";"""Documentário""";"""11/06/2013 a 29/06/2013""";"""Fundação Fórmula Cultural""";"""SP""";"""Tokyo Broadcasting System Television, Inc""";"""Japão""";"""Estrangeira""";"""MA"""
"""123""";20/05/2013;"""4""";"""MISTER MAKER AROUND THE WORLD""";"""Documentário""";"""08/06/2013 a 17/06/2013""";"""FSR Produções Artísticas Ltda.""";"""RJ""";"""The Foundation Television Productions Ltd""";"""Reino Unido""";"""Estrangeira""";"""RJ"""
"""124""";20/05/2013;"""7""";"""A CIDADE MAIS SELVAGEM DO MUNDO - THE WORLD'S WILDEST CITY""";"""Documentário""";"""05/06/2013 a 02/09/2013""";"""Marca D'Água Produções Ltda """;"""SP""";"""Off the Fence Productions Limited""";"""Reino Unido""";"""Estrangeira""";"""AM"""
"""125""";21/05/2013;"""1""";"""UNBELIEVABLE - INCRAEDITÁVEL""";"""Documentário""";"""24/05/2013 a 04/06/2013""";"""Xes Projetos Visuais Ltda.""";"""SP""";"""East Entertainment""";"""Japão""";"""Estrangeira""";"""PA"""
"""126""";21/05/2013;"""2""";"""MOINMOIN, RONALDINHO - HAMBURG AND THE BRAZILIAN FOOTBALL""";"""Documentário""";"""30/05/2013 a 04/06/2013""";"""Sol Entertainment Ltda.""";"""RJ""";"""dmfilm and tv produktion GmbH & Co KG""";"""Alemanha""";"""Estrangeira""";"""SP"""
"""127""";22/05/2013;"""1""";"""SONNE, SAMBA UND WM - BRASILIEN AUF DEM SPRUNG ZUR WELTMACHT""";"""Documentário""";"""07/06/2013 a 21/06/2013""";"""Aura Filme Produções Ltda.""";"""RJ""";"""ZDF Zweites Deutsche Fernsehen""";"""Alemanha""";"""Estrangeira""";"""BA/RJ"""
"""128""";22/05/2013;"""4""";"""FILMAGEM DE COBERTURA DAS CIDADES-SEDE DA COPA DAS CONFEDERAÇÕES""";"""Documentário""";"""24/05/2013 a 03/07/2013""";"""FSR Produções Artísticas Ltda.""";"""RJ""";"""The BBC Television Ltd""";"""Reino Unido""";"""Estrangeira""";"""BA/CE/DF/MG/PE/RJ"""
"""129""";24/05/2013;"""2""";"""ON THE ROAD: BRAZIL""";"""Institucional""";"""01/06/2013 a 14/06/2013""";"""Francisco Ferreira Pinto Filho""";"""AM""";"""CNN""";"""EUA""";"""Estrangeira""";"""AM/RJ"""
"""130""";27/05/2013;"""4""";"""ADIDAS NITRO CHARGER""";"""Publicitária""";"""08/06/2013 a 12/06/2013""";"""Cinema Contagio Produção Audiovisual""";"""RJ""";"""DHP Studios""";"""Reino Unido""";"""Estrangeira""";"""RJ"""
"""131""";28/05/2013;"""3""";"""NIKE BNT""";"""Publicitária""";"""26/05/2013 a 10/06/2013""";"""Sweet Produções Ltda""";"""SP""";"""Manamedia Ltd""";"""EUA""";"""Estrangeira""";"""SP"""
"""132""";28/05/2013;"""4""";"""JOKO UND KLAAS""";"""Reportagem""";"""16/06/2013 a 20/06/2013""";"""Aura Filme Produções Ltda.""";"""RJ""";"""Endemol Deutschland GmbH""";"""Alemanha""";"""Estrangeira""";"""RJ"""
"""133""";29/05/2013;"""4""";"""ADIDAS NITRO CHARGER""";"""Publicitária""";"""07/06/2013 a 12/06/2013""";"""Cinema Contagio Produção Audiovisual""";"""RJ""";"""The Odyssey Media Collective""";"""Reino Unido""";"""Estrangeira""";"""RJ"""
"""134""";29/05/2013;"""7""";"""THE BALL""";"""Documentário""";"""15/02/2014 A 27/02/2014""";"""Goritzia Filmes Ltda""";"""RJ""";"""One Productions Inc""";"""EUA""";"""Estrangeira""";"""RJ"""
"""135""";31/05/2013;"""11""";"""UNTITLED CAR PROJECT""";"""Documentário""";"""25/06/2013 a 15/07/2013""";"""Neon Rio Ltda.""";"""RJ""";"""6565 Productions Stdio, LLC""";"""EUA""";"""Estrangeira""";"""RJ/SP"""
"""136""";31/05/2013;"""4""";"""FOOTBALL MATCH IN BRAZIL""";"""Publicitária""";"""03/06/2013 a 15/06/2013""";"""JKR Produções Artísticas Ltda.""";"""RJ""";"""Productora Imaginaria S.A. de C.V.""";"""México""";"""Estrangeira""";"""RJ"""
"""137""";31/05/2013;"""3""";"""SEKAI NO VIRTUAL BUNKA CENTER""";"""Documentário""";"""29/06/2013 a 15/07/2013""";"""Urutau Filmes Ltda.""";"""SP""";"""Nexus Inc""";"""Japão""";"""Estrangeira""";"""SP"""
"""138""";04/06/2013;"""5""";"""ANDY BATES BRAZILIAN STREET FEASTS""";"""Documentário""";"""13/06/2013 a 25/07/2013""";"""Neon Rio Ltda.""";"""RJ""";"""Sweet TV Ltd""";"""Reino Unido""";"""Estrangeira""";"""AM/BA/MG/RJ/ SP"""
"""139""";05/06/2013;"""9""";"""ENDURANCE E EVERY HIT""";"""Publicitária""";"""25/06/2013 a 05/07/2013""";"""Planeta Film Ltda.""";"""SP""";"""Serial Pictures LLC""";"""EUA""";"""Estrangeira""";"""RJ"""
"""140""";06/06/2013;"""2""";"""VISA BARBER""";"""Publicitária""";"""07/06/2013 a 20/06/2013""";"""Paranoid Brasil Ltda.""";"""SP""";""" -""";""" -""";"""Estrangeira** """;"""SP"""
"""141""";06/06/2013;"""2""";"""BRAZIL ORANGE / LARANJA BRASILEIRA""";"""Reportagem""";"""27/06/2013 a 05/07/2013""";"""Sol Entertainment Ltda.""";"""RJ""";"""Association od Conscious Consumers""";"""Hungria""";"""Estrangeira""";"""SP"""
"""142""";06/06/2013;"""7""";"""SKYPE""";"""Documentário""";"""14/06/2013 a 18/06/2013""";"""Cara de Cão Produções Ltda""";"""RJ""";"""World Famous""";"""EUA""";"""Estrangeira""";"""RJ"""
"""143""";07/06/2013;"""4""";"""SAMBA PROJECT""";"""Publicitária""";"""16/06/2013 a 15/07/2013""";"""JKR Produções Artísticas Ltda.""";"""RJ""";"""Wanda Productions""";"""França""";"""Estrangeira""";"""RJ"""
"""144""";07/06/2013;"""1""";"""ANGLO AMERICAN""";"""Institucional""";"""28/06/2013 a 08/07/2013""";"""Utopia Films Produção Artística Ltda.""";"""RJ""";"""Merchant Cantos""";"""Reino Unido""";"""Estrangeira""";"""RJ"""
"""145""";10/06/2013;"""1""";"""PANTENE CORE HYDRO""";"""Publicitária""";"""12/06/2013 a 18/06/2013""";"""Paranoid Brasil Ltda.""";"""SP""";""" -""";""" -""";"""Brasileira""";"""SP"""
"""146""";11/06/2013;"""15""";"""SHOW ME WHAT YOUR OF""";"""Documentário""";"""17/06/2013 a 20/08/2013""";"""Francisco Ferreira Pinto Filho""";"""AM""";"""Watershed Television""";"""Reino Unido""";"""Estrangeira""";"""AM/BA/MS/PI/ RN/RS/SP"""
"""147""";11/06/2013;"""2""";"""VERMIST""";"""Documentário""";"""25/06/2013 a 02/07/2013""";"""Mares Produções Ltda""";"""RJ""";"""Tros Broadcasting Company""";"""Holanda""";"""Estrangeira""";"""SP"""
"""148""";11/06/2013;"""5""";"""CITI ENTERPRISE""";"""Publicitária""";"""17/06/2013 a 05/07/2013""";"""Zohar Cinema e Comunicação Ltda.""";"""RJ""";"""Radical Media""";"""EUA""";"""Estrangeira""";"""SP"""
"""149""";12/06/2013;"""4""";"""COMERCIAL OWF""";"""Institucional""";"""01/07/2013 a 07/07/2013""";"""Elimar Produções Artísticas Ltda.""";"""RJ""";"""M3 Creative""";"""EUA""";"""Estrangeira""";"""SP"""
"""150""";12/06/2013;"""4""";"""VITAMINADOS - ALQUIMIA""";"""Publicitária""";"""15/06/2013 a 10/07/2013""";"""Zohar Cinema e Comunicação Ltda.""";"""RJ""";""" -""";""" -""";"""Brasileira""";"""RJ"""
"""151""";13/06/2013;"""1""";"""O CLUBE DOS BASTARDOS CEGOS""";"""Ficção""";"""13/06/2013 a 10/06/2014""";"""Urutau Filmes Ltda.""";"""SP""";"""Telephatic Pictures Inc.""";"""EUA""";"""Coprodução""";"""RJ"""
"""152""";13/06/2013;"""7""";"""MAKE B""";"""Publicitária""";"""17/06/2013 a 25/06/2013""";"""Zulu Filmes Ltda""";"""SP""";"""Look Filmes""";"""Reino Unido""";"""Brasileira""";"""SP"""
"""153""";18/06/2013;"""8""";"""THE MISSIONARIES""";"""Documentário""";"""25/06/2013 a 22/07/2013""";"""Sol Entertainment Ltda.""";"""RJ""";"""Constantin Entertainment GmbH""";"""Alemanha""";"""Estrangeira""";"""PE/RJ"""
"""154""";18/06/2013;"""3""";"""AROUND THE WORLD IN 50 CONCERTS""";"""Documentário""";"""21/06/2013 a 22/06/2013""";"""Ricardo Gonçalves Produções Cinematográficas""";"""SP""";"""Cobos Films""";"""Holanda""";"""Estrangeira""";"""SP"""
"""155""";24/06/2013;"""3""";"""RIBEIRINHOS""";"""Documentário""";"""14/07/2013 a 07/08/2013""";"""Neon Rio Ltda.""";"""RJ""";"""Rita Productions""";"""Suíça""";"""Estrangeira""";"""GO/PA/RR"""
"""156""";24/06/2013;"""4""";"""LIFE ON EARTH""";"""Documentário""";"""01/07/2013 a 28/07/2013""";"""Neon Rio Ltda.""";"""RJ""";"""Terra Mater Factual Studios GmbH""";"""Áustria""";"""Estrangeira""";"""RR"""
"""157""";25/06/2013;"""5""";"""LAUNCHING PEOPLE""";"""Publicitária""";"""07/07/2013 a 22/07/2013""";"""Ocean Produção de Filmes Ltda""";"""SC""";"""Pulse""";"""Reino Unido""";"""Estrangeira""";"""AM"""
"""158""";25/06/2013;"""9""";"""INFERNO""";"""Ficção""";"""04/07/2013 a 04/08/2013""";"""Querosene Produções Artísticas e Cinematográficas Ltda """;"""SP""";"""My-I Productions""";"""Israel""";"""Estrangeira""";"""SP"""
"""159""";26/06/2013;"""7""";"""JAPÃO DO OUTRO LADO DO MUNDO""";"""Documentário""";"""05/07/2013 a 14/07/2013""";"""Giras Produções Ltda""";"""SP""";"""FBS - Fukuoka Braodcasting System Corporation""";"""Japão""";"""Estrangeira""";"""SP"""
"""160""";26/06/2013;"""4""";"""DER GROSSIE TEICH""";"""Documentário""";"""03/07/2013 a 10/07/2013""";"""Aura Filme Produções Ltda.""";"""RJ""";"""ZDF Zweites Deutsche Fernsehen""";"""Alemanha""";"""Estrangeira""";"""PE/RJ/SP"""
"""161""";01/07/2013;"""9""";"""ROCK RAIDERS""";"""Documentário""";"""04/07/2013 a 26/07/2013""";"""FSR Produções Artísticas Ltda.""";"""RJ""";"""Double Act Productions Ltd""";"""Reino Unido""";"""Estrangeira""";"""MG/RJ"""
"""162""";02/07/2013;"""2""";"""UFC ON FOX 8 FEATURES""";"""Documentário""";"""08/07/2013 a 12/07/2013""";"""Brian M. Sewell Produções Cinematográficas""";"""RJ""";"""PositiveImage Video, Inc""";"""EUA""";"""Estrangeira""";"""RJ"""
"""163""";04/07/2013;"""2""";"""HUMAN""";"""Documentário""";"""08/07/2013 a 22/07/2013""";"""Bonfilm Produção e Distribuição Audiovisual Ltda""";"""RJ""";"""Humankind Production""";"""França""";"""Estrangeira""";"""RJ"""
"""164""";05/07/2013;"""3""";"""DIE STERNSINGER - 60 JAHRE UNTERWEGS FÜR EINE BESSERE WELT""";"""Documentário""";"""05/11/2013 a 19/11/2013""";"""Brian M. Sewell Produções Cinematográficas""";"""RJ""";"""ORF Steiermark""";"""Áustria""";"""Estrangeira""";"""PE"""
"""165""";05/07/2013;"""4""";"""HANA GA SAKU SPECIAL - OUTONO 2013""";"""Documentário""";"""16/07/2013 a 27/07/2013""";"""Town Network Filmagens Ltda""";"""SP""";"""NEP - NHK Enterprises, Inc""";"""Japão""";"""Estrangeira""";"""SP"""
"""166""";05/07/2013;"""4""";"""SEKAI FUREAI MACHIARUKI""";"""Documentário""";"""30/07/2013 a 30/09/2013""";"""Town Network Filmagens Ltda""";"""SP""";"""Azmax Co. Ltd""";"""Japão""";"""Estrangeira""";"""BA/RJ"""
"""167""";08/07/2013;"""24""";"""PELE""";"""Ficção""";"""13/08/2013 a 20/12/2013""";"""Zohar Cinema e Comunicação Ltda.""";"""RJ""";"""Dico Filme LLC""";"""EUA""";"""Estrangeira""";"""RJ"""
"""168""";08/07/2013;"""2""";"""NEYMAR, O GRANDE TALENTO DO FUTEBOL BRASILEIRO""";"""Documentário""";"""18/07/2013 a 23/07/2013""";"""Urutau Filmes Ltda.""";"""SP""";"""Panasonic Visuals Co., Ltd""";"""Japão""";"""Estrangeira""";"""SP"""
"""169""";09/07/2013;"""2""";"""CAFÉ BOSS""";"""Publicitária""";"""16/07/2013 a 21/07/2013""";"""Xes Projetos Visuais Ltda.""";"""SP""";"""Geek Pictures Inc""";"""Japão""";"""Estrangeira""";"""SP"""
"""170""";09/07/2013;"""1""";"""RIVER DOLPHINS""";"""Documentário""";"""21/07/2013 a 24/07/2013""";"""Sol Entertainment Ltda.""";"""RJ""";"""WWF Germany""";"""Alemanha""";"""Estrangeira""";"""AM"""
"""171""";12/07/2013;"""2""";"""ÓRFÃOS DO ELDORADO""";"""Ficção""";"""10/08/2013 a 05/10/2013""";"""Matizar Produções Artísticas Ltda""";"""RJ""";""" -""";""" -""";"""Brasileira""";"""AM/PA"""
"""172""";16/07/2013;"""2""";"""HIDDEN KINGDOMS""";"""Documentário""";"""19/07/2013 a 29/07/2013""";"""Neon Rio Ltda.""";"""RJ""";"""British Broadcasting Corporation (BBC)""";"""Reino Unido""";"""Estrangeira""";"""RJ"""
"""173""";16/07/2013;"""2""";"""THE CLASH OF THE COLLECTORS""";"""Documentário""";"""22/07/2013 a 09/08/2013""";"""Neon Rio Ltda.""";"""RJ""";"""Firecracker Films""";"""Reino Unido""";"""Estrangeira""";"""SP"""
"""174""";16/07/2013;"""5""";"""XENIUS BRASILIEN""";"""Documentário""";"""23/07/2013 a 15/08/2013""";"""Aura Filme Produções Ltda.""";"""RJ""";"""Bilderfest GmbH""";"""Alemanha""";"""Estrangeira""";"""AM/DF/MG/SP"""
"""175""";17/07/2013;"""7""";"""EVERY DAY MATTERS""";"""Publicitária""";"""20/08/2013 a 05/09/2013""";"""Ocean Produção de Filmes Ltda""";"""SC""";"""Caviar Content""";"""EUA""";"""Estrangeira""";"""RJ"""
"""176""";18/07/2013;"""3""";"""UNBEATABLE""";"""Game show""";"""27/07/2013 a 30/07/2013""";"""Aura Filme Produções Ltda.""";"""RJ""";"""Endemol Deutschland GmbH""";"""Alemanha""";"""Estrangeira""";"""RS"""
"""177""";19/07/2013;"""5""";"""HONO NO TAIKU KAI TV - DESAFIO ESPORTIVO""";"""Documentário""";"""25/07/2013 a 31/07/2013""";"""Xes Projetos Visuais Ltda.""";"""SP""";"""Tokyo Broadcasting System, Inc""";"""Japão""";"""Estrangeira""";"""SP"""
"""178""";19/07/2013;"""3""";"""INSPIRATION ROAD""";"""Documentário""";"""31/07/2013 a 30/08/2013""";"""Neon Rio Ltda.""";"""RJ""";"""Pro Intel S.L.""";"""Espanha""";"""Estrangeira""";"""AM"""
"""179""";19/07/2013;"""2""";"""FESTCINEAMAZONIA ITINERANTE NO VALE DO GUAPORÉ""";"""Documentário""";"""01/08/2013 a 31/08/2013""";"""Francisco Ferreira Pinto Filho""";"""AM""";"""HibriD Pictures Unipessoal Limitada.""";"""Portugal""";"""Estrangeira""";"""RO"""
"""180""";24/07/2013;"""2""";"""SHARE THE PULSE""";"""Institucional""";"""31/07/2013 a 06/08/2013""";"""Xes Projetos Visuais Ltda.""";"""SP""";"""Engine Film, Inc""";"""Japão""";"""Estrangeira""";"""RJ"""
"""181""";24/07/2013;"""21""";"""RIO, EU TE AMO""";"""Ficção""";"""01/08/2013 a 20/02/2014""";"""Conspiração Filmes Entretenimento 3 Milênio Ltda""";"""RJ""";""" -""";""" -""";"""Brasileira""";"""RJ"""
"""182""";29/07/2013;"""2""";"""LOBO GUARÁ""";"""Documentário""";"""06/09/2013 a 08/10/2013""";"""Tambke Filmes Ltda""";"""RJ""";"""Bayerischer Rundfunk - Udo Zimmermann""";"""Alemanha""";"""Estrangeira""";"""MG/PR/SP"""
"""183""";01/08/2013;"""4""";"""SOARIN AROUND THE WORLD""";"""Documentário""";"""09/09/2013 a 15/09/2013""";"""Francisco Ramalho Junior Filmes (Ramalho Filmes)""";"""SP""";"""CDI Virtual Films, Inc""";"""EUA""";"""Estrangeira""";"""PR"""
"""184""";01/08/2013;"""3""";"""LIFESTYLE""";"""Publicitária""";"""14/08/2013 a 20/08/2013""";"""Caipirinha Filmes e Produções Ltda """;"""RJ""";"""Ink & Oranges, Inc""";"""EUA""";"""Estrangeira""";"""RJ"""
"""185""";01/08/2013;"""2""";"""A IMPLANTAÇÃO DE TECNOLOGIA VISANDO O FUTURO""";"""Publicitária""";"""10/08/2013 a 18/08/2013""";"""BDT Planejamento e Comunicação Ltda.""";"""SP""";"""AOI PRO.INC.""";"""Japão""";"""Estrangeira""";"""PE"""
"""186""";01/08/2013;"""3""";"""DUAL SURVIVAL BRASIL""";"""Documentário""";"""10/08/2013 a 20/12/2013""";"""Radar Cinema e Televisão Ltda""";"""SP""";"""Cronos Pictures AS de CV""";"""México""";"""Brasileira""";"""AM/BA/PE/PA/PR/PI"""
"""187""";01/08/2013;"""8""";"""QUEST: THE MOVIE""";"""Documentário""";"""08/10/2013 a 15/12/2013""";"""Neon Rio Ltda.""";"""RJ""";"""Quest Unlimited Ltd""";"""Reino Unido""";"""Estrangeira""";"""AM/PA/RO"""
"""188""";05/08/2013;"""3""";"""GALILEO""";"""Documentário""";"""17/08/2013 a 23/08/2013 """;"""Aura Filme Produções Ltda.""";"""RJ""";"""Maximus Film GmbH""";"""Alemanha""";"""Estrangeira""";"""AM/CE/RJ"""
"""189""";05/08/2013;"""1""";"""EXEMPLO DE MÃE""";"""Publicitária""";"""09/08/2013 a  05/09/2013""";"""Paranoid Brasil Ltda.""";"""SP""";""" -""";""" -""";"""Estrangeira**""";"""SP"""
"""190""";08/08/2013;"""2""";"""TRASH""";"""Ficção""";"""02/09/2013 a 21/09/2013""";"""O2 Produções Artísticas e Cinematográficas Ltda.""";"""SP""";"""Universal Pictures Productions GmbH / Favela Films""";"""Alemanha / Reino Unido""";"""Coprodução""";"""RJ"""
"""191""";08/08/2013;"""3""";"""DIE SCHÖNSTEN WEIHNACHTSHITS""";"""Documentário""";"""19/08/2013 a 29/08/2013""";"""Aura Filme Produções Ltda.""";"""RJ""";"""Roman Farkas Filmproduktion""";"""Alemanha""";"""Estrangeira""";"""RJ"""
"""192""";13/08/2013;"""2""";"""SPACESHIP EARTH - ESPAÇONAVE TERRA""";"""Documentário""";"""26/08/2013 a 23/09/2013""";"""Xes Projetos Visuais Ltda.""";"""SP""";"""Kin Limited Liability Company""";"""Japão""";"""Estrangeira""";"""DF/PA/RJ/SP"""
"""193""";13/08/2013;"""2""";"""THE HUNT""";"""Documentário""";"""01/10/2013 a 30/10/2013""";"""Neon Rio Ltda.""";"""RJ""";"""Hunter Films""";"""Reino Unido""";"""Estrangeira""";"""GO"""
"""194""";14/08/2013;"""3""";"""THE WORLD HERITAGE""";"""Documentário""";"""25/09/2013 a 10/10/2013""";"""Urutau Filmes Ltda.""";"""SP""";"""TBS Vision, Inc""";"""Japão""";"""Estrangeira""";"""PE"""
"""195""";14/08/2013;"""12""";"""BELMONTE""";"""Novela""";"""15/08/2013 a 15/09/2013""";"""Urca Filmes""";"""RJ""";"""Plural Entertainment Portugal S.A.""";"""Portugal""";"""Estrangeira""";"""MS"""
"""196""";16/08/2013;"""4""";"""MAGICULOUS RIO""";"""Programa de variedades""";"""25/09/2013 a 25/10/2013""";"""Nóis Trêis Promoções e Eventos""";"""RJ""";"""Charis Entertainment""";"""China""";"""Estrangeira""";"""RJ"""
"""197""";19/08/2013;"""3""";"""I BOUGHT A RAINFOREST""";"""Documentário""";"""29/08/2013 a 10/09/2013""";"""Neon Rio Ltda.""";"""RJ""";"""Keo Films""";"""Reino Unido""";"""Estrangeira""";"""AC"""
"""198""";19/08/2013;"""5""";"""JAPONESES QUE VIVEM EM TERRAS DISTANTES""";"""Documentário""";"""25/08/2013 a 10/09/2013""";"""Urutau Filmes Ltda.""";"""SP""";"""Wave Inc.""";"""Japão""";"""Estrangeira""";"""PR/SP"""
"""199""";20/08/2013;"""2""";"""ENERGIA HUMANA - UMA JORNADA DE 9000 KM ATRAVÉS DO BRASIL POR BARCOS, BOTAS E BIKES""";"""Documentário""";"""15/09/2013 a 17/03/2015""";"""Aventuras Produções e Edições Educativas Ltda.""";"""SP""";"""Skeeto Lounge Productions Limited""";"""Reino Unido""";"""Coprodução""";"""Todo Brasil"""
"""200""";20/08/2013;"""5""";"""ROAD THROUGH THE RAINFOREST""";"""Documentário""";"""08/09/2013 a 05/10/2013""";"""Francisco Ferreira Pinto Filho""";"""AM""";"""Indus Films Ltd""";"""Reino Unido""";"""Estrangeira""";"""AM/PA"""
"""201*""";20/08/2013;"""12""";"""LOVE ACROSS THE SEA""";"""Ficção""";"""01/09/2013 a 20/09/2013""";"""Utopia Films Produção Artística Ltda.""";"""RJ""";"""G Him Films Production""";"""Índia""";"""Estrangeira""";"""RJ"""
"""202""";21/08/2013;"""3""";"""PARIS BEAUTY IN RIO""";"""Publicitária""";"""02/09/2013 a 05/09/2013""";"""Focus Films Ltda""";"""RJ""";"""Alaska Filmes Ltda""";"""Chile""";"""Estrangeira""";"""RJ"""
"""203""";22/08/2013;"""2""";"""DRUCKFRISCH""";"""Documentário""";"""02/09/2013 a 12/09/2013""";"""Sol Entertainment Ltda.""";"""RJ""";"""TMC Production""";"""Alemanha""";"""Estrangeira""";"""RJ/SP"""
"""204""";22/08/2013;"""4""";"""FILHO PILOTO""";"""Publicitária""";"""02/09/2013 a 30/09/2013""";"""Planeta Film Ltda.""";"""SP""";"""Smuggler""";"""EUA""";"""Estrangeira""";"""SP"""
"""205""";22/08/2013;"""1""";"""GRUPPO MG""";"""Institucional""";"""28/08/2013 a 30/08/2013""";"""Utopia Films Produção Artística Ltda.""";"""RJ""";"""Merchant Cantos""";"""Reino Unido""";"""Estrangeira""";"""PE"""
"""206""";23/08/2013;"""5""";"""DEADLY POLE TO POLE""";"""Documentário""";"""01/09/2013 a 11/09/2013""";"""Neon Rio Ltda.""";"""RJ""";"""British Broadcasting Corporation (BBC)""";"""Reino Unido""";"""Estrangeira""";"""MT"""
"""207""";26/08/2013;"""1""";"""FAT INK""";"""Institucional""";"""29/08/2013 a 03/09/2013""";"""Utopia Films Produção Artística Ltda.""";"""RJ""";"""Cinema Campesinos""";"""Reino Unido""";"""Estrangeira""";"""RJ"""
"""208""";26/08/2013;"""1""";"""COCA-COLA FIFA""";"""Publicitária""";"""06/09/2013 a 16/09/2013""";"""Ocean Produção de Filmes Ltda""";"""SC""";"""Paranoid""";"""EUA""";"""Estrangeira""";"""RJ"""
"""209""";28/08/2013;"""3""";"""WUNDER WELTEN""";"""Documentário""";"""11/09/2013 a 26/09/2013""";"""Aura Filme Produções Ltda.""";"""RJ""";"""Leonardo Film GmbH""";"""Alemanha""";"""Estrangeira""";"""AM/PA"""
