Listagem de Filmes Brasileiros e Estrangeiros Lançados - 2009 a 2019;;;;;;;;;;;;
;;;;;;;;;;;;
Ano de Lançamento;Título da obra;CPB/ROE;Gênero;País(es) produtor(es) da obra;Nacionalidade da obra;Data de lançamento;Empresa distribuidora;Origem da empresa distribuidora;Salas no Lançamento;Máximo de Salas Ocupadas;Público acumulado;Renda (R$) acumulada
2009;O Contador de Histórias;B0901029800000;Ficção;Brasil;Brasileira;07/08/2009;Warner;Distribuição Internacional;93;93;151.927;1.118.268,00
2009;O Diário de Sintra;B0900971300000;Documentário;Brasil;Brasileira;11/12/2009;Moviemobz/RioFilme;Distribuição Nacional;3;3;1.066;9.350,00
2009;O Fim da Picada;B0800820600000;Ficção;Brasil;Brasileira;28/03/2009;Cinegrama;Distribuição Nacional;1;1;941;4.901,00
2009;O Grilo Feliz e os Insetos Gigantes;B0800964000000;Animação;Brasil;Brasileira;09/01/2009;Fox;Distribuição Internacional;122;122;370.466;1.952.806,17
2009;O Menino da Porteira;B0900987100000;Ficção;Brasil;Brasileira;06/03/2009;Sony;Distribuição Internacional;280;280;669.287;4.567.785,00
2009;O Milagre de Santa Luzia;B0901024100000;Documentário;Brasil;Brasileira;28/08/2009;Miração Filmes;Distribuição Nacional;6;8;6.099;42.103,75
2009;Os Normais 2;B0901061400000;Ficção;Brasil;Brasileira;28/08/2009;Imagem;Distribuição Nacional;433;433;2.202.640;18.978.259,88
2009;Ouro Negro;B0800891200000;Ficção;Brasil;Brasileira;11/12/2009;Pandora Filmes;Distribuição Nacional;4;4;3.709;16.473,10
2009;Palavra (En)Cantada;B0800917000000;Documentário;Brasil;Brasileira;13/03/2009;Filmes do Estação;Distribuição Nacional;9;12;32.464;261.289,89
2009;Patativa do Assaré - Ave Poesia;B0800925600000;Documentário;Brasil;Brasileira;02/03/2009;Sereia Filmes;Distribuição Nacional;4;4;2.723;15.193,15
2009;Paulo Gracindo - O Bem amado;B0800827400000;Documentário;Brasil;Brasileira;01/05/2009;Filmes do Estação;Distribuição Nacional;4;8;8.968;75.275,30
