Listagem de Complexos de Exibição por Município e UF - 2017;;;;;;;
;;;;;;;
#;UF;Município;População*;Nome Complexo ;Grupo ANCINE;Registro Ancine do Complexo;Número de Salas
89;DF;BRASÍLIA;3.039.444;Multicine Santa Maria Shopping;MULTICINE;30733;6
90;ES;ARACRUZ;98.393;AFA Cine Ritz Aracruz;AFA;32422;2
91;ES;CACHOEIRO DE ITAPEMIRIM;211.649;AFA Cine Ritz Perim Center;AFA;35405;3
92;ES;CACHOEIRO DE ITAPEMIRIM;211.649;AFA Cine Ritz Sul (Cachoeiro);AFA;17321;4
93;ES;CARIACICA;387.368;Cinépolis Moxuara;CINÉPOLIS;25961;5
94;ES;COLATINA;124.525;Cine Gama - Colatina;INDEPENDENTE;11818;2
95;ES;GUARAPARI;123.166;AFA Cine Ritz Guarapari;AFA;6638;3
96;ES;LINHARES;169.048;AFA Cine Ritz Conceição;INDEPENDENTE;19579;3
97;ES;LINHARES;169.048;Cinesercla PátioMix Linhares;LB CINEMAS;24667;4
98;ES;MARATAÍZES;38.670;AFA Cine Via Sul (Marataízes);INDEPENDENTE;27043;1
99;ES;PIÚMA;21.336;AFA Cine Ritz Piúma;AFA;29419;1
100;ES;SÃO MATEUS;128.449;AFA Cine São Mateus;AFA;24026;1
101;ES;SERRA;502.618;ARAÚJO Multiplex Shopping Mestre Álvaro;ARAÚJO;20405;5
102;ES;SERRA;502.618;Cinesercla Shopping Montserrat;ADICINE;27434;5
103;ES;VILA VELHA;486.388;Cinemark Shopping Vila Velha;CINEMARK;30577;8
104;ES;VILA VELHA;486.388;Cinesystem Boulevard Shopping;CINESYSTEM;22547;6
105;ES;VILA VELHA;486.388;KINOPLEXPraia da Costa;KINOPLEX;27854;7
106;ES;VITÓRIA;363.140;Cine Jardins;INDEPENDENTE;12477;2
107;ES;VITÓRIA;363.140;Cinemagic Norte Sul;CINEMAGIC;24232;4
108;ES;VITÓRIA;363.140;Cinemark Shopping Vitória;CINEMARK;12975;8
109;GO;ÁGUAS LINDAS DE GOIÁS;195.810;Multicine Águas Lindas;MULTICINE;30737;4
110;GO;ANÁPOLIS;375.142;Cine Prime;INDEPENDENTE;14814;4
111;GO;ANÁPOLIS;375.142;Cinemais Anápolis;CINEMAIS;22800;5
112;GO;APARECIDA DE GOIÂNIA;542.090;Cineflix Aparecida Shopping;CINEFLIX;36838;5
113;GO;APARECIDA DE GOIÂNIA;542.090;Lumière Shopping Portal Sul;LUMIÈRE;37196;4
114;GO;APARECIDA DE GOIÂNIA;542.090;Moviecom Buriti;MOVIECOM SÃO PAULO;2893;6
115;GO;CALDAS NOVAS;84.900;Sétima Arte Cine Stadium Caldas;INDEPENDENTE;16521;2
116;GO;CATALÃO;102.393;Lumière Catalão Shopping;MAJESTIC;16701;3
117;GO;FORMOSA;115.789;Cine Premier Formosa;PREMIER;23500;1
118;GO;GOIÂNIA;1.466.105;Cine Cultura – Sala Eduardo Benfica;INDEPENDENTE;22867;1
119;GO;GOIÂNIA;1.466.105;Cine Ritz Goiânia;INDEPENDENTE;13287;2
120;GO;GOIÂNIA;1.466.105;Cinemark Flamboyant;CINEMARK;40181;8
121;GO;GOIÂNIA;1.466.105;Cinemark Passeio das Águas;CINEMARK;26040;7
122;GO;GOIÂNIA;1.466.105;Cinépolis Shopping Cerrado;CINÉPOLIS;32323;7
123;GO;GOIÂNIA;1.466.105;KINOPLEXGoiânia Shopping;KINOPLEX;2408;6
124;GO;GOIÂNIA;1.466.105;Lumière Araguaia Shopping;MAJESTIC;2654;5
125;GO;GOIÂNIA;1.466.105;Lumière Banana Shopping;LUMIÈRE;S/REG;5
126;GO;GOIÂNIA;1.466.105;Lumière Portal Shopping;LUMIÈRE;37198;3
127;GO;GOIÂNIA;1.466.105;Lumière Shopping Bougainville;MAJESTIC;16702;5
128;GO;GOIÂNIA;1.466.105;Multicine Shopping Cidade Jardim;MULTICINE;30736;3
129;GO;GOIATUBA;34.312;Sétima Arte Cine Goiatuba;INDEPENDENTE;16523;1
130;GO;ITUMBIARA;102.513;Cine Plaza Itumbiara;INDEPENDENTE;16470;3
131;GO;JATAÍ;98.128;Multicine Jatahy Shopping;MULTICINE;19793;3
132;GO;LUZIÂNIA;199.615;Lumière Luziânia Shopping;LUMIÈRE;37199;3
133;GO;MINEIROS;62.750;Multicine Ipê Shopping;MULTICINE;19792;3
134;GO;MORRINHOS;45.382;Cinemax;INDEPENDENTE;33993;1
135;GO;PLANALTINA;88.863;Cine Quelipe;INDEPENDENTE;23487;1
136;GO;RIO VERDE;217.048;Cineflix Buriti Shopping Rio Verde;CINEFLIX;27467;5
137;GO;RIO VERDE;217.048;Multicine Shopping Rio Verde;MULTICINE;5936;3
138;GO;VALPARAÍSO DE GOIÁS;159.500;Cineflix Shopping Sul;CINEFLIX;34628;6
139;GO;VALPARAÍSO DE GOIÁS;159.500;Multicine Shopping Sul;MULTICINE;6694;2
140;MA;AÇAILÂNDIA;111.339;Mobi Cine Açailândia;MOBICINE;38237;3
141;MA;BALSAS;94.779;Play Time;INDEPENDENTE;28756;2
