Listagem dos Filmes Brasileiros Lançados Comercialmente em Salas de Exibição com Valores Captados através de Mecanismos de Incentivo e Fundo Setorial do Audiovisual - 1995 a 2019;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
Ano de Lançamento;Certificado de Produto Brasileiro (CPB);Título;Direção;Gênero;Empresa Produtora Brasileira Majoritária;UF;Empresa Produtora Minoritária Brasileira;UF;Distribuidora;Máximo de Salas;Público;Renda (R$);Projeto de incentivo aprovado?;Art. 18;Art. 25;Art. 1º;Art. 1 º A;Art. 3º;Art. 3º A;Conversão da dívida;Art. 39;Funcines;FSA;Outras Fontes;Valor Total Captado/ Contratados(R$)
2012;B1201663500000;Cocoricó conta clássicos;Fernando Gomes;Ficção;TV Cultura;SP; -; -;Mobz;13;2.770;34.233,47;Não; - ; - ; - ; - ; - ; - ; - ; - ; - ; -; -; -
2012;B1201564400000;Constantino;Otavio Cury;Documentário;In Brasil Cultural/Outros Filmes;SP/SP; -; -;Outros Filmes Produções;1;472;2.933,50;Sim; - ; - ; - ;402.200,00; - ; - ; - ; - ; - ; -; -;402.200,00
2012;B1201613900000;Construção;Carolina Sá;Documentário;Doralice Filmes/Samba Filmes;RJ/RJ; -; -;Espaço Filmes;6;909;10.547,19;Sim; - ; - ; - ;200.000,00; - ; - ; - ; - ; - ; -; -;200.000,00
2012;B1201676700000;Contos Gauchescos;Henrique de Freitas Lima;Ficção;Cinematográfica Pampeana;RS; -; -;Empresa Cinematográfica Pampeana;6;970;8.524,81;Não; - ; - ; - ; - ; - ; - ; - ; - ; - ; -; -; -
2012;B1101524900000;Coração do samba;Theresa Jessouroun;Documentário;Kinofilmes;RJ;EBC TV Brasil/TV Zero Cinema;DF/RJ;Kinofilmes Produções;1;291;3.233,00;Sim; - ; - ; - ; - ; - ; - ; - ; - ; - ; -; -; -
2012;B1101420100000;Corações Sujos;Vicente Amorim;Ficção;Mixer Films;SP;Globo Filmes/Lereby;RJ/RJ;Downtown;35;42.297;452.177,72;Sim; - ; - ;1.750.000,00;1.879.349,00;105.236,25; - ; - ; - ;600.000,00; -;3.000.000,00;7.334.585,25
2012;B1201630700000;Curitiba Zero Grau;Eloi Pires Ferreira;Ficção;Camarada Filmes/Tigre Produções Cinematográficas;PR/PR; -; -;Tigre Produções Cinematográficas;8;19.674;47.125,51;Sim; - ; - ; - ;445.000,00; - ; - ; - ; - ; - ; -; -;445.000,00
2012;B1201676800000;De Pernas pro Ar 2;Roberto Santucci;Ficção;Morena Filmes;RJ;Globo Filmes/Marcelo Saback/Paulo Cursino;RJ/-/-;Downtown/Paris/RioFilme;718;4.846.273;50.312.134,36;Sim; - ; - ;200.000,00;630.000,00;2.000.000,00; - ; - ; - ; - ; -; -;2.830.000,00
2012;B1201541400000;Dia de Preto;Daniel Mattos/Marcial Renato/Marcos Felipe;Ficção;Maxie Demian;RJ;Cinerama Brasilis;RJ;Maxie Demian;6;283;2.015,00;Não; - ; - ; - ; - ; - ; - ; - ; - ; - ; -; -; -
2012;B1201686700000;Dino Cazzola – Uma filmografia de Brasília;Andrea Prates/Cleisson Vidal;Documentário;Terra Firme Produtora;SP; -; -;Terra Firme;3;548;5.776,00;Sim; - ; - ; - ;627.000,00; - ; - ; - ; - ; - ; -; -;627.000,00
2012;B1201652600000;Disparos;Juliana Reis;Ficção;Escrevendo & Filmes;RJ;Diversid´Arte Produções;RJ;H2O Films;16;5.255;49.491,55;Sim; - ; - ; - ;994.276,00;142.552,69; - ; - ; - ; - ; -;180.000,00;1.316.828,69
2012;B1101535300000;Dois coelhos;Afonso Poyart;Ficção;Black Maria;SP; -; -;Imagem;236;336.460;3.315.434,89;Sim; - ; - ; - ; - ; - ; - ; - ; - ; - ; -; -; -
2012;B1201586400000;E a Vida Continua;Paulo Figueiredo;Ficção;Verouvir Produções/Versátil Digital Filmes;SP/SP; -; -;Paris;139;370.842;3.880.872,74;Não; - ; - ; - ; - ; - ; - ; - ; - ; - ; -; -; -
2012;B1201586000000;E Aí, Comeu?;Felipe Joffily;Ficção;Casé Filmes;RJ; -; -;Downtown/Paris/RioFilme;514;2.578.599;26.078.324,43;Sim; - ; - ; - ; - ;750.000,00;250.000,00; - ; - ; - ; -;188.482,20;1.188.482,20
2012;B1201642000000;Era uma vez eu, Verônica;Marcelo Gomes;Ficção;Rec Produtores Associados;PE;Dezenove Som e Imagens;SP;Imovision;13;20.956;212.485,09;Sim; - ; - ;1.041.100,00;800.000,00; - ; - ; - ; - ; - ; -; -;1.841.100,00
2012;B1201682400000;Espia Só;Saturnino Rocha;Documentário;Guarujá Produções;RS; -; -;Ciclorama Filmes;4;322;1.692,00;Sim; - ; - ;557.630,00; - ; - ; - ; - ; - ; - ; -; -;557.630,00
2012;B1101528200000;Eu Receberia as Piores Notícias dos seus Lindos Lábios;Beto Brant/Renato Ciasca;Ficção;Drama Filmes;SP; -; -;Sony/RioFilme;32;47.366;538.578,75;Sim; - ; - ;1.448.250,00;1.066.226,90; - ; - ; - ; - ; - ; -;828.290,56;3.342.767,46
2012;B1201564700000;Expedicionários;Otavio Cury;Documentário;In Brasil Cultural/Outros Filmes;SP/SP; -; -;Outros Filmes Produções;2;104;546,5;Sim; - ; - ; - ;341.800,00; - ; - ; - ; - ; - ; -; -;341.800,00
2012;B1201573200000;Febre do Rato;Claudio Assis;Ficção;Belavista Cinema e Produção/Polo de Imagem;RJ/SP;Perdidas Ilusões/República Pureza Filmes;PE/RJ;Imovision;10;29.073;247.282,58;Sim; - ; - ;1.100,00;1.087.190,00; - ; - ; - ; - ; - ; -;1.569.052,07;2.657.342,07
2012;B1201646900000;Futuro do pretérito: Tropicalismo now!;Francisco Cesar Filho/Ninho Moraes;Documentário;Anhangabau Produções;SP;Ana de Oliveira; -;Vitrine Filmes;3;730;7.064,11;Sim; - ; - ; - ;600.000,00; - ; - ; - ; - ; - ; -; -;600.000,00
2012;B1201558400000;Girimunho;Clarissa Campolina/Helvécio Marins Jr.;Ficção;Anavilhana;MG;Dezenove Som e Imagens;SP;Vitrine Filmes;10;5.163;34.818,90;Sim; - ; - ; - ;890.000,00; - ; - ; - ; - ; - ; -; -;890.000,00
2012;B1201647100000;Gonzaga - De Pai para Filho;Breno Silveira;Ficção;Conspiração Filmes/D+Filmes;RJ/RJ;Globo Filmes/Guel Produtora;RJ/RJ;Downtown/Paris/RioFilme;407;1.460.494;14.654.783,80;Sim; - ; - ;1.700.000,00;1.975.000,00; - ; - ; - ; - ;3.000.000,00; -;12.000,00;6.687.000,00
2012;B1201553500000;Heleno;José Henrique Fonseca;Ficção;RT Features/Zola Filmes;SP/RJ; -; -;Downtown/RioFilme;64;91.798;1.009.429,37;Sim; - ; - ;1.099.647,60;1.129.606,00; - ; - ; - ; - ; - ; -;1.025.000,00;3.254.253,60
2012;B1101414400000;Histórias Que Só Existem Quando Lembradas;Julia Murat;Ficção;Taiga Filmes e Vídeo;RJ; -; -;Vitrine Filmes;6;8.824;81.755,73;Não; - ; - ; - ; - ; - ; - ; - ; - ; - ; -; -; -
2012;B0700792400000;Hotxuá;Gringo Cardia/Leticia Sabatella;Documentário;Pedra Corrida Produções;RJ; -; -;Caliban;4;4.493;40.278,50;Não; - ; - ; - ; - ; - ; - ; - ; - ; - ; -; -; -
2012;B1201543900000;Ibitipoca, droba pra lá;Felipe Scaldini;Documentário;Ferro Velho Filmes;MG; -; -;Lume Produções Cinematográficas;1;816;5.318,76;Não; - ; - ; - ; - ; - ; - ; - ; - ; - ; -; -; -
2012;B1201674600000;Infância Clandestina;Benjamin Ávila;Ficção;Academia de Filmes;SP; -; -;Imovision;17;32.908;379.217,12;Sim; - ; - ; - ; - ; - ; - ; - ; - ; - ; -; -; -
2012;B1201650700000;Luto em Luta;Pedro Serrano;Documentário;Like Filmes;SP; -; -;Like Filmes;ND;ND;ND;Não; - ; - ; - ; - ; - ; - ; - ; - ; - ; -; -; -
2012;B1001290000000;Luz nas Trevas - A Volta do Bandido da Luz Vermelha;Ícaro Martins/Helena Ignez;Ficção;Mercúrio Produções;SP;Canal Brasil;RJ;Mercúrio produções;10;9.489;42.378,90;Sim; - ; - ;100.390,00;988.550,29; - ; - ; - ; - ; - ; -;130.000,00;1.218.940,29
2012;B1101473200000;Mãe e Filha;Petrus Cariry;Ficção;Iluminura Filmes;CE; -; -;Lume Produções Cinematográficas;3;670;4.277,55;Não; - ; - ; - ; - ; - ; - ; - ; - ; - ; -; -; -
2012;B1201673600000;Marcelo Yuka no Caminho das Setas;Daniela Broitman;Documentário;Videoforum Filmes;SP; -; -;Tucumán;9;2.546;14.303,68;Sim; - ; - ; - ;600.000,00; - ; - ; - ; - ; - ; -; -;600.000,00
2012;B1201622800000;Marighella;Isa Grinspum Ferraz;Documentário;Texto & Imagem;SP;TC Filmes/Carlos Augusto Marighella;SP/-;Downtown;12;5.439;52.679,30;Sim; - ; - ;100.000,00;1.274.000,00; - ; - ; - ; - ; - ; -; -;1.374.000,00
2012;B1201616800000;Menos Que Nada;Carlos Gerbase;Ficção;Prana Filmes;RS; -; -;Prana Filmes;9;1.640;11.253,90;Sim; - ; - ;36.500,00;600.000,00; - ; - ; - ; - ; - ; -; -;636.500,00
2012;B1201663700000;Muito além do Peso;Estela Renner;Documentário;Maria Farinha Filmes;SP; -; -;Ideias Maria Farinha;10;2.744;29.153,99;Não; - ; - ; - ; - ; - ; - ; - ; - ; - ; -; -; -
2012;B1201589400000;Mulher à Tarde;Affonso Uchôa;Ficção;Affonso Uchôa;MG;88 Produções;MG;Affonso Uchôa;3;321;1.488,50;Não; - ; - ; - ; - ; - ; - ; - ; - ; - ; -; -; -
2012;B1201571900000;Na Estrada - On The Road;Walter Salles;Ficção;Videofilmes;RJ; -; -;Playarte;118;289.507;3.310.019,59;Não; - ; - ; - ; - ; - ; - ; - ; - ; - ; -; -; -
2012;B1101457200000;O Contestado – Restos Mortais;Sylvio Back;Documentário;Usina de Kyno;PR; -; -;Espaço Filmes;6;2.647;30.907,22;Sim; - ;293.878,90;476.000,00; - ; - ; - ; - ; - ; - ; -; -;769.878,90
2012;B1201628500000;O diário de Tati;Mauro Farias;Ficção;Bang Filmes;RJ;Globo Filmes/Vinny Filmes;RJ/SP;Vinny filmes;102;206.991;1.788.157,70;Sim; - ; - ;1.469.496,00;230.000,00;947.500,00; - ; - ; - ; - ; -; -;2.646.996,00
2012;B1101527800000;O Homem que não Dormia;Edgard Navarro;Ficção;Truque;BA; -; -;Pandora Filmes;6;4.047;30.791,34;Sim; - ; - ;360.000,00;640.000,00; - ; - ; - ; - ; - ; -;324.471,31;1.324.471,31
2012;B1101512800000;O Liberdade;Cintia Langie/Rafael Andreazza;Documentário;Moviola Filmes;RS; -; -;Moviola Filmes;1;527;3.009,00;Não; - ; - ; - ; - ; - ; - ; - ; - ; - ; -; -; -
2012;B1101377500000;O Manuscrito Perdido;José Barahona;Documentário;Refinaria Filmes;RJ; -; -;Refinaria Produções;2;145;1.012,00;Não; - ; - ; - ; - ; - ; - ; - ; - ; - ; -; -; -
2012;B0700640600000;Onde a Coruja dorme;Marcia Derraik/Simplicio Neto;Documentário;TV Zero Produções;RJ; -; -;RioFilme;8;3.649;34.380,50;Sim; - ; - ; - ; - ; - ; - ; - ; - ; - ; -;288.450,00;288.450,00
2012;B1201681100000;Os Penetras;Andrucha Waddington;Ficção;Conspiração Filmes;RJ;Globo Filmes/Lereby/Teleimage;RJ/RJ/SP;Warner;330;2.548.441;25.613.581,00;Sim; - ; - ; - ;2.250.000,00;2.200.000,00; - ; - ; - ; - ; -;50.921,06;4.500.921,06
2012;B1101509000000;Paraísos Artificiais;Marcos Prado;Ficção;Zazen Produções;RJ; -; -;Zazen;232;402.852;3.963.582,33;Sim; - ; - ;2.600.440,00;1.000.000,00;2.875.000,03; - ; - ; - ; - ; -;103.280,64;6.578.720,67
2012;B1201554600000;Paralelo 10;Silvio Da-Rin;Documentário;Diálogo Comunicação;RJ; -; -;Gávea Filmes e Produções;6;2.210;13.480,21;Sim; - ; - ; - ;600.000,00; - ; - ; - ; - ; - ; -; -;600.000,00
2012;B1201656300000;Peixonauta: Agente Secreto da O.S.T.R.A;Celia Serra/Kiko Mistrorigo;Animação;TV Pinguim;SP; -; -;Ab Filmes/Polifilmes;48;7.412;71.933,36;Sim; - ; - ;1.000.000,00;1.208.004,00;208.000,00; - ; - ;568.282,00; - ; -; -;2.984.286,00
2012;B1201566400000;Ponto Org;Patrícia Moran;Ficção;Anderson Faria Produções Cinematográficas;MG;Dezenove Som e Imagens/Patrícia Moran;SP/MG;Usina Digital;ND;ND;ND;Sim; - ; - ;728.000,00; - ; - ; - ; - ; - ; - ; -; -;728.000,00
2012;B1201571700000;Quem se Importa?;Mara Mourão;Documentário;Mamo Filmes;SP; -; -;Imovision;5;7.811;92.849,73;Sim; - ; - ; - ;2.220.400,00; - ; - ; - ; - ; - ; -; -;2.220.400,00
2012;B1201567700000;Raul, o Início, o Fim e o Meio;Evaldo Mocarzel/Walter Carvalho;Documentário;A.F. Cinema/Elixir Entretenimento;SP/SP; -; -;Paramount;36;170.471;1.883.285,00;Sim; - ; - ; - ;1.210.000,00;350.000,00; - ; - ;150; - ; -; -;1.560.150,00
2012;B1201540200000;Reis e Ratos;Mauro Lima;Ficção;Uns Produções e Filmes;RJ;Globo Filmes/Guel Produtora;RJ/RJ;Warner;172;128.396;1.239.304,00;Sim; - ; - ;1.300.000,00; - ;1.000.000,00;740.000,00; - ; - ; - ; -; -;3.040.000,00
2012;B1201571600000;Romance de Formação;Julia de Simone;Documentário;Matizar;RJ; -; -;Espaço Filmes;5;1.387;15.015,00;Sim; - ; - ; - ;400.000,00; - ; - ; - ; - ; - ; -; -;400.000,00
2012;B1101495900000;Sagrado Segredo;André Luiz Oliveira;Documentário;André Luiz Oliveira/Asacine Produções;DF/DF;Gaia Filmes;DF;Polifilmes/Asacine;5;499;4.723,27;Sim; - ; - ; - ; - ; - ; - ; - ; - ; - ; -; -; -
2012;B1201554700000;Santos, 100 Anos de Futebol Arte;Lina Chamie;Documentário;ESPN Brasil;SP;Canal Azul;SP;Canal Azul;2;691;7.719,00;Sim; - ; - ; - ;520.000,00; - ;250.000,00; - ; - ; - ; -; -;770.000,00
2012;B1201686200000;São Paulo Companhia de Dança;Evaldo Mocarzel;Documentário;Casa Azul Produções;SP;Raiz Produções;SP;Casa Azul;1;39;415;Sim; - ; - ; - ;75.000,00; - ; - ; - ; - ; - ; -; -;75.000,00
2012;B1201652400000;Soberano 2 – A heróica conquista do mundial de 2005;Carlos Nader/Mauricio Arruda;Documentário;G7 Cinema;SP; -; -;G7 Cinema;51;13.609;161.692,46;Sim; - ; - ; - ; - ; - ; - ; - ; - ; - ; -; -; -
2012;B1101513200000;Sudoeste;Eduardo Nunes;Ficção;3 Tabela Filmes/Superfilmes/Tropical Storm Entertainment;RJ/SP/RJ; -; -;Vitrine Filmes;3;2.805;24.476,50;Não; - ; - ; - ; - ; - ; - ; - ; - ; - ; -; -; -
2012;B1201659300000;Testemunha 4;Marcelo Grabowsky;Documentário;Mirada Filmes;RJ;Marcelo Grabowsky; -;Mirada Filmes;1;162;1.756,00;Sim; - ; - ; - ;15.000,00; - ; - ; - ; - ; - ; -; -;15.000,00
2012;B1201593600000;Totalmente inocentes;Rodrigo Bittencourt;Ficção;Atitude Produções/Migdal Filmes;RJ/RJ;Globo Filmes/RF Cine TV/Rodrigo Bittencourt;RJ/RJ/-;Downtown/Paris/RioFilme;153;523.577;5.372.762,07;Sim; - ; - ; - ; - ;1.000.000,00;640.000,00; - ; - ; - ; -; -;1.640.000,00
2012;B1201600900000;Tropicália;Marcelo Machado;Documentário;Bossa Nova Films;SP;Record Entretenimento/Rede Record de Televisão;SP/SP;Imagem;39;70.995;793.467,49;Sim; - ; - ; - ;1.188.600,00; - ;620.000,00; - ;75.000,00; - ; -; -;1.883.600,00
2012;B1001312000000;Um homem qualquer;Caio Vecchio;Ficção;Encruzilhada Filmes;SP; -; -;Pipa Produções;9;1.093;8.811,98;Sim; - ; - ;887.895,00; - ; - ; - ; - ; - ; - ; -; -;887.895,00
2012;B1101467000000;Uma Longa Viagem;Lucia Murat;Documentário;Lucia Murat/Taiga Filmes e Vídeo; -/RJ;EBC TV Brasil;DF;Vitrine Filmes;8;6.769;63.640,26;Não; - ; - ; - ; - ; - ; - ; - ; - ; - ; -; -; -
2012;B1101513100000;Vale dos Esquecidos;Maria Raduan;Documentário;RT Features/Tucura Filmes;SP/SP; -; -;Espaço Filmes;3;424;5.151,00;Sim; - ; - ; - ;325.000,00; - ; - ; - ; - ; - ; -; -;325.000,00
2012;B1201567200000;Violeta Foi Para o Céu;Andrés Wood;Ficção;Bossa Nova Films;SP; -; -;Imovision;11;37.243;362.595,26;Sim; - ; - ; - ; - ; - ; - ; - ; - ; - ; -; -; -
2012;B1201667100000;Virando Bicho;Alexandre Carvalho/Silvia Fraiha;Documentário;Fraiha Produções;RJ; -; -;Fraiha Produções;24;980;10.098,24;Sim; - ; - ;548.000,00;47.000,00; - ; - ; - ; - ; - ; -;70.000,00;665.000,00
2012;B1101526700000;Vou Rifar meu Coração;Ana Rieper;Documentário;Amado Arte&Produção/Ana Rieper;RJ/RJ; -; -;Vitrine Filmes;18;11.081;92.521,82;Sim; - ; - ; - ;780.900,00; - ; - ; - ; - ; - ; -; -;780.900,00
2012;B1201547400000;Xingu;Cao Hamburger;Ficção;O2 Filmes;SP;Globo Filmes;RJ;Sony/Downtown;205;378.087;3.898.549,67;Sim; - ; - ;1.500.000,00;2.483.448,05;273.000,00;2.727.000,00; - ; - ; - ; -;2.746.551,95;9.730.000,00
2013;B1301877200000;A alma da gente;David Meyer/Helena Solberg;Documentário;Radiante Filmes;RJ; -; -;E.H. Produções;8;1.646;17.320,65;Sim; - ; - ; - ;600.000,00; - ; - ; - ; - ; - ; -;24.830,00;624.830,00
2013;B1301805800000;A Batalha do passinho;Emílio Domingos;Documentário;Osmose Filmes;RJ; -; -;Cine Santa Teresa;6;2.640;17.781,50;Não; - ; - ; - ; - ; - ; - ; - ; - ; - ; -; -; -
2013;B1301751900000;A Busca;Luciano Moura;Ficção;O2 Filmes;SP;Globo Filmes;RJ;Downtown/Paris/RioFilme;162;352.914;3.686.889,75;Sim; - ; - ; - ;1.480.000,00; - ;500.000,00; - ; - ;2.000.000,00;1.000.000,00; -;4.980.000,00
2013;B1301852900000;A cidade é uma só?;Adirley Queirós;Documentário;400 Filmes/Cinco da Norte Cine;DF/DF; -; -;Vitrine Filmes;6;1.473;14.537,78;Não; - ; - ; - ; - ; - ; - ; - ; - ; - ; -; -; -
2013;B1201666700000;A coleção invisível;Bernard Attal;Ficção;Santa Luzia Filmes;BA;Ondina Filmes;BA;Pandora Filmes;20;8.595;68.288,87;Sim; - ; - ; - ;600.000,00; - ; - ; - ; - ; - ; -; -;600.000,00
2013;B1301846600000;A Floresta de Jonathas;Sergio Andrade;Ficção;Rio Tarumã Films;AM; -; -;Vitrine Filmes;3;1.174;9.380,25;Não; - ; - ; - ; - ; - ; - ; - ; - ; - ; -; -; -
2013;B1101405200000;A luz do Tom;Nelson Pereira dos Santos;Documentário;Regina Filmes;RJ; -; -;Bretz Filmes/RioFilme;12;8.831;94.502,95;Sim; - ;630.000,00;101.350,00;270.000,00; - ; - ; - ; - ; - ;144.491,00;23.000,00;1.168.841,00
2013;B1201661300000;A memória que me contam;Lucia Murat;Ficção;Taiga Filmes e Vídeo;RJ;Elixir Entretenimento/Loc All Cinema e Televisão;SP/PR;Imovision;7;6.204;68.729,35;Sim; - ; - ; - ; - ; - ; - ; - ; - ; - ;700.000,00;285.200,00;985.200,00
2013;B1302047400000;A Nave - Uma Viagem com a Jazz Sinfônica de São Paulo;Luiz Otavio de Santi;Documentário;Drama Filmes;SP; -; -;Drama Filmes;1;365;1.104,00;Sim; - ;200.000,00; - ; - ; - ; - ; - ; - ; - ; -;30.380,23;230.380,23
2013;B1301971700000;A sorte em suas mãos;Daniel Burman;Ficção;Gullane;SP; -; -;Imovision;18;25.088;316.108,79;Sim; - ; - ; - ; - ;30.928,59; - ; - ; - ; - ; -;282.288,00;313.216,59
2013;B1201614400000;A Última Estação;Márcio Curi;Ficção;Asacine Produções;DF;Márcio Curi; -;Polifilmes;13;1.977;22.172,45;Sim; - ; - ; - ;1.088.000,00; - ; - ; - ; - ; - ;554.014,00; -;1.642.014,00
2013;B1301761800000;Amazônia Desconhecida;Daniel Augusto/Eduardo Rajabally;Documentário;Gullane;SP;Grifa Filmes;SP;Elo Company;1;67;425;Sim; - ;364.764,60; - ; - ; - ;156.616,36; - ; - ; - ; -; -;521.380,96
2013;B1201604900000;América – Uma história portuguesa;João Nuno Pinto;Ficção;Dezenove Som e Imagens;SP; -; -;Panda Filmes;1;307;3.422,00;Sim; - ; - ; - ; - ; - ; - ; - ; - ; - ; -;668.100,00;668.100,00
2013;B1301759600000;Angie;Marcio Garcia;Ficção;MGP Filmes;MG; -; -;H2O Films/RioFilme;46;9.115;99.349,14;Sim; - ; - ; - ;640.000,00; - ; - ; - ; - ; - ; -; -;640.000,00
2013;B1301738800000;Anita e Garibaldi;Alberto Rondalli/Rubens Gennaro;Ficção;Laz Audiovisual;PR; -; -;Ab Filmes/Polifilmes;10;1.027;11.809,54;Sim; - ; - ;2.988.853,00;2.091.720,00; - ; - ; - ; - ; - ;518.146,22;147.244,18;5.745.963,40
2013;B1301712400000;Artigas - La redota;Cesar Charlone;Ficção;Aim Produções Cinematograficas;SP; -; -;Panda Filmes;3;2.318;22.519,74;Não; - ; - ; - ; - ; - ; - ; - ; - ; - ; -; -; -
2013;B1101473600000;As hiper mulheres;Carlos Fausto/Leonardo Sette/Takumã Kuikuro;Documentário;Vídeo nas Aldeias;PE; -; -;Vitrine Filmes;5;1.021;9.069,72;Não; - ; - ; - ; - ; - ; - ; - ; - ; - ; -; -; -
2013;B1301860500000;As horas vulgares;Rodrigo de Oliveira/Vitor Graize;Ficção;Patuléia Filmes;ES; -; -;Petrini;ND;ND;ND;Não; - ; - ; - ; - ; - ; - ; - ; - ; - ; -; -; -
2013;B1302035000000;Até que a Sorte nos Separe 2;Roberto Santucci;Ficção;Gullane;SP;Paris Entretenimento/Globo Filmes/Telecine/Lereby;SP/RJ/RJ/RJ;Downtown/Paris;778;3.978.191;45.274.441,66;Sim; - ; - ; - ;2.810.000,00; - ;651.336,50; - ; - ; - ; -;553.498,28;4.014.834,78
2013;B1301899900000;Boa sorte, meu amor;Daniel Aragão;Ficção;Orquestra Cinema Estúdios;PE;Cicatrix Filmes/Set Produções Audiovisuais/Rec Produtores Associados/Daniel Aragão/Gregorio Graziosi/José Pedro Correia Sotero/Santana Josicarlos/Gustavo Sobreira Rocha/Juliano Dornelles/Manoela Torres/Phelipe Joannes Simões Costa;PE/PE/-/-/-/-/-/-/-/-;Cicatrix Filmes;11;4.032;31.674,35;Não; - ; - ; - ; - ; - ; - ; - ; - ; - ; -; -; -
2013;B1301739100000;Bonitinha, mas ordinária;Moacyr Góes;Ficção;Diler & Associados;RJ;California Filmes/Canal Brasil/LaboCine;CE/RJ/RJ;Califórnia;44;13.997;139.529,27;Sim; - ; - ;2.000.000,00;309.650,00;1.444.787,85; - ; - ; - ; - ;500.000,00;362.314,63;4.616.752,48
2013;B1301815500000;Caleuche, O Chamado do Mar;Jorge Olguín;Ficção;Dezenove Som e Imagens;SP; -; -;Disney;2;497;6.528,00;Sim; - ; - ; - ; - ;525.000,00; - ; - ; - ; - ; -; -;525.000,00
2013;B1301812000000;Carreras;Salete Paulina Machado Sirino;Ficção;Salete Paulina Machado Sirino;PR;Tigre Produções Cinematográficas;PR;Tigre Produções Cinematográficas;4;16.908;76.447,52;Não; - ; - ; - ; - ; - ; - ; - ; - ; - ; -; -; -
2013;B1301910300000;Casa da mãe Joana 2;Hugo Carvana;Ficção;Mac Comunicacão;RJ;Globo Filmes/Telecine;RJ/RJ;Imagem;187;152.596;1.599.981,15;Sim; - ; - ;530.000,00; - ;300.000,00;1.300.000,00; - ; - ; - ;1.500.000,00; -;3.630.000,00
2013;B1201671000000;Chamada a cobrar;Anna Muylaert;Ficção;Secretaria de Estado da Cultura de São Paulo;SP;África Filmes/Gullane;SP/SP;Gullane Entretenimento;1;527;6.479,84;Sim; - ; - ; - ;175.000,00; - ; - ; - ; - ; - ; -;23.096,85;198.096,85
2013;B1301984500000;Cidade Cinza;Guilherme Valiengo/Marcelo Mesquita;Documentário;Guilherme Valiengo/Marcelo Mesquita/Peppe Siffredi/Raphael Bottino; -;Dcine Cinematografia Digital/Sala 12;SP/SP;Espaço Filmes;12;11.347;132.139,06;Sim; - ; - ; - ;370.000,00; - ; - ; - ; - ; - ; -; -;370.000,00
2013;B1201647900000;Cine Holliúdy;Halder Gomes;Ficção;ATC Entretenimentos;CE; -; -;Downtown/Paris;74;487.479;5.056.814,30;Não; - ; - ; - ; - ; - ; - ; - ; - ; - ; -; -; -
2013;B1201660900000;Colegas;Marcelo Galvão;Ficção;Gatacine;SP; -; -;Europa;141;163.624;1.721.553,23;Sim; - ; - ;1.400.000,00;2.192.702,60; - ; - ; - ; - ; - ; -; -;3.592.702,60
2013;B1201622100000;Coração do Brasil;Daniel Solá Santiago;Documentário;Daniel Solá Santiago Produções;SP; -; -;Pandora Filmes;6;631;5.815,14;Sim; - ; - ; - ;150.000,00; - ; - ; - ; - ; - ; -; -;150.000,00
2013;B1101527400000;Corda Bamba, História de uma Menina Equilibrista;Eduardo Goldenstein;Ficção;Aion Filmes;RJ; -; -;Copacabana Filmes;8;1.591;14.828,67;Não; - ; - ; - ; - ; - ; - ; - ; - ; - ; -; -; -
2013;B1301794500000;Cores;Francisco Garcia;Ficção;Kinoosfera Filmes;SP;Dezenove Som e Imagens;SP;Pandora Filmes;5;2.376;21.972,60;Sim; - ; - ; - ;694.960,44; - ; - ; - ; - ; - ; -;572.002,30;1.266.962,74
2013;B1201590900000;Corpo Presente;Marcelo Freitas Toledo de Melo/Paolo Gregori;Ficção;Cinegrama Filmes;SP; -; -;Raiz Distribuidora;1;587;7.139,06;Sim; - ; - ; - ; - ; - ; - ; - ; - ; - ;109.050,00;24.153,26;133.203,26
2013;B1302000200000;Crô - O Filme;Bruno Barreto;Ficção;Globo Filmes;RJ;Filmes do Equador/Downtown Filmes/Telecine;RJ/RJ/RJ;Downtown/Paris;467;1.716.774;18.673.695,63;Sim; - ; - ; - ; - ;1.500.000,00;1.450.000,00; - ; - ; - ; -; -;2.950.000,00
2013;B1201660700000;Cru;Jimi Figueiredo;Ficção;Cinema Cinema Produções;DF; -; -;Cinema Cinema Produções;1;496;4.752,93;Não; - ; - ; - ; - ; - ; - ; - ; - ; - ; -; -; -
2013;B1301990000000;Cuica de Santo Amaro;Joel de Almeida/Josias Pires;Documentário;DocDoma Filmes;BA; -; -;Docdoma Filmes;3;750;5.938,50;Sim; - ;599.689,24; - ; - ; - ; - ; - ; - ; - ; -; -;599.689,24
2013;B1301927900000;Doce Amianto;Guto Parente/Uirá dos Reis;Ficção;Alumbramento;CE; -; -;Vitrine Filmes;5;848;6.253,57;Não; - ; - ; - ; - ; - ; - ; - ; - ; - ; -; -; -
2013;B1201686600000;Doméstica;Gabriel Mascaro;Documentário;Desvia;PE; -; -;Vitrine Filmes;5;3.269;24.453,50;Não; - ; - ; - ; - ; - ; - ; - ; - ; - ; -; -; -
2013;B1201682700000;Dores de amores;Raphael Vieira;Ficção;Coqueirão Pictures;RJ;17 TV e Cinema;SP;Kino Filmes;2;444;2.162,72;Sim; - ; - ; - ;1.000.000,00; - ; - ; - ; - ; - ; -; -;1.000.000,00
