Listagem dos Filmes Brasileiros Lançados Comercialmente em Salas de Exibição com Valores Captados através de Mecanismos de Incentivo e Fundo Setorial do Audiovisual - 1995 a 2019;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
Ano de Lançamento;Certificado de Produto Brasileiro (CPB);Título;Direção;Gênero;Empresa Produtora Brasileira Majoritária;UF;Empresa Produtora Minoritária Brasileira;UF;Distribuidora;Máximo de Salas;Público;Renda (R$);Projeto de incentivo aprovado?;Art. 18;Art. 25;Art. 1º;Art. 1 º A;Art. 3º;Art. 3º A;Conversão da dívida;Art. 39;Funcines;FSA;Outras Fontes;Valor Total Captado/ Contratados(R$)
1996;B0500263900000;Tieta do Agreste;Cacá Diegues;Ficção;Skylight;RJ; -; -;Columbia;133;511.954;2.380.586,00;Sim;988.334,35; - ;1.292.000,00; - ;1.069.233,00; - ; - ; - ; - ; -; -;3.349.567,35
1996;Sem CPB;Todos os Corações do Mundo;Murilo Salles;Documentário;Sports Target Media;RJ; -; -;S. Ribeiro;86;265.017;1.004.415,00;Não; - ; - ; - ; - ; - ; - ; - ; - ; - ; -; -; -
1997;B0500311100000;A Ostra e o Vento;Walter Lima Junior;Ficção;Tambellini Filmes;RJ; -; -;RioFilme;9;86.616;372.814,00;Sim;170.000,01; - ;1.174.695,00; - ; - ; - ; - ; - ; - ; -; -;1.344.695,01
1997;B0600520300000;Anahy de Las Misiones;Sérgio Silva;Ficção;M. Schmiedt Produções;RS; -; -;S. Ribeiro;15;131.000;492.560,00;Sim; - ; - ;1.384.270,00; - ;161.236,00; - ; - ; - ; - ; -; -;1.545.506,00
1997;B0400059500000;Baile Perfumado;Lírio Ferreira/Paulo Caldas;Ficção;Raccord Produções;RJ; -; -;RioFilme;7;73.062;326.879,00;Sim;50.000,00; - ; - ; - ; - ; - ; - ; - ; - ; -; -;50.000,00
1997;B0500313900000;Buena Sorte;Tânia Lamarca;Ficção;Acquafredda Cinema/Skylight;SC/RJ; -; -;Columbia;7;10.674;37.654,00;Sim;199.999,99; - ;1.534.536,79; - ;600.000,00; - ; - ; - ; - ; -; -;2.334.536,78
1997;Sem CPB;Crede-Mi;Bia Lessa/Dany Roland;Ficção;Bia Lessa Produções Artísticas;SP; -; -;RioFilme;1;2.134;10.585,00;Não; - ; - ; - ; - ; - ; - ; - ; - ; - ; -; -; -
1997;B0500313800000;Ed Mort;Alain Fresnot;Ficção;A.F. Cinema;SP; -; -;RioFilme;16;74.195;370.809,00;Sim; - ; - ;449.630,00; - ;36.174,00; - ; - ; - ; - ; -; -;485.804,00
1997;B0300027400000;Guerra de Canudos;Sergio Rezende;Ficção;Morena Filmes;RJ; -; -;Columbia;78;655.016;2.725.130,00;Sim;1.642.685,36; - ;2.530.090,00; - ;1.371.961,00; - ; - ; - ; - ; -; -;5.544.736,36
1997;B0500321300000;Lua de Outubro;Henrique de Freitas Lima;Ficção;Cinematográfica Pampeana;RS; -; -;Paris;17;33.894;114.351,00;Sim;341.927,30; - ;1.513.598,26; - ; - ; - ; - ; - ; - ; -; -;1.855.525,56
